Date,SHW
2020-01-01,467.23047264416107
2020-01-02,458.7204591854228
2020-01-03,465.61519290032624
2020-01-06,486.96442610144743
2020-01-07,474.46209313104214
2020-01-08,480.98655216785835
2020-01-09,469.0525372906111
2020-01-10,472.6302344004261
2020-01-13,465.3732556999274
2020-01-14,470.17153098647844
2020-01-15,483.18131223639756
2020-01-16,469.73373341641854
2020-01-17,482.51969374022
2020-01-20,496.9776239900146
2020-01-21,492.7446673921419
2020-01-22,497.6267999685206
2020-01-23,491.53505703018186
2020-01-24,499.39937834489126
2020-01-27,503.9637153536297
2020-01-28,512.2229770853479
2020-01-29,513.8846292624479
2020-01-30,532.8429772736952
2020-01-31,540.0853611978072
2020-02-03,531.5286177774988
2020-02-04,534.2793257930465
2020-02-05,533.7186164222984
2020-02-06,531.2977133656949
2020-02-07,528.166585345204
2020-02-10,530.6533524340877
2020-02-11,525.4295165126027
2020-02-12,540.290102905148
2020-02-13,542.3055083975789
2020-02-14,534.5942473677644
2020-02-17,515.9873719122834
2020-02-18,506.03037614190214
2020-02-19,504.263442275008
2020-02-20,501.42760264681823
2020-02-21,504.9326960320323
2020-02-24,508.2016809583865
2020-02-25,504.00092916367447
2020-02-26,501.07106295611425
2020-02-27,508.4698513964414
2020-02-28,506.0531215461806
2020-03-02,497.9244128295471
2020-03-03,498.3130273362493
2020-03-04,485.0874982240856
2020-03-05,468.7078093023745
2020-03-06,478.2567468495652
2020-03-09,467.4661251079477
2020-03-10,473.91638184566375
2020-03-11,462.78086889073995
2020-03-12,480.5312948418832
2020-03-13,472.1947323194209
2020-03-16,483.1145890460716
2020-03-17,500.0849278803438
2020-03-18,495.81496356581863
2020-03-19,498.547758830032
2020-03-20,487.7963254338739
2020-03-23,489.15882636244214
2020-03-24,479.16192451002604
2020-03-25,486.3732640296511
2020-03-26,471.91292925194733
2020-03-27,483.3521860883809
2020-03-30,476.56166227507276
2020-03-31,464.658249242238
2020-04-01,462.9417545130451
2020-04-02,478.150896483202
2020-04-03,479.73227811266327
2020-04-06,493.8213645414824
2020-04-07,504.5991469927688
2020-04-08,502.34960376337483
2020-04-09,489.0201006659609
2020-04-10,498.41262862034085
2020-04-13,490.69093998985795
2020-04-14,494.02202025118333
2020-04-15,492.26438331695437
2020-04-16,492.59993243415084
2020-04-17,507.9481178650674
2020-04-20,508.033686514195
2020-04-21,508.574003089704
2020-04-22,505.17275101426213
2020-04-23,496.9196578535179
2020-04-24,500.46256551071093
2020-04-27,508.5791304456979
2020-04-28,525.0832178765831
2020-04-29,530.253975755889
2020-04-30,528.986532294333
2020-05-01,516.9041482622373
2020-05-04,521.6149514416691
2020-05-05,526.3331282905835
2020-05-06,546.8050432711636
2020-05-07,547.9423550878845
2020-05-08,564.914749810587
2020-05-11,581.1402500745688
2020-05-12,577.1465279286118
2020-05-13,588.8371232263698
2020-05-14,579.3344909791363
2020-05-15,584.0872010004426
2020-05-18,597.3492877637691
2020-05-19,600.4030983200828
2020-05-20,621.8258435631591
2020-05-21,610.608120643356
2020-05-22,615.039000468543
2020-05-25,621.8873159990836
2020-05-26,637.725084310405
2020-05-27,634.9531673123009
2020-05-28,648.3023298081443
2020-05-29,652.1514453711394
2020-06-01,676.327003673604
2020-06-02,668.1986424419108
2020-06-03,661.2114082440154
2020-06-04,665.5918530452083
2020-06-05,670.7967958838722
2020-06-08,678.4131690464231
2020-06-09,690.1989481259188
2020-06-10,693.4405678239838
2020-06-11,695.8106382939698
2020-06-12,693.0460499961631
2020-06-15,690.2981073719274
2020-06-16,698.1771132908991
2020-06-17,698.8743898061243
2020-06-18,673.1276489953605
2020-06-19,661.6002254738119
2020-06-22,664.8315876361484
2020-06-23,664.4094834517631
2020-06-24,651.9585914690165
2020-06-25,653.5976733726757
2020-06-26,650.6959974196317
2020-06-29,641.1564247179821
2020-06-30,654.7633207370229
2020-07-01,657.0216052721236
2020-07-02,640.0975758847213
2020-07-03,618.130349743427
2020-07-06,657.4715473865754
2020-07-07,643.7998689040477
2020-07-08,631.489315824123
2020-07-09,622.2225608312998
2020-07-10,623.4488236197755
2020-07-13,608.7142829110802
2020-07-14,607.1372650596123
2020-07-15,578.0494146038882
2020-07-16,571.7331032975814
2020-07-17,569.9831957426813
2020-07-20,568.735560526276
2020-07-21,572.6330201297634
2020-07-22,552.5974525075721
2020-07-23,551.7268933699479
2020-07-24,555.0652581435037
2020-07-27,554.4520985306708
2020-07-28,543.5909525619182
2020-07-29,544.6954170929434
2020-07-30,538.28544981371
2020-07-31,555.4485659194297
2020-08-03,556.3514853818044
2020-08-04,560.975289370579
2020-08-05,567.9389428715102
2020-08-06,548.9505367582657
2020-08-07,551.8548029001372
2020-08-10,537.712645637539
2020-08-11,514.2673862164576
2020-08-12,500.48128410374767
2020-08-13,523.6351396439815
2020-08-14,537.64795988332
2020-08-17,533.3960200602809
2020-08-18,523.498253436751
2020-08-19,530.5906699292236
2020-08-20,529.8601102998101
2020-08-21,520.1921358586419
2020-08-24,514.8016910363724
2020-08-25,514.6060281282364
2020-08-26,496.0552381513584
2020-08-27,506.4435700922602
2020-08-28,508.68741576306996
2020-08-31,502.3699067389521
2020-09-01,485.3552439664939
2020-09-02,475.11709586473916
2020-09-03,474.44783401700107
2020-09-04,458.5417710924585
2020-09-07,469.2370361065388
2020-09-08,467.91615221980135
2020-09-09,477.12634311647446
2020-09-10,474.9206769592434
2020-09-11,487.2176157494398
2020-09-14,476.5749193660318
2020-09-15,472.9828062484448
2020-09-16,470.7892841193179
2020-09-17,475.7125727788061
2020-09-18,474.2119952195703
2020-09-21,470.68126259735357
2020-09-22,475.89426822739125
2020-09-23,473.8200532110009
2020-09-24,462.4494287215726
2020-09-25,448.95696156558984
2020-09-28,441.98680759065974
2020-09-29,438.29183852517417
2020-09-30,428.8484760331149
2020-10-01,431.16989090835966
2020-10-02,424.73842269243266
2020-10-05,413.2449821707477
2020-10-06,425.1302059201146
2020-10-07,431.50709332444524
2020-10-08,438.1845354851933
2020-10-09,450.5433293814268
2020-10-12,444.2061437006158
2020-10-13,424.3435258638122
2020-10-14,403.02561173003295
2020-10-15,414.7871920295325
2020-10-16,409.6194380185023
2020-10-19,413.6569745944878
2020-10-20,402.76259295983164
2020-10-21,401.91596828519647
2020-10-22,403.8436694554529
2020-10-23,403.00100519247394
2020-10-26,401.2637270120774
2020-10-27,394.2554667543368
2020-10-28,400.64044099864657
2020-10-29,402.2471512943863
2020-10-30,404.423721736827
2020-11-02,404.6957554754691
2020-11-03,418.2396455465433
2020-11-04,413.059702635375
2020-11-05,426.3464072197549
2020-11-06,438.52192599648475
2020-11-09,440.4760497801305
2020-11-10,433.3439049130416
2020-11-11,422.3376804430334
2020-11-12,421.3037968420393
2020-11-13,409.89988490161284
2020-11-16,408.99487177321123
2020-11-17,408.71166722469286
2020-11-18,407.95014687401124
2020-11-19,407.33557162954213
2020-11-20,418.44580309387476
2020-11-23,421.82823076068985
2020-11-24,419.83749579392247
2020-11-25,408.4816817189475
2020-11-26,422.0740578070607
2020-11-27,426.37103167106136
2020-11-30,424.5436750451416
2020-12-01,411.48714411714894
2020-12-02,393.37727058088046
2020-12-03,393.73251721886203
2020-12-04,394.7047761155976
2020-12-07,387.88912429000277
2020-12-08,383.82587412505103
2020-12-09,385.914562624507
2020-12-10,383.72436281813157
2020-12-11,380.12714635064594
2020-12-14,378.9448206486501
2020-12-15,377.264992096468
2020-12-16,374.53504349014213
2020-12-17,389.15416056517336
2020-12-18,391.5362283964986
2020-12-21,380.69780512701175
2020-12-22,382.1508507100131
2020-12-23,404.2412061074632
2020-12-24,397.83115654311933
2020-12-25,402.569020920734
2020-12-28,390.0919953579546
2020-12-29,396.0410319470631
2020-12-30,412.17020977540363
2020-12-31,408.9703049884206
2021-01-01,417.99280093421066
2021-01-04,421.72443847376036
2021-01-05,417.06911094802314
2021-01-06,424.50877297583537
2021-01-07,423.2832182783022
2021-01-08,423.72694720679254
2021-01-11,415.4803443293248
2021-01-12,422.71330199318874
2021-01-13,407.88397695506376
2021-01-14,424.7845211471133
2021-01-15,422.29408071114113
2021-01-18,427.82264409982315
2021-01-19,428.2734552203978
2021-01-20,442.90062324542794
2021-01-21,442.2151632037977
2021-01-22,431.28223184801686
2021-01-25,440.813461914446
2021-01-26,435.715812739178
2021-01-27,446.47199919157663
2021-01-28,437.6410220583464
2021-01-29,422.71711132121607
2021-02-01,420.19013509749607
2021-02-02,430.61285830072535
2021-02-03,443.47594383969226
2021-02-04,447.28930585849923
2021-02-05,449.8308482708992
2021-02-08,447.67830842978174
2021-02-09,439.1794877541257
2021-02-10,439.52401733455264
2021-02-11,443.0860061671089
2021-02-12,438.6091190511823
2021-02-15,442.6403827392768
