Date,SHOP
2020-01-01,230.96627727676045
2020-01-02,235.11791648543138
2020-01-03,230.6789140543198
2020-01-06,232.90436691575528
2020-01-07,234.71353074215287
2020-01-08,235.90036715937873
2020-01-09,241.40791832335998
2020-01-10,241.6497320380045
2020-01-13,233.62536715141582
2020-01-14,230.46682958416338
2020-01-15,233.03367443876346
2020-01-16,230.37731263522153
2020-01-17,224.63573245328064
2020-01-20,225.59042102039535
2020-01-21,221.78849146708308
2020-01-22,220.31088575808056
2020-01-23,226.30130472971985
2020-01-24,225.925191837597
2020-01-27,223.02287267458766
2020-01-28,217.91609901932804
2020-01-29,219.11259327846633
2020-01-30,222.59558843189
2020-01-31,218.03205433460406
2020-02-03,212.40263589181745
2020-02-04,216.98294939401555
2020-02-05,210.11452938810623
2020-02-06,215.45960768284596
2020-02-07,216.2292780560375
2020-02-10,215.4511711506395
2020-02-11,212.19064960054675
2020-02-12,213.04544994550636
2020-02-13,215.60484802840068
2020-02-14,222.54563938121711
2020-02-17,228.62756292987092
2020-02-18,223.735345284752
2020-02-19,225.17180235737888
2020-02-20,221.29065893880818
2020-02-21,221.21003294060057
2020-02-24,218.3571372544202
2020-02-25,222.48244750373826
2020-02-26,226.78198114314338
2020-02-27,224.27030803802782
2020-02-28,229.0938128524385
2020-03-02,222.73718233078398
2020-03-03,223.35982352563963
2020-03-04,223.25484166281376
2020-03-05,222.59072699792634
2020-03-06,219.31885336130472
2020-03-09,223.85778078906665
2020-03-10,222.45866534560602
2020-03-11,227.5348326252249
2020-03-12,234.47719219802877
2020-03-13,235.87224475636702
2020-03-16,228.78192229034622
2020-03-17,230.10427671014662
2020-03-18,225.33632843154072
2020-03-19,234.89624208015513
2020-03-20,230.16286079180495
2020-03-23,226.5635870109901
2020-03-24,230.53109888000844
2020-03-25,227.97582803964755
2020-03-26,220.38091384942862
2020-03-27,225.02257263906344
2020-03-30,224.32957621289714
2020-03-31,224.31663783380395
2020-04-01,219.53977812978076
2020-04-02,210.573639284873
2020-04-03,209.17088075193112
2020-04-06,221.47984612496208
2020-04-07,220.26665701840187
2020-04-08,218.29204816537808
2020-04-09,214.3853567603697
2020-04-10,224.6717472252297
2020-04-13,223.68670151490784
2020-04-14,218.33570786460064
2020-04-15,218.07252503921634
2020-04-16,215.95378883287265
2020-04-17,217.1450932082208
2020-04-20,220.7753022102198
2020-04-21,223.36366836428886
2020-04-22,225.4123865232937
2020-04-23,237.35041995440469
2020-04-24,249.1987577228894
2020-04-27,248.44017007787195
2020-04-28,253.82536548865386
2020-04-29,263.4709464058865
2020-04-30,256.1574663232621
2020-05-01,263.0596975528063
2020-05-04,267.84293934971004
2020-05-05,266.8405379821971
2020-05-06,271.2477411690488
2020-05-07,283.93199204293984
2020-05-08,283.09082003248386
2020-05-11,290.86421419650543
2020-05-12,292.6268312264814
2020-05-13,292.16438245185
2020-05-14,290.51472758810024
2020-05-15,288.6800523071085
2020-05-18,287.22894909012416
2020-05-19,286.17893271124956
2020-05-20,281.02378442615503
2020-05-21,275.88897486619817
2020-05-22,276.8912595088976
2020-05-25,275.5412869919687
2020-05-26,275.7766192386073
2020-05-27,277.1240799488159
2020-05-28,280.4950069000889
2020-05-29,273.458635503622
2020-06-01,269.09551168434695
2020-06-02,261.1682466703854
2020-06-03,271.7497701487907
2020-06-04,277.3068099066145
2020-06-05,268.8717967119344
2020-06-08,262.7092553071773
2020-06-09,260.1741767417352
2020-06-10,267.38262557378323
2020-06-11,271.2368167238507
2020-06-12,264.23834794362733
2020-06-15,260.3090011359956
2020-06-16,252.85107372565872
2020-06-17,258.8809735367801
2020-06-18,258.4533252756733
2020-06-19,256.65179678611236
2020-06-22,251.9930129044316
2020-06-23,251.26582121340397
2020-06-24,258.2209416560473
2020-06-25,244.9046022635765
2020-06-26,246.1690785718119
2020-06-29,247.9873353517091
2020-06-30,249.74395533086573
2020-07-01,250.1403860549335
2020-07-02,255.23385342762523
2020-07-03,261.7713939289581
2020-07-06,257.04973847719293
2020-07-07,257.919564118201
2020-07-08,262.00521732866235
2020-07-09,263.47210754397844
2020-07-10,261.9080409831662
2020-07-13,259.1380086049239
2020-07-14,258.4507948274205
2020-07-15,259.0401982080925
2020-07-16,256.72083919900734
2020-07-17,256.1321911551047
2020-07-20,262.12668899699435
2020-07-21,256.19801346389914
2020-07-22,252.87990803644192
2020-07-23,248.56005372500775
2020-07-24,247.41749317328402
2020-07-27,251.78828239238482
2020-07-28,257.5923957154749
2020-07-29,254.98492141646952
2020-07-30,252.18737234965928
2020-07-31,253.10788815006939
2020-08-03,241.68456286446627
2020-08-04,239.6326881738634
2020-08-05,239.47715166743006
2020-08-06,236.50772048761198
2020-08-07,242.92599194869135
2020-08-10,230.52217364379044
2020-08-11,233.94270136592948
2020-08-12,230.02559065057105
2020-08-13,235.8076242836513
2020-08-14,233.02681784198083
2020-08-17,239.53017356373908
2020-08-18,233.5598239253621
2020-08-19,243.18733916711167
2020-08-20,235.97247463009296
2020-08-21,235.44927177292996
2020-08-24,234.9248092113032
2020-08-25,235.375850460432
2020-08-26,234.98299925729228
2020-08-27,235.7166452232913
2020-08-28,243.03279970087218
2020-08-31,244.1358482256086
2020-09-01,238.0190849138526
2020-09-02,246.51945092691145
2020-09-03,252.97251143010874
2020-09-04,258.95974179845393
2020-09-07,250.37846541179678
2020-09-08,250.49927529152404
2020-09-09,254.9399351714185
2020-09-10,255.82112492444236
2020-09-11,250.23259548375034
2020-09-14,251.6820005280791
2020-09-15,259.9006892223351
2020-09-16,255.84015328416612
2020-09-17,255.42999814607072
2020-09-18,249.86972102982014
2020-09-21,251.39183379194262
2020-09-22,255.83228706921338
2020-09-23,263.0335300702838
2020-09-24,264.30265691689226
2020-09-25,274.8643094393047
2020-09-28,270.6498142854605
2020-09-29,268.7978011923997
2020-09-30,263.9822128320825
2020-10-01,270.98569581665026
2020-10-02,261.20269295310186
2020-10-05,255.71819727325715
2020-10-06,253.1872214217835
2020-10-07,255.25191837734116
2020-10-08,258.3151568229502
2020-10-09,250.1975169954159
2020-10-12,249.94466701808614
2020-10-13,258.3588224196987
2020-10-14,260.6063275210713
2020-10-15,252.75352671043726
2020-10-16,251.61257781641638
2020-10-19,252.35089915933148
2020-10-20,250.75629922153013
2020-10-21,257.0183416557589
2020-10-22,259.950213900909
2020-10-23,268.1322534741644
2020-10-26,269.04321875986
2020-10-27,264.85491882986923
2020-10-28,262.76487312935393
2020-10-29,268.23196586340083
2020-10-30,264.0126039570602
2020-11-02,266.96690038296623
2020-11-03,270.53018696172677
