Date,TSLA
2020-01-01,63.39987398568906
2020-01-02,62.3991601503378
2020-01-03,63.48091144190395
2020-01-06,64.32679641188253
2020-01-07,65.19289636343159
2020-01-08,67.10073752249592
2020-01-09,68.06185467641254
2020-01-10,69.99156118465365
2020-01-13,73.57919707452326
2020-01-14,73.61599342480716
2020-01-15,72.78303907894364
2020-01-16,74.47978987849967
2020-01-17,75.83101516182151
2020-01-20,75.98160217742266
2020-01-21,77.76448794175084
2020-01-22,73.88954499408241
2020-01-23,73.3250398975262
2020-01-24,71.9791013253549
2020-01-27,71.85169163257461
2020-01-28,73.3543013965033
2020-01-29,75.06015491677331
2020-01-30,74.42737909777257
2020-01-31,75.1859117416475
2020-02-03,77.96710290108184
2020-02-04,82.41848974592443
2020-02-05,84.59579645532415
2020-02-06,82.73263894550834
2020-02-07,83.41718676512727
2020-02-10,80.92549983583947
2020-02-11,85.90630626778855
2020-02-12,86.88771378214057
2020-02-13,88.63930906682047
2020-02-14,90.73296771667697
2020-02-17,88.90990808191168
2020-02-18,89.20006131474774
2020-02-19,88.90290367902516
2020-02-20,89.76698327043813
2020-02-21,90.15958884081911
2020-02-24,91.32221390438599
2020-02-25,88.26418781680209
2020-02-26,87.47638202834263
2020-02-27,85.165331833866
2020-02-28,82.77200987338502
2020-03-02,81.88374778109939
2020-03-03,80.09115154204748
2020-03-04,79.86749089915405
2020-03-05,77.50401386441479
2020-03-06,74.69262885432406
2020-03-09,75.48164702933387
2020-03-10,74.8729187455383
2020-03-11,75.88497748193592
2020-03-12,73.9415160297453
2020-03-13,75.66982873015692
2020-03-16,78.40250180294635
2020-03-17,81.19861945800949
2020-03-18,81.86265198383309
2020-03-19,81.11467009763544
2020-03-20,84.19881970238805
2020-03-23,86.07914072074118
2020-03-24,84.79317345412106
2020-03-25,83.93232662869859
2020-03-26,83.1207241189039
2020-03-27,83.55057857236278
2020-03-30,83.08963584791232
2020-03-31,84.28059745892733
2020-04-01,87.8000644450663
2020-04-02,84.54711705616754
2020-04-03,82.98116532765061
2020-04-06,82.8703062242042
2020-04-07,82.24006233570684
2020-04-08,82.70997655165218
2020-04-09,82.22622120363432
2020-04-10,82.39065504575953
2020-04-13,85.14129784890642
2020-04-14,87.98108218437596
2020-04-15,89.43740277169123
2020-04-16,90.53727832615037
2020-04-17,89.9348405704719
2020-04-20,92.53392800773094
2020-04-21,91.51351858646424
2020-04-22,91.97206551226563
2020-04-23,93.98222745520245
2020-04-24,91.94880505101116
2020-04-27,91.07978912795608
2020-04-28,91.67357422752907
2020-04-29,91.70623868384966
2020-04-30,96.28916389757282
2020-05-01,101.8739158780622
2020-05-04,104.16247375628201
2020-05-05,107.17276308511458
2020-05-06,108.30465121286042
2020-05-07,111.14553660244137
2020-05-08,106.01724549665738
2020-05-11,108.13596355794094
2020-05-12,108.99621578024919
2020-05-13,110.71462410383376
2020-05-14,112.33802108048445
2020-05-15,112.54374414897383
2020-05-18,110.41167013953809
2020-05-19,107.06708657092307
2020-05-20,103.70037025940225
2020-05-21,102.39837118256634
2020-05-22,104.2600155098571
2020-05-25,103.66026366525844
2020-05-26,99.8439420511228
2020-05-27,95.9147259503713
2020-05-28,97.64338565905034
2020-05-29,98.4731157918319
2020-06-01,95.56502258617996
2020-06-02,95.72887157541574
2020-06-03,94.01431223755189
2020-06-04,91.3488218452862
2020-06-05,92.17213211874342
2020-06-08,92.28556121372193
2020-06-09,91.60243372062236
2020-06-10,90.66687001793197
2020-06-11,91.29015409843355
2020-06-12,91.58123920571181
2020-06-15,94.16562531428715
2020-06-16,92.49865757804065
2020-06-17,93.2211393121783
2020-06-18,96.6703538378942
2020-06-19,93.5144705496467
2020-06-22,91.05113467918365
2020-06-23,89.54118403071084
2020-06-24,87.45697916919617
2020-06-25,87.71535296353227
2020-06-26,86.39699790904693
2020-06-29,89.92939338691612
2020-06-30,92.35603054819077
2020-07-01,88.0317553492474
2020-07-02,86.907985728671
2020-07-03,85.9208561589632
2020-07-06,86.11101526126201
2020-07-07,85.01869542423552
2020-07-08,89.05560614196771
2020-07-09,88.19718543439274
2020-07-10,88.88956363998065
2020-07-13,90.30465454954003
2020-07-14,91.77329349715107
2020-07-15,93.99707237366019
2020-07-16,93.75269462925102
2020-07-17,90.17144149344716
2020-07-20,87.54788326495363
2020-07-21,87.08568458494098
2020-07-22,89.86673499238123
2020-07-23,93.21694965156871
2020-07-24,88.95663180073825
2020-07-27,90.45198202737483
2020-07-28,88.1070708472952
2020-07-29,84.9750926919238
2020-07-30,86.45357387043744
2020-07-31,83.51657359000059
2020-08-03,82.54303948295498
2020-08-04,83.06712035665726
2020-08-05,86.11320820847078
2020-08-06,88.9396117374505
2020-08-07,88.89737279122528
2020-08-10,89.27252423392044
2020-08-11,93.21419765793755
2020-08-12,91.36219811936749
2020-08-13,88.15300210435338
2020-08-14,88.035823057905
2020-08-17,87.62094412736425
2020-08-18,85.57229633186414
2020-08-19,82.78897393591703
2020-08-20,82.73909957989771
2020-08-21,79.13469768492827
2020-08-24,80.76202919160889
2020-08-25,80.220288308799
2020-08-26,82.81963331271714
2020-08-27,81.08279749833329
2020-08-28,78.20155490391886
2020-08-31,78.6460557378002
