Date,PH
2020-01-01,225.99732788994575
2020-01-02,225.4800289678639
2020-01-03,223.14424787052167
2020-01-06,218.8959209683252
2020-01-07,222.19341171045943
2020-01-08,224.41471170993185
2020-01-09,228.14769709330713
2020-01-10,236.86039743145818
2020-01-13,238.01253136363516
2020-01-14,241.48694428628784
2020-01-15,237.2779987073298
2020-01-16,236.34435421300284
2020-01-17,232.150679943258
2020-01-20,230.23385245601023
2020-01-21,223.6988759983401
2020-01-22,230.57188424437214
2020-01-23,228.38355922340799
2020-01-24,233.82222608354934
2020-01-27,223.25231208634622
2020-01-28,226.24227650992688
2020-01-29,227.8981402195402
2020-01-30,230.23820266332805
2020-01-31,233.53857705914496
2020-02-03,234.2121862191219
2020-02-04,234.09125020224147
2020-02-05,238.77163093676126
2020-02-06,234.53469314845933
2020-02-07,231.10039263752762
2020-02-10,230.2709865879098
2020-02-11,233.00995320353235
2020-02-12,233.74331210213097
2020-02-13,234.78858189106026
2020-02-14,235.40531410863187
2020-02-17,238.27402866486457
2020-02-18,238.3051392302138
2020-02-19,238.7069121007752
2020-02-20,238.54186846137065
2020-02-21,238.47150786281642
2020-02-24,237.76549833764224
2020-02-25,241.49763222762203
2020-02-26,238.3469325530104
2020-02-27,243.58574544947163
2020-02-28,233.57857879454772
2020-03-02,223.88449402103328
2020-03-03,225.6140941800545
2020-03-04,226.80271408973488
2020-03-05,219.0698468543608
2020-03-06,216.40166781546557
2020-03-09,220.8716215853359
2020-03-10,219.78013607964317
2020-03-11,218.80014317787362
2020-03-12,218.26644003027872
2020-03-13,223.4567832166424
2020-03-16,218.97845790911637
2020-03-17,222.1001191858985
2020-03-18,219.36366549500605
2020-03-19,223.2549847077882
2020-03-20,224.69746607612853
2020-03-23,232.41019633661156
2020-03-24,229.69213445162595
2020-03-25,234.12083897234854
2020-03-26,225.9234644230573
2020-03-27,225.7639743223861
2020-03-30,227.69576452340587
2020-03-31,226.79295143203322
2020-04-01,231.61171155802592
2020-04-02,233.96658908571766
2020-04-03,231.81193661049159
2020-04-06,231.00416530461237
2020-04-07,232.1848523734196
2020-04-08,240.3167101706226
2020-04-09,240.40819561144477
2020-04-10,242.17579572968214
2020-04-13,237.14867891079646
2020-04-14,241.65502652800274
2020-04-15,242.02803108992046
2020-04-16,241.87218065201728
2020-04-17,234.28970685648375
2020-04-20,240.66088303029647
2020-04-21,241.04180497248424
2020-04-22,240.85357499515223
2020-04-23,237.63152591296245
2020-04-24,236.37904299441968
2020-04-27,230.61242629070978
2020-04-28,232.2130210474927
2020-04-29,237.96979942171663
2020-04-30,236.3153283085831
2020-05-01,239.04449276758382
2020-05-04,239.10145898839727
2020-05-05,238.31727905834072
2020-05-06,235.501186651892
2020-05-07,232.6210182144327
2020-05-08,233.33918379689365
2020-05-11,230.41624965315776
2020-05-12,225.49508017085353
2020-05-13,221.52345009174053
2020-05-14,230.34844566302726
2020-05-15,232.65991099750065
2020-05-18,231.97652838485064
2020-05-19,225.2854718421525
2020-05-20,216.01182232616068
2020-05-21,215.59928212846032
2020-05-22,218.32298186716102
2020-05-25,222.25996275745374
2020-05-26,222.3077993355575
2020-05-27,225.62403134182637
