Date,MET
2020-01-01,385.5503924570195
2020-01-02,391.3794785590931
2020-01-03,386.967606078117
2020-01-06,395.30796587104146
2020-01-07,394.6283366792832
2020-01-08,401.40053200426314
2020-01-09,401.0352365703095
2020-01-10,409.00759435590913
2020-01-13,412.78507556085407
2020-01-14,417.93720648141783
2020-01-15,417.15264423912754
2020-01-16,421.57228914700374
2020-01-17,424.3098168162148
2020-01-20,425.1432085887124
2020-01-21,422.8100520957276
2020-01-22,436.415148350069
2020-01-23,448.22200958600405
2020-01-24,445.9027646241137
2020-01-27,454.34149658931705
2020-01-28,455.01990866328475
2020-01-29,454.39087404749114
2020-01-30,462.7153769239666
2020-01-31,461.81545953240766
2020-02-03,470.99941046616027
2020-02-04,474.77751514507816
2020-02-05,482.2191210641866
2020-02-06,476.1596992963153
2020-02-07,486.45964408126986
2020-02-10,490.06772406441127
2020-02-11,498.3574172717408
2020-02-12,494.7872738150415
2020-02-13,510.6719809868348
2020-02-14,524.2957817227153
2020-02-17,548.9298687322807
2020-02-18,548.8943363723397
2020-02-19,563.9956511983945
2020-02-20,560.9704177045486
2020-02-21,562.7394402070444
2020-02-24,566.0964916873206
2020-02-25,574.1292616251353
2020-02-26,577.245898944355
2020-02-27,585.6271711726241
2020-02-28,585.6732511644269
2020-03-02,596.9873978030001
2020-03-03,599.560422321041
2020-03-04,601.0272375169808
2020-03-05,602.488087778545
2020-03-06,607.5556227789132
2020-03-09,607.0222308657451
2020-03-10,619.5821402374327
2020-03-11,623.9398990108133
2020-03-12,627.320008295681
2020-03-13,643.9642243293945
2020-03-16,638.6759926493288
2020-03-17,633.3491872788397
2020-03-18,620.8598620455925
2020-03-19,638.2072790960777
2020-03-20,631.7533559074639
2020-03-23,625.567333807314
2020-03-24,633.1114573699101
2020-03-25,635.3627567973156
2020-03-26,636.3012796846775
2020-03-27,638.8967833735089
2020-03-30,642.5949198735158
2020-03-31,633.6391709183248
2020-04-01,638.2869984573847
2020-04-02,646.6723159757674
2020-04-03,639.4308900117393
2020-04-06,648.7933525464053
2020-04-07,642.7180587038223
2020-04-08,663.5248561911216
2020-04-09,661.531270223209
2020-04-10,669.5595740194387
2020-04-13,675.5360427647875
2020-04-14,666.5069875301754
2020-04-15,667.2747225667505
2020-04-16,666.303548385415
2020-04-17,669.6383445628428
2020-04-20,673.1579960121443
2020-04-21,690.451006259993
2020-04-22,686.0289731110289
2020-04-23,687.4555007042165
2020-04-24,680.9949933604041
2020-04-27,680.1648745335527
2020-04-28,682.8834412503236
2020-04-29,696.0611244442368
2020-04-30,676.2014887696747
2020-05-01,666.0901474610766
2020-05-04,655.9907717232234
2020-05-05,661.2397204997663
2020-05-06,666.0145567643171
2020-05-07,665.6050735087111
2020-05-08,664.078238264741
2020-05-11,676.0661690474013
2020-05-12,678.8562844850268
2020-05-13,697.538009122262
2020-05-14,678.3827180225792
2020-05-15,668.705630700456
2020-05-18,694.662178097521
2020-05-19,693.3973732672658
2020-05-20,710.4730654420231
2020-05-21,703.0752628462011
2020-05-22,684.3111403038288
2020-05-25,677.0870008925059
2020-05-26,673.9513691673534
2020-05-27,664.8826908933786
2020-05-28,671.1320434707291
2020-05-29,661.3505348952011
2020-06-01,647.4760854865108
2020-06-02,658.5981763062804
2020-06-03,652.0952903203017
2020-06-04,659.633464009091
2020-06-05,663.7850036588858
2020-06-08,682.9777302006695
2020-06-09,679.3649840007457
2020-06-10,658.7999770861079
2020-06-11,662.0648813387212
2020-06-12,651.461284998868
2020-06-15,636.3397811162413
2020-06-16,652.0422498589486
2020-06-17,642.3715090328775
2020-06-18,640.1875411439955
2020-06-19,616.3252900705166
2020-06-22,626.4628998126573
2020-06-23,620.6117861634059
2020-06-24,637.4188710081303
2020-06-25,641.1553263464756
2020-06-26,644.4765685843981
2020-06-29,623.4941095244875
2020-06-30,612.4987792005729
2020-07-01,606.6913996854616
2020-07-02,607.1145345372615
2020-07-03,593.4307434819278
2020-07-06,603.9198598594742
2020-07-07,615.4953831986081
2020-07-08,623.0770142663137
2020-07-09,615.8139686355117
2020-07-10,623.8700975342655
2020-07-13,614.3154242614122
2020-07-14,612.702542834939
2020-07-15,607.372616073125
2020-07-16,611.0420501582373
2020-07-17,615.7682918423121
2020-07-20,612.7599063858481
2020-07-21,615.7351571726106
2020-07-22,612.7364691157785
2020-07-23,607.7149227779335
2020-07-24,614.8177133975903
2020-07-27,611.3587311300965
2020-07-28,605.5188900846445
2020-07-29,619.5658216832138
2020-07-30,649.2879188807603
2020-07-31,668.3385566714283
2020-08-03,653.9225161412328
2020-08-04,671.6111018156627
2020-08-05,674.5950382321361
