Date,COP
2020-01-01,261.0659942814368
2020-01-02,261.055003048839
2020-01-03,260.0064920380024
2020-01-06,258.39512034544947
2020-01-07,259.66192310442074
2020-01-08,261.207529379495
2020-01-09,258.2418697521957
2020-01-10,260.35289760119826
2020-01-13,258.7749807910812
2020-01-14,258.73434828221446
2020-01-15,261.04439205087675
2020-01-16,263.47881353099046
2020-01-17,262.9521062735886
2020-01-20,263.1445738994855
2020-01-21,274.6348348029261
2020-01-22,279.63965877209813
2020-01-23,278.2468868829968
2020-01-24,278.0946335577951
2020-01-27,272.2398698052531
2020-01-28,267.71944238148205
2020-01-29,264.7642888587538
2020-01-30,264.07495421954206
2020-01-31,267.7172852830048
2020-02-03,259.3458989904451
2020-02-04,263.87124698680196
2020-02-05,259.223702453268
2020-02-06,259.2142754355548
2020-02-07,257.141551203218
2020-02-10,251.64617029218
2020-02-11,254.0145411227106
2020-02-12,258.060060105487
2020-02-13,262.9234458688108
2020-02-14,260.13583030573744
2020-02-17,253.4272534212799
2020-02-18,253.24962465791506
2020-02-19,260.26017510384315
2020-02-20,256.9024639991256
2020-02-21,250.47025433641213
2020-02-24,246.8607807492186
2020-02-25,263.34443225810816
2020-02-26,270.0218556836418
2020-02-27,274.8819383683435
2020-02-28,283.49749152150645
2020-03-02,284.51006458344017
2020-03-03,275.30884311359995
2020-03-04,263.7952595698633
2020-03-05,269.9606217444942
2020-03-06,260.6380500167125
2020-03-09,252.2296624743626
2020-03-10,248.5705129516566
2020-03-11,246.67107995365754
2020-03-12,244.327389091121
2020-03-13,241.2692124787723
2020-03-16,237.93062257853737
2020-03-17,240.86464876215243
2020-03-18,241.87247364770778
2020-03-19,240.71879650720047
2020-03-20,240.80243394202202
2020-03-23,239.57133173503433
2020-03-24,237.50749966736592
2020-03-25,231.1120218327627
2020-03-26,228.27899788508282
2020-03-27,234.6236341280344
2020-03-30,237.36076532632632
2020-03-31,236.11807414291016
2020-04-01,248.26680230075155
2020-04-02,251.01852720816174
2020-04-03,246.99324880795348
2020-04-06,244.43285591812557
2020-04-07,243.42217439283684
2020-04-08,238.56157554660524
2020-04-09,241.2364131196203
2020-04-10,243.49789826070347
2020-04-13,245.57796552819337
2020-04-14,247.44707779704927
2020-04-15,244.40976946269654
2020-04-16,245.4964104073258
2020-04-17,245.2630981536582
2020-04-20,245.50040777783605
2020-04-21,243.13829993820923
2020-04-22,238.61042188611984
2020-04-23,232.65492998518673
2020-04-24,234.38123552078824
2020-04-27,238.91684970291618
2020-04-28,235.7447011753261
2020-04-29,231.47363107468973
2020-04-30,229.82728312208343
2020-05-01,235.73898164374856
2020-05-04,234.09794928011303
2020-05-05,230.70114238839605
2020-05-06,229.5674083752647
2020-05-07,237.0889576546933
2020-05-08,236.34796137052706
2020-05-11,230.4399232464333
2020-05-12,227.57173085110153
2020-05-13,225.1817761815974
2020-05-14,226.9665374900484
2020-05-15,223.2780637422615
2020-05-18,223.40432809323025
2020-05-19,219.55997042493868
2020-05-20,222.3497188551076
2020-05-21,225.74165726248663
2020-05-22,225.4489720710325
2020-05-25,223.06452124755904
2020-05-26,225.70808416814546
2020-05-27,220.89715067145372
2020-05-28,218.6660890245672
2020-05-29,218.6543521424028
2020-06-01,215.25113991769967
2020-06-02,214.02132829078496
2020-06-03,217.8312228625804
2020-06-04,216.34425937272678
2020-06-05,217.75485099413297
2020-06-08,221.99505682247377
2020-06-09,224.38757665134986
2020-06-10,230.15220628456458
2020-06-11,235.66847944016527
2020-06-12,231.64553214163868
2020-06-15,230.66442921512365
2020-06-16,223.64347445124514
2020-06-17,222.09210793031338
2020-06-18,225.19744854336668
2020-06-19,228.45440566117185
2020-06-22,229.70222790251358
2020-06-23,229.86427100608867
2020-06-24,235.53047774518276
2020-06-25,234.2339851671935
2020-06-26,229.55384491420992
2020-06-29,227.50147191234106
2020-06-30,223.05576881156432
2020-07-01,216.9994649671509
2020-07-02,222.8467824191975
2020-07-03,224.58951069376323
2020-07-06,222.87283234521976
2020-07-07,215.85024718581238
2020-07-08,213.2457454881652
2020-07-09,216.1361504489888
2020-07-10,210.67622371018172
2020-07-13,213.3699890585399
2020-07-14,209.68910845392304
2020-07-15,210.80928443399108
2020-07-16,212.1765908007027
2020-07-17,216.09625281675224
2020-07-20,222.65975195599887
2020-07-21,221.5189506828282
2020-07-22,224.67273581495044
2020-07-23,235.84672380243944
2020-07-24,234.26927472543036
2020-07-27,234.25937490496648
2020-07-28,230.45914422155977
2020-07-29,224.29986403704513
2020-07-30,224.42562097270792
2020-07-31,217.54004685891312
2020-08-03,219.27531591645408
2020-08-04,220.02783450701023
2020-08-05,226.11142753929136
2020-08-06,223.08279960110616
2020-08-07,222.56954220962766
2020-08-10,225.29107206492975
2020-08-11,219.71667222375663
2020-08-12,220.68385032981175
2020-08-13,224.4689894264805
2020-08-14,226.22260199599953
2020-08-17,223.18370364588145
2020-08-18,214.4899892284782
2020-08-19,210.6700522858415
2020-08-20,211.86450411649523
2020-08-21,214.12772199113843
2020-08-24,215.67160518123657
2020-08-25,215.46458514872103
2020-08-26,226.71437871390367
2020-08-27,223.50300691947578
2020-08-28,229.09665273365025
2020-08-31,232.5158274425391
2020-09-01,231.22475211816095
2020-09-02,236.79258321354231
2020-09-03,228.33077538562728
2020-09-04,228.1609384500739
2020-09-07,231.82801870224012
2020-09-08,234.15637288747294
2020-09-09,238.89432741833969
2020-09-10,235.65499889144303
2020-09-11,237.6269253109128
2020-09-14,233.77631158061538
2020-09-15,231.9906193719699
2020-09-16,233.1013094458243
2020-09-17,232.70224537514022
2020-09-18,222.5100075429325
2020-09-21,223.29174008183108
2020-09-22,222.2892154112462
2020-09-23,228.07847464156
2020-09-24,230.8275356997641
2020-09-25,237.70419110385723
2020-09-28,234.6546167316911
2020-09-29,226.58324261107785
2020-09-30,228.86013986941333
2020-10-01,240.3260210286179
2020-10-02,236.40946008425544
2020-10-05,237.27320059867844
2020-10-06,234.46454412491343
2020-10-07,238.8418101768023
2020-10-08,237.54722927897586
2020-10-09,242.38545135526385
2020-10-12,242.70104396289176
2020-10-13,242.14145090200583
2020-10-14,251.4816643122993
2020-10-15,253.77816650812113
2020-10-16,251.5060310269056
2020-10-19,254.07032453069482
2020-10-20,251.85525177365284
2020-10-21,247.14819858631938
2020-10-22,249.68357570080875
2020-10-23,250.65861275184804
2020-10-26,249.5778108043904
2020-10-27,246.096867278399
2020-10-28,241.5416945532631
2020-10-29,245.71029825598845
2020-10-30,248.98155854763772
2020-11-02,250.6644372502112
2020-11-03,245.85035408998144
2020-11-04,253.65429832504395
2020-11-05,256.83460836226146
2020-11-06,254.4776492926428
2020-11-09,262.96459554819467
2020-11-10,265.58300162949854
2020-11-11,258.18468231495103
2020-11-12,254.97620297289373
2020-11-13,249.85332893244316
2020-11-16,247.59148631233856
2020-11-17,252.42623091721032
2020-11-18,255.681639316837
2020-11-19,257.82881549959797
2020-11-20,262.24102675240994
2020-11-23,264.1123543103872
2020-11-24,265.2471603978775
2020-11-25,279.2329120185751
2020-11-26,284.7508076810847
2020-11-27,283.36799730969506
2020-11-30,282.2357174693652
2020-12-01,286.30127934203074
2020-12-02,282.0871471295386
2020-12-03,279.89912434119304
2020-12-04,283.53840435415975
2020-12-07,281.27160452008485
2020-12-08,273.43636088984726
2020-12-09,274.53658724829893
2020-12-10,274.51315167855336
2020-12-11,275.0216618782119
2020-12-14,267.30578783444804
2020-12-15,264.5046397524283
2020-12-16,262.4356539560106
2020-12-17,265.1936220515981
2020-12-18,257.37018945619315
2020-12-21,256.4211867916101
2020-12-22,251.11736460570333
2020-12-23,247.08232510857152
2020-12-24,244.25488494699457
2020-12-25,241.97889824279525
2020-12-28,244.8968335360681
