Date,ITW
2020-01-01,50.54289861386404
2020-01-02,50.81200625485641
2020-01-03,51.1707478889085
2020-01-06,49.00504550378819
2020-01-07,49.68082727351661
2020-01-08,49.62219993923047
2020-01-09,50.01458538404429
2020-01-10,50.144639539360185
2020-01-13,49.065840831295496
2020-01-14,48.848618949829266
2020-01-15,47.631175316104404
2020-01-16,47.40060901522115
2020-01-17,47.040595696753826
2020-01-20,48.81304622643158
2020-01-21,49.02254907624076
2020-01-22,51.19311540085266
2020-01-23,49.96104578406534
2020-01-24,49.30681963704066
2020-01-27,49.7244239976849
2020-01-28,49.33962561110118
2020-01-29,50.14421429625918
2020-01-30,50.609756031796856
2020-01-31,49.627013608429756
2020-02-03,49.74454262764091
2020-02-04,52.520625179990375
2020-02-05,51.27199932768112
2020-02-06,51.76697928054693
2020-02-07,52.43361211547299
2020-02-10,53.75300829565207
2020-02-11,54.962252523191765
2020-02-12,54.232649393057685
2020-02-13,53.71247871387539
2020-02-14,57.150576581175216
2020-02-17,57.3495547813656
2020-02-18,57.89983012511475
2020-02-19,57.79543855138023
2020-02-20,57.97064729341366
2020-02-21,56.721405391447426
2020-02-24,56.24500799676142
2020-02-25,53.551046317207366
2020-02-26,52.713947046081216
2020-02-27,52.644646537702876
2020-02-28,54.48879981557519
2020-03-02,52.66949892653418
2020-03-03,54.16895947901935
2020-03-04,55.34914753196664
2020-03-05,56.06536315255938
2020-03-06,57.6929601845944
2020-03-09,58.26931332693775
2020-03-10,57.243158804451504
2020-03-11,56.63767556273155
2020-03-12,57.37363759925261
2020-03-13,54.979005106851524
2020-03-16,53.310426325348644
2020-03-17,56.45675318372893
2020-03-18,56.341911618391634
2020-03-19,54.995713348212796
2020-03-20,54.97070793861726
2020-03-23,54.92214184958346
2020-03-24,53.72737577323602
2020-03-25,53.80510963796255
2020-03-26,53.83678949515449
2020-03-27,51.11056217097412
2020-03-30,52.20069749183988
2020-03-31,52.439984193161756
2020-04-01,52.61273058433071
2020-04-02,53.839731898053415
2020-04-03,55.17462595018669
2020-04-06,55.875486908291606
2020-04-07,56.23073578079817
2020-04-08,60.64112596349201
2020-04-09,62.12188011466742
2020-04-10,61.94661235851149
2020-04-13,61.89649824150837
2020-04-14,63.35823134903452
2020-04-15,60.223309653162474
