Date,MO
2020-01-01,125.1964830123791
2020-01-02,126.73527742798844
2020-01-03,125.94272590400728
2020-01-06,125.12231876135533
2020-01-07,126.09403798233981
2020-01-08,127.00964879742303
2020-01-09,128.32036162497076
2020-01-10,129.2176652645732
2020-01-13,128.70270612399233
2020-01-14,129.11435816798803
2020-01-15,129.49762198301326
2020-01-16,129.32697813572972
2020-01-17,133.95946322027092
2020-01-20,137.03647576536682
2020-01-21,137.88589877122809
2020-01-22,130.9726206025585
2020-01-23,132.20343727673034
2020-01-24,131.99350911138077
2020-01-27,133.01260465875106
2020-01-28,133.31564165262034
2020-01-29,133.58073486370446
2020-01-30,132.62002823063645
2020-01-31,130.27667340799047
2020-02-03,132.35518914043206
2020-02-04,129.70158659380868
2020-02-05,132.35658426188112
2020-02-06,137.2105612430429
2020-02-07,135.0589856967674
2020-02-10,135.76528538568348
2020-02-11,136.3981088957232
2020-02-12,133.7194530298694
2020-02-13,132.1977259454657
2020-02-14,128.79670538377744
2020-02-17,127.09853258915334
2020-02-18,124.80512390048595
2020-02-19,126.29142314482866
2020-02-20,128.56806535733318
2020-02-21,126.95351146926093
2020-02-24,126.11933466937175
2020-02-25,124.08547547105682
2020-02-26,127.52627802362339
2020-02-27,127.76275437436198
2020-02-28,130.69677397170727
2020-03-02,129.6913841061921
2020-03-03,128.68159238888634
2020-03-04,126.56231266220534
2020-03-05,130.2850684789105
2020-03-06,130.24837302060737
2020-03-09,130.5785377529076
2020-03-10,129.57996840233758
2020-03-11,128.6603693840287
2020-03-12,128.38477047014544
2020-03-13,126.33826168759083
2020-03-16,124.51932431039064
2020-03-17,125.20969193316915
2020-03-18,127.26232947678227
2020-03-19,125.62828912620134
2020-03-20,123.5136529184786
2020-03-23,122.7994883940305
2020-03-24,119.58631327875383
2020-03-25,117.88873556583675
2020-03-26,116.41370353112666
2020-03-27,115.64700341166021
2020-03-30,118.34866833607475
2020-03-31,119.31047969991599
2020-04-01,118.59070535292025
2020-04-02,119.21133784687513
2020-04-03,119.72359811204556
2020-04-06,120.0668855198522
2020-04-07,120.3051388664701
2020-04-08,120.74917058485383
2020-04-09,120.4984880139597
2020-04-10,121.86904902257005
2020-04-13,122.88604066025667
2020-04-14,121.8350565295286
2020-04-15,123.54132692732972
2020-04-16,118.99929549697217
2020-04-17,120.0079196202832
2020-04-20,119.94344277981997
2020-04-21,120.87089488338755
2020-04-22,118.98459570481941
2020-04-23,119.99938384392728
2020-04-24,118.04452291638749
2020-04-27,119.61911006972699
2020-04-28,119.7221563913231
2020-04-29,118.16422831849884
2020-04-30,118.55376246933362
2020-05-01,117.646749810026
2020-05-04,118.38630797994924
2020-05-05,117.24215747162236
2020-05-06,118.86203371578188
2020-05-07,117.27858508868928
2020-05-08,116.90648600102435
2020-05-11,118.984594093643
2020-05-12,115.96447544522664
2020-05-13,115.2893216583666
2020-05-14,114.37558926617608
2020-05-15,115.1576079818146
2020-05-18,116.87003044971533
2020-05-19,116.18090910044914
2020-05-20,113.88268827515431
2020-05-21,113.55831686445318
2020-05-22,116.40578819566588
2020-05-25,114.68058301847539
2020-05-26,115.14959951297256
2020-05-27,115.8897594727193
2020-05-28,119.01363705776913
2020-05-29,123.11601848969838
2020-06-01,121.85112737141169
2020-06-02,121.55638152622171
2020-06-03,120.72545570218662
2020-06-04,118.63570001689054
2020-06-05,116.70320244947874
2020-06-08,116.48238383386028
2020-06-09,120.70855668864905
2020-06-10,121.16923478021737
2020-06-11,121.85858874382122
2020-06-12,122.59479385735014
2020-06-15,121.63232730608938
2020-06-16,123.12508669871187
2020-06-17,123.9413997683846
2020-06-18,122.12225738835446
2020-06-19,124.40609682699882
2020-06-22,123.4802817616325
2020-06-23,124.00059113051233
2020-06-24,124.45773695214875
2020-06-25,121.38993305537163
2020-06-26,121.76321900206949
2020-06-29,117.75091183596712
2020-06-30,116.06837242023883
2020-07-01,119.46671545494549
2020-07-02,116.15245358574049
2020-07-03,116.6703765163327
2020-07-06,119.80116927319465
2020-07-07,120.45769295176409
2020-07-08,121.3701050876952
2020-07-09,120.61559606562537
2020-07-10,124.29482313804985
2020-07-13,123.92035808763667
2020-07-14,120.24015677810375
2020-07-15,119.59648734652889
2020-07-16,115.38671592717628
2020-07-17,116.92696447057777
2020-07-20,112.0598871525591
2020-07-21,110.87101214887593
2020-07-22,109.5330999453773
2020-07-23,110.83458961659005
2020-07-24,109.25711715464834
2020-07-27,107.89906340072774
2020-07-28,106.96202025417975
2020-07-29,107.78998105829946
2020-07-30,106.14672387457468
2020-07-31,109.37498362617826
2020-08-03,108.14918346418658
2020-08-04,110.34056942676895
2020-08-05,107.67636938788789
2020-08-06,109.51636253399703
2020-08-07,110.08690767673775
2020-08-10,110.35159920308948
2020-08-11,112.66096661857968
2020-08-12,112.17866539524785
2020-08-13,111.19400124639186
2020-08-14,107.95349497970197
2020-08-17,103.7968239388911
2020-08-18,101.70806770508723
2020-08-19,100.76927552327882
2020-08-20,101.61854726056376
2020-08-21,103.40478857496339
2020-08-24,106.0463413916635
2020-08-25,104.59251045324652
2020-08-26,106.34930824704195
2020-08-27,107.52598995928382
2020-08-28,107.20512496531803
2020-08-31,106.4375533260309
2020-09-01,106.17020183748372
2020-09-02,105.58098037909632
2020-09-03,104.6695451514799
