Date,CPB
2020-01-01,391.62686972564575
2020-01-02,400.7449358060373
2020-01-03,397.28125157782716
2020-01-06,393.20320241828523
2020-01-07,394.71493323043137
2020-01-08,408.0543013169811
2020-01-09,411.36758842419687
2020-01-10,408.5335660830392
2020-01-13,405.0784990302268
2020-01-14,401.8101959081487
2020-01-15,400.5283740017296
2020-01-16,391.70095851005294
2020-01-17,393.2239144508862
2020-01-20,403.000358940236
2020-01-21,394.6033959998167
2020-01-22,397.5796702514839
2020-01-23,397.3399601492615
2020-01-24,391.6961018316232
2020-01-27,383.51186448672655
2020-01-28,385.2702756387588
2020-01-29,386.1763874803673
2020-01-30,385.7613420616764
2020-01-31,377.7634293259787
2020-02-03,371.54937915703465
2020-02-04,368.0406985153816
2020-02-05,370.89918896753153
2020-02-06,375.39362837882385
2020-02-07,369.9451584406116
2020-02-10,374.78639666033735
2020-02-11,379.3108282524139
2020-02-12,392.7204941953298
2020-02-13,389.0800262724173
2020-02-14,400.09968845524264
2020-02-17,411.4495821970133
2020-02-18,404.0920373490524
2020-02-19,395.8523317119976
2020-02-20,396.548852085746
2020-02-21,400.0306148526829
2020-02-24,410.0723860027887
2020-02-25,419.3235852578367
2020-02-26,406.79462794920295
2020-02-27,419.3859270533916
2020-02-28,423.3584219605084
2020-03-02,422.25752849921514
2020-03-03,419.55073215421004
2020-03-04,406.8875221670768
2020-03-05,402.7763647268287
2020-03-06,413.59422849161973
2020-03-09,420.477288993599
2020-03-10,416.72565038183194
2020-03-11,413.39917993191244
2020-03-12,416.46915977906207
2020-03-13,418.15830688248417
2020-03-16,424.7001581511771
2020-03-17,418.84190355388495
2020-03-18,424.8509818800084
2020-03-19,426.1472766839435
2020-03-20,430.27759537686234
2020-03-23,429.977572461406
2020-03-24,421.9042235558486
2020-03-25,417.66282189033313
2020-03-26,410.40496732471644
2020-03-27,424.43330907717205
2020-03-30,412.5595001161462
2020-03-31,418.2552360821374
2020-04-01,403.84619166702635
2020-04-02,400.59780835440034
2020-04-03,399.0297440446606
2020-04-06,402.13262925525004
2020-04-07,399.3805992335527
2020-04-08,400.2785091390115
2020-04-09,406.1510413024371
2020-04-10,406.8276160321661
2020-04-13,412.79648751031726
2020-04-14,405.471875478698
2020-04-15,409.15439054446995
2020-04-16,413.3548743210021
2020-04-17,413.61406203583795
2020-04-20,419.33802539382447
2020-04-21,415.10355529036315
2020-04-22,395.66228875289875
2020-04-23,387.8536585204964
2020-04-24,386.44584416421276
2020-04-27,390.784174463751
2020-04-28,385.49127377419813
2020-04-29,392.53693315303593
2020-04-30,392.32481226160286
