Date,HD
2020-01-01,488.10814513684653
2020-01-02,476.51152802084755
2020-01-03,465.7762756494531
2020-01-06,456.396286975598
2020-01-07,459.05924021602726
2020-01-08,457.1381256554012
2020-01-09,452.80499030492666
2020-01-10,476.51477978843513
2020-01-13,487.4901135950791
2020-01-14,482.9851138649029
2020-01-15,482.1754611859328
2020-01-16,474.40279318927435
2020-01-17,489.9369139618287
2020-01-20,489.5541830146062
2020-01-21,477.8143204198939
2020-01-22,458.7240961970676
2020-01-23,456.15554504571924
2020-01-24,462.556118741671
2020-01-27,469.3166108248059
2020-01-28,464.29939306050346
2020-01-29,469.7741713602692
2020-01-30,451.93060806791607
2020-01-31,455.2734633414709
2020-02-03,445.9578186902432
2020-02-04,444.0643084309788
2020-02-05,429.81947472431006
2020-02-06,443.70595674499253
2020-02-07,451.29784283380263
2020-02-10,444.67706022407106
2020-02-11,453.5047194982183
2020-02-12,442.19682858538636
2020-02-13,437.59857478061144
2020-02-14,444.0500905771362
2020-02-17,438.3605656514657
2020-02-18,422.4667557743854
2020-02-19,416.7658156000483
2020-02-20,418.26722040436334
2020-02-21,414.18680081345417
2020-02-24,412.23286199364554
2020-02-25,403.5630871351175
2020-02-26,402.06211629497255
2020-02-27,392.85150449660654
2020-02-28,390.22923784582986
2020-03-02,393.1402159993703
2020-03-03,391.9376478861682
2020-03-04,389.86117401430226
2020-03-05,391.52058200117364
2020-03-06,380.047875627871
2020-03-09,386.12388772949396
2020-03-10,390.62617904581504
2020-03-11,392.4373063254913
2020-03-12,392.35188072743045
2020-03-13,394.25173418691236
2020-03-16,397.7476530916827
2020-03-17,391.65952638307465
2020-03-18,398.6574039504194
2020-03-19,389.1298111869401
2020-03-20,377.3089680346341
2020-03-23,379.1746780088616
2020-03-24,365.52426252153936
2020-03-25,371.0783375490063
2020-03-26,383.5178153125167
2020-03-27,401.07720152144475
2020-03-30,404.2589251377111
2020-03-31,404.49617603997007
2020-04-01,414.64674575792304
2020-04-02,420.9972363196684
2020-04-03,421.6130888294637
2020-04-06,430.7447260103588
2020-04-07,426.6187231924054
2020-04-08,421.585686053427
2020-04-09,422.5790935987545
2020-04-10,450.018691272859
2020-04-13,446.0949939181244
2020-04-14,440.96532547456536
2020-04-15,434.181809137184
2020-04-16,432.9470951910749
2020-04-17,428.93575499916113
2020-04-20,436.3428371850563
2020-04-21,437.14617912057275
2020-04-22,451.6183378641272
2020-04-23,455.09669612628835
2020-04-24,449.4243808352444
2020-04-27,438.04820386632105
2020-04-28,424.7915589962121
2020-04-29,445.8478174776814
2020-04-30,452.04643158594234
2020-05-01,459.0043501682455
2020-05-04,452.76547066061397
2020-05-05,453.51901652704123
2020-05-06,455.40924746515157
2020-05-07,453.91977544724546
2020-05-08,460.38249894132537
2020-05-11,458.09191106451937
2020-05-12,465.99514835506756
2020-05-13,457.3027326636106
2020-05-14,458.68067961918746
2020-05-15,437.6430489770585
2020-05-18,447.9292762881142
2020-05-19,447.46559020718337
2020-05-20,451.5454104967299
2020-05-21,454.88291409075
2020-05-22,452.16716115766735
2020-05-25,447.32317866430054
2020-05-26,443.0581843395465
2020-05-27,447.71247315841714
2020-05-28,445.51908045677015
2020-05-29,439.0837788905922
2020-06-01,424.2835961012484
2020-06-02,427.1932733825716
2020-06-03,415.267923112845
2020-06-04,412.0054869522459
2020-06-05,408.5643700977808
2020-06-08,414.55137351375345
2020-06-09,420.9244058633128
2020-06-10,424.26716496902344
2020-06-11,416.98631264028296
2020-06-12,405.1510525624012
2020-06-15,419.9089981400239
2020-06-16,417.33555953657117
2020-06-17,408.2813035299744
2020-06-18,398.9218402121464
2020-06-19,396.88406073822273
2020-06-22,400.24458522415665
2020-06-23,398.9316396626179
2020-06-24,403.30143398582175
2020-06-25,418.9751131520605
2020-06-26,418.0606323819775
2020-06-29,421.2436236433593
2020-06-30,423.78706407498845
2020-07-01,411.5584493412352
2020-07-02,412.0192611220837
2020-07-03,425.60953602310985
2020-07-06,426.1396384875045
2020-07-07,440.9885907174742
2020-07-08,447.7188092949538
2020-07-09,448.8804780949893
2020-07-10,443.21673686820435
2020-07-13,443.95014032488893
2020-07-14,451.01195486325787
2020-07-15,451.29839816052527
2020-07-16,460.4750526296604
2020-07-17,458.25058185350986
2020-07-20,471.71797987885844
2020-07-21,464.3065703171262
2020-07-22,445.3108227165148
2020-07-23,444.97653513354686
2020-07-24,428.45926626506633
2020-07-27,435.5204517809672
2020-07-28,436.91430780996853
2020-07-29,436.72834734831673
2020-07-30,438.37030413824476
2020-07-31,446.6848615649884
2020-08-03,433.15813801678377
2020-08-04,450.1409415021216
2020-08-05,462.5228851067035
2020-08-06,453.09185935365696
2020-08-07,435.06526858113625
2020-08-10,445.4043888559894
2020-08-11,452.95209277105806
2020-08-12,441.1310005097192
2020-08-13,453.82914824482936
2020-08-14,447.7109237001837
2020-08-17,451.5611021493654
2020-08-18,453.6981214057983
2020-08-19,442.3541736407594
2020-08-20,453.47236028588463
