Date,CB
2020-01-01,339.4415092884537
2020-01-02,343.63614483519507
2020-01-03,339.69971263883775
2020-01-06,340.0867700792237
2020-01-07,339.9768942055453
2020-01-08,341.54650426622993
2020-01-09,343.9699958342205
2020-01-10,343.5208764937573
2020-01-13,339.03201110583996
2020-01-14,334.96027418433914
2020-01-15,330.2807069613547
2020-01-16,331.75849802372437
2020-01-17,330.8401662838377
2020-01-20,330.53745881553436
2020-01-21,333.9844173907076
2020-01-22,335.75178165325764
2020-01-23,336.6403408738322
2020-01-24,339.9816877385945
2020-01-27,341.5338009417431
2020-01-28,342.24722014476663
2020-01-29,344.90738296314197
2020-01-30,347.7321369131758
2020-01-31,339.7029751769615
2020-02-03,336.93611821254405
2020-02-04,338.1816365814692
2020-02-05,341.5057702652181
2020-02-06,337.63396617694644
2020-02-07,338.41970539734274
2020-02-10,339.287228294558
2020-02-11,339.2116389885764
2020-02-12,334.8400011439433
2020-02-13,329.09314816074567
2020-02-14,333.09739041056406
2020-02-17,332.17330098552026
2020-02-18,327.6871387177444
2020-02-19,330.62551848064817
2020-02-20,331.1446280862326
2020-02-21,328.0842536994478
2020-02-24,323.0910772724807
2020-02-25,322.9744935771379
2020-02-26,320.53763293142845
2020-02-27,318.30966827389585
2020-02-28,317.85438714783226
2020-03-02,317.25024661470457
2020-03-03,318.8240488522969
2020-03-04,319.7950928590371
2020-03-05,319.7232729551692
2020-03-06,315.64356836250073
2020-03-09,313.47895398439437
2020-03-10,317.83508143438115
2020-03-11,315.60366282313305
2020-03-12,316.54692290666367
2020-03-13,318.6117466027859
2020-03-16,324.04660521167335
2020-03-17,325.07778144375743
2020-03-18,323.79831052572166
2020-03-19,322.0935437645586
2020-03-20,320.4855038400006
2020-03-23,321.09467978448237
2020-03-24,316.22001001431227
2020-03-25,320.083077494072
2020-03-26,320.54184229290587
2020-03-27,317.6157298048663
2020-03-30,320.11602508345595
2020-03-31,318.8139831916143
2020-04-01,318.7204817690045
2020-04-02,325.36301713292386
2020-04-03,318.35335923283156
2020-04-06,316.13674964379624
2020-04-07,313.9501667266363
2020-04-08,313.7235846718048
2020-04-09,312.5726136939834
2020-04-10,311.79413264380264
2020-04-13,312.3517584102599
2020-04-14,315.02368683553675
2020-04-15,316.3477872377832
2020-04-16,311.2870703662324
2020-04-17,315.37067156782973
2020-04-20,316.9097505886183
2020-04-21,309.31733925018045
2020-04-22,309.26385500638844
2020-04-23,314.3814500268799
2020-04-24,312.10364538022884
2020-04-27,309.75790747565185
2020-04-28,308.11162435740215
2020-04-29,307.92987159783763
2020-04-30,301.65462516230684
2020-05-01,299.45712945484513
2020-05-04,298.72322993046913
2020-05-05,300.3244528782496
2020-05-06,298.97316133737803
2020-05-07,300.9786862443523
2020-05-08,307.600156156973
2020-05-11,308.0292325464613
2020-05-12,307.3627723422103
2020-05-13,309.3088747587134
2020-05-14,307.84928510041925
2020-05-15,311.62309068237323
2020-05-18,315.23186666973754
2020-05-19,314.56962045687607
2020-05-20,317.16923579943096
2020-05-21,308.1696400570095
2020-05-22,312.18575527342216
2020-05-25,315.82433772973246
2020-05-26,314.6184903981429
2020-05-27,309.46013902158256
2020-05-28,315.04321842008716
2020-05-29,311.6310171964602
2020-06-01,313.99266621279713
2020-06-02,318.0441505280564
2020-06-03,314.03070519630415
2020-06-04,316.10163666125123
2020-06-05,325.7128197790991
2020-06-08,331.87124144463513
2020-06-09,330.5407574312364
2020-06-10,332.71484508146625
2020-06-11,330.53895668269223
2020-06-12,324.4133298660232
2020-06-15,324.6489076071036
2020-06-16,326.594281106214
