Date,CDNS
2020-01-01,409.9499223425889
2020-01-02,406.3870506482816
2020-01-03,402.0243127949481
2020-01-06,395.41110697389786
2020-01-07,391.1957643272044
2020-01-08,393.204771424454
2020-01-09,395.82691613333674
2020-01-10,398.3547910574795
2020-01-13,403.74487199146444
2020-01-14,405.6294025330669
2020-01-15,400.58824895028897
2020-01-16,412.12283639464783
2020-01-17,412.93856428315235
2020-01-20,401.24144604476623
2020-01-21,406.5311179471961
2020-01-22,411.9101239084946
2020-01-23,413.324704531837
2020-01-24,413.40140848849865
2020-01-27,415.81356519548433
2020-01-28,429.57693143195866
2020-01-29,425.7258982965884
2020-01-30,429.41916906655945
2020-01-31,426.7444100207226
2020-02-03,427.5321427503755
2020-02-04,428.43621657314714
2020-02-05,432.10347044852483
2020-02-06,425.6723395800297
2020-02-07,428.14264038457316
2020-02-10,431.0930684363925
2020-02-11,443.7283191297616
2020-02-12,447.5373253447027
2020-02-13,444.81319074435874
2020-02-14,447.0957515307001
2020-02-17,454.34494356623964
2020-02-18,450.87430143618445
2020-02-19,453.2226292895437
2020-02-20,454.4313915478097
2020-02-21,460.42849456180704
2020-02-24,460.40544137300714
2020-02-25,457.4906666206494
2020-02-26,454.2409560077364
2020-02-27,454.0089158231826
2020-02-28,458.6005492562207
2020-03-02,465.60497878114757
2020-03-03,460.1739223374025
2020-03-04,459.89893833480824
2020-03-05,460.4230929342853
2020-03-06,466.5439826953332
2020-03-09,460.4990768406916
2020-03-10,454.9185447324375
2020-03-11,452.39035036846735
2020-03-12,454.0491453974209
2020-03-13,449.66253648863494
2020-03-16,449.64574650363494
2020-03-17,454.70392437721273
2020-03-18,459.5370870295175
2020-03-19,466.08166381994016
2020-03-20,461.65042433022904
2020-03-23,466.7843119709386
2020-03-24,464.00084655562154
2020-03-25,459.7942345654659
2020-03-26,460.2161894188896
2020-03-27,462.4219717655872
2020-03-30,466.2104714409789
2020-03-31,470.8566868698809
2020-04-01,459.91677535474736
2020-04-02,460.0574377727534
2020-04-03,468.6159544910233
2020-04-06,459.8820066193678
2020-04-07,469.0804342353067
2020-04-08,469.6308142835971
2020-04-09,469.68895275613596
2020-04-10,465.30717113953824
2020-04-13,469.5464811174035
2020-04-14,479.45769466469466
2020-04-15,486.90532102549713
2020-04-16,484.33214522813233
2020-04-17,483.23030246894774
2020-04-20,484.6980295151237
2020-04-21,482.5472122883005
2020-04-22,479.3800512878279
2020-04-23,468.51837854964356
2020-04-24,468.14164732194695
2020-04-27,466.635639489538
2020-04-28,471.6537248525312
2020-04-29,466.9691359626267
2020-04-30,458.4938753642275
2020-05-01,464.07221674836893
2020-05-04,467.53225289670104
2020-05-05,467.32320266183353
2020-05-06,457.9240630291031
2020-05-07,465.05810689230566
2020-05-08,459.02823846641206
2020-05-11,460.14867660916127
2020-05-12,463.8740396156908
2020-05-13,462.345032356661
2020-05-14,455.0337165990148
2020-05-15,446.3042614911407
2020-05-18,441.90491835578575
2020-05-19,441.577883278464
2020-05-20,438.8427474316666
2020-05-21,447.9771468826319
2020-05-22,450.47507384717795
2020-05-25,444.59736035588463
2020-05-26,449.15331807479373
2020-05-27,442.68337834221023
2020-05-28,442.5477354586834
2020-05-29,434.8975926513507
2020-06-01,430.24941799735484
2020-06-02,428.14723024212964
2020-06-03,437.3533386865326
2020-06-04,438.9359373772158
2020-06-05,437.61850173293493
2020-06-08,440.9226131573908
2020-06-09,440.841279826886
2020-06-10,446.6285925023457
2020-06-11,442.09828180419777
2020-06-12,442.68261558922694
2020-06-15,442.27157365930333
2020-06-16,450.384668036414
2020-06-17,443.71688713121495
2020-06-18,441.5250867760105
2020-06-19,442.75841681523525
2020-06-22,444.6068205313942
2020-06-23,444.9117653926803
2020-06-24,450.0155830390449
2020-06-25,454.6286847905463
2020-06-26,452.34624789358645
2020-06-29,448.03820775624945
2020-06-30,460.83231843650253
2020-07-01,463.6670917232999
2020-07-02,466.93620429530307
2020-07-03,480.111710262957
2020-07-06,491.257297402707
2020-07-07,498.05550065814083
2020-07-08,491.6900616141201
