Date,SNOW
2020-01-01,122.38817312077444
2020-01-02,125.71073830427599
2020-01-03,122.0818493498018
2020-01-06,117.59890236955341
2020-01-07,124.26615070808354
2020-01-08,123.48985482482286
2020-01-09,122.99680762807844
2020-01-10,128.02848566158912
2020-01-13,127.70341929438374
2020-01-14,129.48440847747435
2020-01-15,127.23062293563024
2020-01-16,125.3331294950949
2020-01-17,124.39610119444394
2020-01-20,120.0256505161505
2020-01-21,121.92556062085924
2020-01-22,121.28257530711194
2020-01-23,124.4563879554
2020-01-24,122.44115796184329
2020-01-27,120.76909677015665
2020-01-28,120.72431611000046
2020-01-29,120.29005188097096
2020-01-30,119.89681309736974
2020-01-31,116.3797141584357
2020-02-03,115.9110449555806
2020-02-04,116.79811610816671
2020-02-05,117.96217594183217
2020-02-06,126.46746426278942
2020-02-07,131.79612217521984
2020-02-10,127.78714606335284
2020-02-11,131.19972676667277
2020-02-12,128.0880168035202
2020-02-13,127.24501520140554
2020-02-14,126.68728575317792
2020-02-17,127.29964972674335
2020-02-18,131.23916055707684
2020-02-19,128.45844662733296
2020-02-20,126.98282082201722
2020-02-21,129.09415047500016
2020-02-24,130.91649846242555
2020-02-25,134.06597116713723
2020-02-26,132.55434184190585
2020-02-27,128.8324585937162
2020-02-28,125.49587816976735
2020-03-02,127.24874019457188
2020-03-03,125.13517245809005
2020-03-04,127.15687486244045
2020-03-05,126.11583603093148
2020-03-06,123.1999749613461
2020-03-09,120.03785063149436
2020-03-10,121.50457358674743
2020-03-11,121.88562670110012
2020-03-12,122.72130889114509
2020-03-13,123.75003736686013
2020-03-16,128.06585837319633
2020-03-17,125.68673808530578
2020-03-18,129.10839524083622
2020-03-19,127.33258685808305
2020-03-20,125.35726822125818
2020-03-23,124.95532293218005
2020-03-24,126.61909123426695
2020-03-25,124.44462711657577
2020-03-26,124.2849900227638
2020-03-27,123.50137080089043
2020-03-30,119.28633657816917
2020-03-31,125.0721090188059
2020-04-01,122.69566862654057
2020-04-02,124.77344387735772
2020-04-03,122.02443022546059
2020-04-06,122.63294830915794
2020-04-07,125.24001832295376
2020-04-08,123.00282748036176
2020-04-09,124.94848736545323
2020-04-10,123.477879620276
2020-04-13,125.88040697567556
