Date,INTC
2020-01-01,389.2979020866902
2020-01-02,389.6781250363289
2020-01-03,395.8852015825517
2020-01-06,385.85724039218707
2020-01-07,390.68663919492474
2020-01-08,396.6429629430149
2020-01-09,387.665284134242
2020-01-10,397.2869461616527
2020-01-13,395.98472135105385
2020-01-14,388.1510850438344
2020-01-15,377.1291838761851
2020-01-16,381.07877028253273
2020-01-17,364.1956823013512
2020-01-20,355.4758944976657
2020-01-21,350.71490644735246
2020-01-22,360.2939330391618
2020-01-23,361.08917985492656
2020-01-24,369.3515731781592
2020-01-27,351.53788490883454
2020-01-28,352.2108115912394
2020-01-29,344.1293258454806
2020-01-30,352.2683784203477
2020-01-31,355.1940857925788
2020-02-03,356.2910231705734
2020-02-04,359.6752423060288
2020-02-05,363.783893648403
2020-02-06,372.5081687565201
2020-02-07,368.2634985099884
2020-02-10,378.8508833656117
2020-02-11,394.92547159349147
2020-02-12,388.56913419574636
2020-02-13,386.7635003920519
2020-02-14,392.5642776903346
2020-02-17,397.6541818023204
2020-02-18,390.52820918068915
2020-02-19,385.85711416897516
2020-02-20,372.81593780307327
2020-02-21,387.26784831203213
2020-02-24,389.2021018647397
2020-02-25,393.80375755766187
2020-02-26,393.00915704108877
2020-02-27,385.6293111211962
2020-02-28,391.41400904458334
2020-03-02,385.7499346929786
2020-03-03,380.92299096794505
2020-03-04,372.2690412632447
2020-03-05,359.03346921935974
2020-03-06,359.68270136866886
2020-03-09,371.70775042174495
2020-03-10,369.4705442428976
2020-03-11,376.37187653958983
2020-03-12,378.32963176612793
2020-03-13,379.29698951779847
2020-03-16,375.8617372816996
2020-03-17,392.59661675979953
2020-03-18,378.8837092468571
2020-03-19,365.65710567208686
2020-03-20,360.7973932074442
2020-03-23,357.524400942364
2020-03-24,353.89270567767613
2020-03-25,358.3737958530046
2020-03-26,355.28994994984714
2020-03-27,344.66965866151503
2020-03-30,340.09591048757454
2020-03-31,345.4969997977266
2020-04-01,347.50217330349903
2020-04-02,352.31976729328164
2020-04-03,363.31255463488867
2020-04-06,356.779938176724
2020-04-07,346.9307930281662
2020-04-08,342.5379701631346
2020-04-09,336.8367846431025
2020-04-10,339.25926829581425
2020-04-13,340.51509457160466
2020-04-14,345.5567662902157
2020-04-15,347.98375584013803
2020-04-16,345.88193762239433
2020-04-17,346.3390134337329
2020-04-20,352.4934549726863
2020-04-21,349.19509413372845
2020-04-22,353.7710910875305
2020-04-23,367.69736238209214
2020-04-24,380.2689023735601
2020-04-27,384.7481235147862
2020-04-28,381.7828294314153
2020-04-29,374.82841794882654
2020-04-30,381.4805281402668
2020-05-01,382.5495750585629
2020-05-04,383.7147874210641
2020-05-05,385.93113834655975
2020-05-06,387.55326069483357
2020-05-07,376.7642253686513
2020-05-08,374.4977751168242
2020-05-11,360.5307611585747
2020-05-12,366.27486651627567
2020-05-13,361.81298520877004
2020-05-14,357.2735312205754
2020-05-15,349.00619702193296
2020-05-18,339.83994031698836
2020-05-19,329.4851864760476
2020-05-20,319.6127699188885
2020-05-21,326.20409549639936
2020-05-22,332.8549011687299
2020-05-25,328.27542843000606
2020-05-26,323.3242163089947
2020-05-27,308.69900806737377
2020-05-28,307.342588672049
2020-05-29,310.8858684264321
2020-06-01,305.33155373715397
2020-06-02,304.76704529174447
2020-06-03,309.584616406146
2020-06-04,307.3958974894641
2020-06-05,301.30066144295847
2020-06-08,305.4013880737602
2020-06-09,315.20270647451224
2020-06-10,315.74896367183425
2020-06-11,321.13424651463714
2020-06-12,319.48419714304725
2020-06-15,313.44818511053705
2020-06-16,311.3678093481037
2020-06-17,317.0249147215996
2020-06-18,317.5885177247263
2020-06-19,315.1899830383397
2020-06-22,308.12946132052326
2020-06-23,312.2323312020463
2020-06-24,309.0722472273267
2020-06-25,322.791985957118
2020-06-26,317.2681714176163
2020-06-29,317.54661455643014
2020-06-30,324.14844643584104
2020-07-01,332.73838001190376
2020-07-02,326.34481025848686
2020-07-03,336.51913813714197
2020-07-06,337.8865301040612
2020-07-07,340.8202405097639
2020-07-08,346.87493489522336
2020-07-09,341.3820993824059
2020-07-10,332.474847891198
2020-07-13,333.94086591674403
2020-07-14,328.2416256060273
2020-07-15,315.18908521616544
2020-07-16,322.8967527993102
2020-07-17,317.11063056761753
2020-07-20,326.19016356043375
2020-07-21,320.35154656639685
2020-07-22,333.5010859052096
2020-07-23,347.7689744517481
2020-07-24,351.3855245917613
2020-07-27,347.10057218247994
2020-07-28,336.2544435212117
2020-07-29,334.20987285574245
2020-07-30,332.06601163445333
2020-07-31,348.62641593398354
2020-08-03,337.9754130322734
2020-08-04,334.8639660455294
2020-08-05,335.7402178440255
2020-08-06,340.50231614692314
2020-08-07,336.2453804288853
2020-08-10,330.6039835182208
2020-08-11,324.2595214483298
2020-08-12,315.20256893304116
2020-08-13,325.6573147365469
2020-08-14,327.5060878889073
2020-08-17,331.56084471551196
2020-08-18,332.4760765620942
2020-08-19,348.4378709203817
2020-08-20,344.47260620187075
2020-08-21,336.40980589846953
2020-08-24,335.70524075409713
2020-08-25,335.3847235833974
2020-08-26,337.92438528568687
2020-08-27,326.0919596027018
2020-08-28,319.1582301063715
2020-08-31,330.10559518900055
2020-09-01,322.9448817966239
2020-09-02,323.5578558795854
2020-09-03,327.2801377710196
2020-09-04,323.5533596332249
2020-09-07,325.0370856174477
2020-09-08,325.89984089497113
2020-09-09,329.6577576094779
2020-09-10,336.4944442143096
2020-09-11,346.92059676746305
2020-09-14,349.68216225153895
2020-09-15,351.1846118621263
2020-09-16,352.7159983708536
2020-09-17,358.37094219786036
2020-09-18,359.57152801214255
2020-09-21,366.9625221522297
2020-09-22,373.73527699130636
2020-09-23,381.43100379621603
2020-09-24,390.65735448253787
2020-09-25,392.06115300490694
2020-09-28,399.7352777282019
2020-09-29,392.0435547428199
2020-09-30,416.37237734285213
2020-10-01,424.8253860746184
2020-10-02,425.2516040338847
2020-10-05,426.4769000779013
2020-10-06,419.49035078947657
2020-10-07,419.82934791478084
2020-10-08,414.70401313594044
2020-10-09,421.4700355425942
2020-10-12,426.0180712453556
2020-10-13,426.27081529190775
2020-10-14,419.0175610682289
2020-10-15,413.77091928698354
2020-10-16,398.9454147755907
2020-10-19,406.31901656876806
2020-10-20,412.91167022598233
2020-10-21,402.98492095931573
2020-10-22,396.183812317725
2020-10-23,398.33567791367227
2020-10-26,398.23249921166473
2020-10-27,384.14321060354445
2020-10-28,389.0613916401436
2020-10-29,391.5912419716336
2020-10-30,378.88941952628045
2020-11-02,377.6896810046149
2020-11-03,373.3765024505775
