Date,PNC
2020-01-01,95.3849914148083
2020-01-02,93.99154924530917
2020-01-03,92.32394646548074
2020-01-06,89.84863306118609
2020-01-07,88.96023060221685
2020-01-08,88.98946121779879
2020-01-09,88.65708814571055
2020-01-10,88.99929679692282
2020-01-13,88.50381774696649
2020-01-14,89.81629162315478
2020-01-15,91.74461606890966
2020-01-16,93.63006081513616
2020-01-17,95.78820075172075
2020-01-20,99.80755842699843
2020-01-21,100.69562193104446
2020-01-22,100.78879111312476
2020-01-23,101.10569082491486
2020-01-24,99.64220606831529
2020-01-27,100.92119779617042
2020-01-28,104.97157959725124
2020-01-29,107.0441390677434
2020-01-30,109.13189145243751
2020-01-31,110.1975554634489
2020-02-03,106.78407992274794
2020-02-04,109.85260115719282
2020-02-05,111.08886333958759
2020-02-06,109.22300338769523
2020-02-07,107.38730249715711
2020-02-10,106.94874490105363
2020-02-11,105.47156397255719
2020-02-12,104.25143610442011
2020-02-13,107.84949772147884
2020-02-14,106.19929002858314
2020-02-17,104.10527597910915
2020-02-18,105.59745290310677
2020-02-19,107.27317733669591
2020-02-20,103.2058763060317
2020-02-21,103.02677981059784
2020-02-24,102.46885756704584
2020-02-25,109.1447644578787
2020-02-26,112.00525082976995
2020-02-27,113.69023204940275
2020-02-28,112.52478809482285
2020-03-02,108.63107071837425
2020-03-03,105.23875474015634
2020-03-04,107.32956184274455
2020-03-05,108.73068573258207
2020-03-06,108.5065619971653
2020-03-09,105.8426878524306
2020-03-10,104.26874079824535
2020-03-11,103.55597627488487
2020-03-12,102.67729337408883
2020-03-13,100.40800186347275
2020-03-16,98.39479388691699
2020-03-17,99.15239760305727
2020-03-18,99.38741894595628
2020-03-19,98.31195365139905
2020-03-20,98.21727710534405
2020-03-23,97.61631120255986
2020-03-24,95.40621332652664
2020-03-25,96.1915361317763
2020-03-26,93.39930520263313
2020-03-27,92.96202502787818
2020-03-30,93.94279503483435
2020-03-31,94.41976550476815
2020-04-01,93.5172626760252
2020-04-02,95.45589931209516
2020-04-03,96.1330848302049
2020-04-06,95.77507999109893
2020-04-07,94.93402831557216
2020-04-08,94.36895195435304
2020-04-09,95.37376759457425
2020-04-10,93.08068126317393
2020-04-13,92.39480488975656
2020-04-14,94.93535923196681
2020-04-15,97.45446730065576
2020-04-16,97.80907823875316
2020-04-17,99.89306907815237
2020-04-20,99.23480874498442
2020-04-21,98.39528176337934
2020-04-22,98.10887334884987
2020-04-23,99.27706093174875
2020-04-24,93.94998918153644
2020-04-27,93.1530398919897
2020-04-28,91.50036812666924
2020-04-29,89.65029041423992
2020-04-30,90.72644528809364
2020-05-01,91.74621053174378
2020-05-04,94.02855442159132
2020-05-05,92.95110235384217
2020-05-06,97.02675826126101
2020-05-07,100.65313023227135
2020-05-08,98.99122624694542
2020-05-11,99.35995827128363
2020-05-12,99.45693799667139
2020-05-13,98.34217057078169
2020-05-14,95.95799829872169
2020-05-15,94.98938830040642
2020-05-18,93.78325945948863
2020-05-19,97.00432270007667
2020-05-20,96.81028978023883
2020-05-21,94.42710670599722
2020-05-22,95.19853743085183
2020-05-25,93.31276997672464
2020-05-26,87.80301905499387
2020-05-27,85.79949842979347
2020-05-28,83.18254223686681
2020-05-29,78.92003615190686
2020-06-01,76.14127145968223
2020-06-02,78.41523791989941
2020-06-03,78.74848843307039
2020-06-04,78.91725716487157
2020-06-05,78.28297398396127
2020-06-08,74.0773091922612
2020-06-09,73.67565639152868
2020-06-10,75.0592310534459
2020-06-11,76.13954838535832
2020-06-12,74.66976367136924
2020-06-15,75.66468375424103
2020-06-16,75.39053021705193
2020-06-17,74.12436001524843
2020-06-18,74.13871037450915
2020-06-19,74.84599836844758
2020-06-22,76.96882022653708
2020-06-23,77.87027313943491
2020-06-24,78.26789907034113
2020-06-25,77.73553172261892
2020-06-26,76.43915308743169
2020-06-29,76.7146811862609
2020-06-30,75.86423246313655
2020-07-01,76.8952042099308
2020-07-02,78.67487963176566
2020-07-03,79.59107876713914
2020-07-06,77.60369149002739
2020-07-07,77.32798600003596
2020-07-08,77.03372468263251
2020-07-09,76.11196319441669
2020-07-10,79.71719572962354
2020-07-13,81.49679501930572
2020-07-14,80.4601207387258
2020-07-15,80.55269995558477
2020-07-16,78.54029049634111
2020-07-17,77.13499129486945
2020-07-20,75.71789850966974
2020-07-21,79.80011752388265
2020-07-22,83.19821364131323
2020-07-23,84.48013030771746
2020-07-24,82.36890150295257
2020-07-27,79.74416064876185
