Date,HON
2020-01-01,257.0881229928382
2020-01-02,257.0170850861861
2020-01-03,254.3418053996679
2020-01-06,266.12500235614567
2020-01-07,270.07784621387515
2020-01-08,270.0496995907752
2020-01-09,269.55830200710164
2020-01-10,274.76093714284525
2020-01-13,268.18661928266033
2020-01-14,265.1244721854605
2020-01-15,262.5728436471951
2020-01-16,259.23391787246544
2020-01-17,270.41848105727905
2020-01-20,270.14996189822006
2020-01-21,275.2694932527754
2020-01-22,270.5208314677468
2020-01-23,282.3137844978029
2020-01-24,287.95034049539265
2020-01-27,278.52885960651065
2020-01-28,274.87733179015873
2020-01-29,261.9193376965521
2020-01-30,263.2405609372775
2020-01-31,249.54089693806938
2020-02-03,248.1718261533348
2020-02-04,256.8827822328889
2020-02-05,263.9244897210376
2020-02-06,259.5075400645003
2020-02-07,257.95816413672117
2020-02-10,252.08897690160072
2020-02-11,262.47359505903484
2020-02-12,272.6114893109319
2020-02-13,280.2009082663033
2020-02-14,280.35670877918886
2020-02-17,278.665950650567
2020-02-18,276.62963471469726
2020-02-19,268.67987874147326
2020-02-20,269.32817494333915
2020-02-21,270.4696744773016
2020-02-24,273.1170299844897
2020-02-25,274.93012211234344
2020-02-26,297.5130663825159
2020-02-27,315.702283046648
2020-02-28,311.40790581567734
2020-03-02,304.9199465579492
2020-03-03,303.4198963282123
2020-03-04,305.13280335139075
2020-03-05,284.4347494175694
2020-03-06,276.3382737124593
2020-03-09,283.08996255283773
2020-03-10,265.4875977420562
2020-03-11,274.1305955293894
2020-03-12,268.22648445762024
2020-03-13,265.44398233168124
2020-03-16,269.8756834391843
2020-03-17,270.8548618702039
2020-03-18,256.9982033082953
2020-03-19,257.8849447832359
2020-03-20,265.7343187582819
2020-03-23,282.45402476053323
2020-03-24,279.2848837986137
2020-03-25,271.26337362002346
2020-03-26,275.650968508197
2020-03-27,285.47444055262326
2020-03-30,287.3293722899862
2020-03-31,286.3460500692162
2020-04-01,288.0294430337708
2020-04-02,279.7858353677619
2020-04-03,283.55616892374854
2020-04-06,273.3726730865156
2020-04-07,275.1825973536887
2020-04-08,284.0131264785766
2020-04-09,283.65479778531784
2020-04-10,268.3283455177503
2020-04-13,277.3737435931696
2020-04-14,272.10940029820955
2020-04-15,278.9560794443523
2020-04-16,292.535783921025
2020-04-17,274.71191938383294
2020-04-20,260.73522027822764
2020-04-21,241.70464953666283
2020-04-22,229.10178436441402
2020-04-23,229.29048591306
2020-04-24,240.56006258679753
2020-04-27,222.1237469034987
2020-04-28,221.47082820974023
2020-04-29,218.2352202916373
2020-04-30,212.94012220175435
2020-05-01,213.94005795650668
2020-05-04,217.2879943345236
2020-05-05,219.93015997466702
2020-05-06,212.09749505856357
2020-05-07,213.41125891666297
2020-05-08,206.70416161337974
2020-05-11,204.04904116273255
2020-05-12,197.24374452132727
2020-05-13,203.23231874534298
2020-05-14,202.794207971956
2020-05-15,201.85094501599167
2020-05-18,199.05281737155994
2020-05-19,201.264454277914
2020-05-20,197.92818234288498
2020-05-21,192.40790973935714
2020-05-22,190.50756793267544
2020-05-25,189.2742782213741
2020-05-26,182.68870920131863
2020-05-27,184.26022818884712
2020-05-28,181.56239703990286
2020-05-29,177.40203060898668
2020-06-01,179.88080031890132
2020-06-02,179.73604680958027
2020-06-03,182.26124273002432
2020-06-04,183.21451115677118
2020-06-05,180.53910556591353
2020-06-08,181.23219574957594
2020-06-09,183.1642719093543
2020-06-10,180.39669027450245
2020-06-11,173.32178081005637
2020-06-12,174.3195349064103
2020-06-15,174.59925734813237
2020-06-16,174.10959520089077
2020-06-17,172.1472976333317
2020-06-18,169.17342689316953
2020-06-19,170.77915967354605
2020-06-22,175.96786776437943
2020-06-23,184.87766765691373
2020-06-24,195.2654511801431
2020-06-25,195.03542285337
2020-06-26,195.6608076351544
2020-06-29,192.0428338212784
2020-06-30,191.68708894920925
2020-07-01,192.9924002965306
2020-07-02,191.1386637346303
2020-07-03,186.56465214013687
2020-07-06,183.9353118749047
2020-07-07,187.18762538958111
2020-07-08,192.78831855917014
2020-07-09,188.47348150571722
2020-07-10,189.81776648777182
2020-07-13,189.54545686372126
2020-07-14,189.3722592320184
2020-07-15,187.07410984918647
2020-07-16,180.50654868879946
2020-07-17,179.47860420682088
2020-07-20,173.82185698638537
2020-07-21,163.6975080769256
2020-07-22,164.29836811146035
2020-07-23,171.93684549410418
2020-07-24,168.2808513803885
2020-07-27,166.3753949391607
2020-07-28,157.0921139953613
2020-07-29,154.72208174510428
2020-07-30,155.5290132549255
2020-07-31,156.37504964328554
2020-08-03,149.7246666796518
2020-08-04,144.44027814023508
2020-08-05,146.87697660309203
2020-08-06,147.05799594433034
2020-08-07,144.85322195297476
2020-08-10,148.1076133831824
2020-08-11,152.21250703027275
2020-08-12,149.622954718321
2020-08-13,152.28478391103343
2020-08-14,146.34962937250373
2020-08-17,146.7996184983259
2020-08-18,141.98940206507837
2020-08-19,135.96341470417107
2020-08-20,134.34621150316278
2020-08-21,134.9876094980092
2020-08-24,136.9367786721872
2020-08-25,138.77576623884121
2020-08-26,144.84683555910215
2020-08-27,145.84279312470605
2020-08-28,157.10415253982544
2020-08-31,161.61866412596302
2020-09-01,148.47202625123606
2020-09-02,143.37486493083196
2020-09-03,139.0575510660491
2020-09-04,132.41023981906918
2020-09-07,133.80129206852544
2020-09-08,131.01235712153826
2020-09-09,131.46461424252072
2020-09-10,137.44621498567778
2020-09-11,137.07892659381218
2020-09-14,144.2910040490995
2020-09-15,137.36238139316814
2020-09-16,137.57672607922572
2020-09-17,141.01177649685874
2020-09-18,142.07919928962855
2020-09-21,133.39219913997292
2020-09-22,135.6271536587456
2020-09-23,133.2676648918603
2020-09-24,134.81558774786507
2020-09-25,134.39855510281922
2020-09-28,133.78317676506597
2020-09-29,134.61592401239574
2020-09-30,135.89701976186166
2020-10-01,132.14151588907885
2020-10-02,133.59727973953213
2020-10-05,136.59258087686248
2020-10-06,135.43737134566308
2020-10-07,142.69377156249016
2020-10-08,143.60068415589413
2020-10-09,149.97215407881905
2020-10-12,156.2114837626361
2020-10-13,153.3207461648457
2020-10-14,154.16412251319383
2020-10-15,159.89372790371925
2020-10-16,157.90073152667594
2020-10-19,157.25511343808535
2020-10-20,150.50885740430778
2020-10-21,153.7356513501538
2020-10-22,155.69879414615778
2020-10-23,153.50058215002568
2020-10-26,152.78550189384438
2020-10-27,155.4336709859276
2020-10-28,149.86195780308614
2020-10-29,151.12314189538282
2020-10-30,152.58937372582767
2020-11-02,152.22517161225937
2020-11-03,141.9404599795323
2020-11-04,144.45121386763296
2020-11-05,143.5146158847849
