Date,CVX
2020-01-01,344.72884121974886
2020-01-02,352.79930967392585
2020-01-03,355.38509328633944
2020-01-06,365.3473049901168
2020-01-07,367.66871562303595
2020-01-08,377.7182452194455
2020-01-09,372.0542146594331
2020-01-10,390.68452224528875
2020-01-13,380.9339649912606
2020-01-14,389.5564396244641
2020-01-15,385.64681549796177
2020-01-16,389.1557812163765
2020-01-17,365.50978058342145
2020-01-20,372.294676366525
2020-01-21,375.681960036829
2020-01-22,374.36507860658634
2020-01-23,390.25449638874596
2020-01-24,402.4059647532795
2020-01-27,412.5965433362751
2020-01-28,413.40824240001484
2020-01-29,425.7900705468209
2020-01-30,430.19806258818716
2020-01-31,448.2149035928789
2020-02-03,464.94330556947244
2020-02-04,453.60996455675803
2020-02-05,468.37411488153987
2020-02-06,455.1018431471382
2020-02-07,459.529489207014
2020-02-10,476.054219933889
2020-02-11,489.85803084945775
2020-02-12,493.629368458665
2020-02-13,496.7185963646045
2020-02-14,484.27963678603396
2020-02-17,476.0486557482693
2020-02-18,465.14053492103784
2020-02-19,484.31842862589025
2020-02-20,486.5780915003904
2020-02-21,490.0257768519347
2020-02-24,491.82172097590103
2020-02-25,492.863597229136
2020-02-26,501.42585033832296
2020-02-27,507.7383387916803
2020-02-28,519.8329085657775
2020-03-02,511.5948218067479
2020-03-03,497.54650190052695
2020-03-04,508.07194146268864
2020-03-05,495.6339006459995
2020-03-06,498.88947830417845
2020-03-09,475.21843204643966
2020-03-10,482.1654106199261
2020-03-11,488.3571795756674
2020-03-12,475.9778135193497
2020-03-13,486.27114322225776
2020-03-16,483.9081287883131
2020-03-17,483.23228522991184
2020-03-18,484.452164570306
2020-03-19,482.9863173988589
2020-03-20,489.2914276162771
2020-03-23,477.3711218849643
2020-03-24,463.04973207918425
2020-03-25,451.53300096122194
2020-03-26,449.2588923150875
2020-03-27,433.6446550323393
2020-03-30,449.24095289380386
2020-03-31,468.5098661164545
2020-04-01,473.7778129287002
2020-04-02,469.12347883994676
2020-04-03,473.34282643417083
2020-04-06,482.7209520664856
2020-04-07,490.9461165514767
2020-04-08,465.1873402345354
2020-04-09,458.5973298822138
2020-04-10,459.44475690150335
2020-04-13,455.72228285802134
2020-04-14,453.14888955721983
2020-04-15,452.53857860850997
2020-04-16,465.21086386870445
2020-04-17,463.8341793550146
