Date,AMAT
2020-01-01,124.92544406111168
2020-01-02,124.45150676930903
2020-01-03,124.22610614580223
2020-01-06,124.21855752650414
2020-01-07,126.32275191785864
2020-01-08,130.21973882658747
2020-01-09,127.72811966841769
2020-01-10,133.3726473654643
2020-01-13,134.3927553189703
2020-01-14,136.01962864303374
2020-01-15,135.6317012092286
2020-01-16,136.0139222320639
2020-01-17,132.99961540173206
2020-01-20,134.67419203458073
2020-01-21,140.50334520744397
2020-01-22,141.23302490939437
2020-01-23,148.12849087858646
2020-01-24,142.7839049117085
2020-01-27,148.3086942668693
2020-01-28,146.79759111353857
2020-01-29,154.6130593428966
2020-01-30,155.2635328769339
2020-01-31,155.42571082948444
2020-02-03,159.33088345950162
2020-02-04,159.3757245784951
2020-02-05,164.60815627723716
2020-02-06,169.85478326121626
2020-02-07,164.71306197025902
2020-02-10,166.8779625948683
2020-02-11,176.05008246395101
2020-02-12,167.87423782126012
2020-02-13,161.56616090417336
2020-02-14,160.56220271092837
2020-02-17,158.87117685837038
2020-02-18,165.33212454162026
2020-02-19,162.44305798894914
2020-02-20,162.50780796593753
2020-02-21,159.46562446119833
2020-02-24,162.6530589890909
2020-02-25,165.41818723103304
2020-02-26,164.72741060284127
2020-02-27,162.26961776737704
2020-02-28,160.754050934301
2020-03-02,160.4168509199537
2020-03-03,163.3528501185484
2020-03-04,167.92914356677315
2020-03-05,171.50265895703055
2020-03-06,168.99962329536004
2020-03-09,166.36609630497432
2020-03-10,172.4176049128084
2020-03-11,180.43728240009142
2020-03-12,179.27898815262122
2020-03-13,187.9217500811314
2020-03-16,191.2995739446396
2020-03-17,190.17280228693278
2020-03-18,191.29504899673
2020-03-19,191.7628822734195
2020-03-20,183.39471065964472
2020-03-23,179.52954102409552
2020-03-24,181.41601476299942
2020-03-25,182.94566403233537
2020-03-26,185.2623976858603
2020-03-27,176.14011445528013
2020-03-30,179.6156519507415
2020-03-31,176.51546192677492
2020-04-01,168.81084387284076
2020-04-02,173.90128946263007
2020-04-03,176.43775746212614
2020-04-06,174.2972280309596
2020-04-07,172.57561898445
2020-04-08,169.85555115702934
2020-04-09,164.6108943938668
2020-04-10,164.91238837888437
2020-04-13,159.15498561040252
2020-04-14,158.7144648640628
2020-04-15,155.04430667494938
2020-04-16,150.60905403804736
2020-04-17,149.585472925176
2020-04-20,145.86434028077704
2020-04-21,144.26801499005845
2020-04-22,146.94807896250686
2020-04-23,149.60318432307184
2020-04-24,154.2297811923586
2020-04-27,151.14081565400656
2020-04-28,156.81684152894687
2020-04-29,155.95339132107645
2020-04-30,153.24536131925754
2020-05-01,151.415644994736
2020-05-04,150.31568178895841
2020-05-05,155.89141438768505
2020-05-06,160.42809364444776
2020-05-07,161.17580188808614
2020-05-08,160.2308497564046
2020-05-11,159.63835997975312
2020-05-12,161.715978788689
2020-05-13,171.8958724296246
2020-05-14,171.33329287519578
2020-05-15,178.0582347644256
2020-05-18,179.73059709054456
2020-05-19,180.93116844950822
2020-05-20,181.01269895688102
2020-05-21,181.64057155913346
2020-05-22,181.0166772769415
2020-05-25,178.9771149788221
2020-05-26,183.64771464079962
2020-05-27,179.33358447259943
2020-05-28,174.19408460313335
2020-05-29,173.69766681844035
2020-06-01,170.06595134900195
2020-06-02,175.74891858031208
2020-06-03,167.8212184647228
2020-06-04,158.68332432312945
2020-06-05,159.58136242390492
2020-06-08,157.72330541907107
2020-06-09,152.94076954667634
2020-06-10,148.00854872745307
2020-06-11,155.39217639759383
2020-06-12,158.4639879605609
2020-06-15,153.50650097328878
2020-06-16,157.43271092168246
2020-06-17,158.26604943987775
2020-06-18,161.92183288057552
2020-06-19,162.12339437234328
2020-06-22,158.82283588266029
2020-06-23,165.94717714123482
2020-06-24,162.19854353352173
2020-06-25,157.2027965152994
2020-06-26,153.55497437544096
2020-06-29,156.82225487923975
2020-06-30,155.79436734832393
2020-07-01,155.11076713758965
2020-07-02,159.45350720559895
2020-07-03,159.91178128844862
2020-07-06,165.83222672490976
2020-07-07,161.10649518464712
2020-07-08,165.46379768050187
2020-07-09,172.12146434123133
2020-07-10,169.04185582597648
2020-07-13,162.28721186144466
2020-07-14,159.96222462777848
2020-07-15,162.77885238025058
2020-07-16,154.96549229354073
2020-07-17,153.44872006402784
2020-07-20,152.30395085620316
2020-07-21,153.4644309613346
2020-07-22,151.2887604452704
2020-07-23,151.61591849024606
2020-07-24,148.70773741373984
2020-07-27,144.48948696771726
2020-07-28,147.59960651163726
2020-07-29,148.33099024515485
2020-07-30,146.02455125235716
2020-07-31,139.5387567041294
2020-08-03,140.85272865624557
2020-08-04,144.00140665994826
2020-08-05,140.80978264978935
2020-08-06,141.3554561162674
2020-08-07,138.95261358660414
2020-08-10,139.47760321794175
2020-08-11,141.37966842498204
2020-08-12,133.99715779915263
2020-08-13,129.2933842760725
2020-08-14,129.76070784936837
2020-08-17,132.37718382095017
2020-08-18,138.90843359845636
2020-08-19,142.48883348189142
2020-08-20,145.00634120262998
2020-08-21,133.5084166323651
2020-08-24,129.73536893151632
2020-08-25,129.96475323826263
2020-08-26,126.84905627262822
2020-08-27,122.3719609103466
2020-08-28,120.67891193138261
2020-08-31,122.82178516400218
2020-09-01,122.91460868364103
2020-09-02,123.88697070830858
2020-09-03,123.26451946190596
2020-09-04,128.19193844449592
2020-09-07,128.5200652053331
2020-09-08,137.6329208710039
2020-09-09,139.70809359603047
2020-09-10,138.94284521631184
2020-09-11,141.93031382528363
2020-09-14,136.86521114102047
2020-09-15,138.01781258875312
2020-09-16,135.14261154297986
2020-09-17,133.7454936426191
2020-09-18,134.142546613636
2020-09-21,129.55699915778592
2020-09-22,126.4616354083174
2020-09-23,130.84287757713872
2020-09-24,129.3804660472271
2020-09-25,128.8417751923638
2020-09-28,128.00763657625149
2020-09-29,125.44760056300296
2020-09-30,122.81732607348017
2020-10-01,115.98767290333885
2020-10-02,114.69335859154606
2020-10-05,113.41626096139514
2020-10-06,109.78009543406509
2020-10-07,108.88386503319327
2020-10-08,109.74780166221417
2020-10-09,109.17852096784041
2020-10-12,110.24854700790593
2020-10-13,115.70494839751494
2020-10-14,117.63584577349111
2020-10-15,118.88048985513385
2020-10-16,116.79440093667107
2020-10-19,115.21536952927397
2020-10-20,113.8307133483939
2020-10-21,109.05951695543436
2020-10-22,104.42103754382019
2020-10-23,102.44206958790822
2020-10-26,101.00813822404922
2020-10-27,102.20498888464112
2020-10-28,107.82457855244853
2020-10-29,104.695776330202
2020-10-30,107.8518703259697
2020-11-02,112.0870966882305
2020-11-03,106.31517040521477
2020-11-04,109.17899176695515
2020-11-05,108.86359273991762
2020-11-06,116.03086959953248
2020-11-09,114.52884663517575
2020-11-10,114.07868670739532
2020-11-11,109.31517992810402
2020-11-12,111.02778089313011
2020-11-13,110.65513459045285
2020-11-16,112.54479854317745
2020-11-17,112.66460673345318
2020-11-18,109.63597464346444
2020-11-19,110.53028424418136
2020-11-20,110.18311566664184
2020-11-23,108.69014374710792
2020-11-24,108.32939519925044
2020-11-25,108.05731163428446
2020-11-26,103.3822537809442
2020-11-27,103.25463641948387
2020-11-30,104.50783224318243
2020-12-01,105.11718939102654
2020-12-02,107.17864445955917
2020-12-03,109.76494716634475
2020-12-04,103.95269841838433
2020-12-07,103.43061110836962
2020-12-08,105.42946676484574
2020-12-09,108.00378275622555
2020-12-10,111.40822169879625
2020-12-11,112.74903587704699
2020-12-14,118.70751602126694
2020-12-15,120.80624662766029
2020-12-16,119.58597512063076
2020-12-17,117.97089971541257
2020-12-18,117.93239732190197
2020-12-21,119.00443033780624
2020-12-22,117.1438551937438
2020-12-23,112.65740653238205
2020-12-24,116.94690439518389
2020-12-25,119.59842211548262
2020-12-28,116.81301430520016
2020-12-29,122.30656577965705
2020-12-30,123.32288805506963
2020-12-31,114.96682343563539
2021-01-01,111.50443337363113
2021-01-04,111.78719161289015
2021-01-05,113.34760941219038
2021-01-06,118.84620304829636
2021-01-07,114.35968716646799
2021-01-08,117.58522109753699
2021-01-11,118.54910511926707
2021-01-12,119.9012682552389
2021-01-13,119.64630198859324
2021-01-14,127.26621273931629
2021-01-15,134.97627591746394
2021-01-18,132.34383756638033
2021-01-19,126.68644226969758
2021-01-20,124.52845920253469
2021-01-21,124.99077687705368
2021-01-22,122.10001408797388
2021-01-25,117.19302907606837
2021-01-26,117.99179609810632
2021-01-27,115.02182669572704
2021-01-28,113.68255289459158
2021-01-29,115.49110874008642
2021-02-01,118.520450754651
2021-02-02,123.25202571586382
2021-02-03,126.75997695830891
2021-02-04,125.68328158301236
2021-02-05,126.5389603572492
2021-02-08,124.18802782295651
2021-02-09,127.42924464235821
2021-02-10,129.09567524818533
2021-02-11,126.25735502466343
2021-02-12,124.87617468026716
2021-02-15,123.4592692006279
2021-02-16,128.12348794792587
2021-02-17,133.62360520330347
2021-02-18,134.4409863874838
2021-02-19,131.3849221667731
2021-02-22,133.10948406278848
2021-02-23,129.74434296039712
2021-02-24,135.52322494765988
2021-02-25,136.0331957887014
2021-02-26,139.40200132582484
2021-03-01,143.06337070551047
2021-03-02,143.71443600485952
2021-03-03,146.82928495863783
2021-03-04,146.5437658761164
2021-03-05,155.87278637931067
2021-03-08,156.92642181374228
2021-03-09,161.53415309192025
2021-03-10,164.89700648545994
2021-03-11,169.00973227500293
2021-03-12,170.13457521071985
2021-03-15,168.93317668016363
2021-03-16,161.48827304072765
2021-03-17,164.16131704330314
2021-03-18,167.29090457197935
2021-03-19,168.70037922979606
2021-03-22,164.0736159947254
2021-03-23,165.03762661972752
2021-03-24,171.93217682036385
2021-03-25,169.42702728931553
2021-03-26,163.70327195298177
2021-03-29,160.47193575001845
2021-03-30,159.8601598986448
2021-03-31,163.42368196754242
2021-04-01,166.07040194096223
2021-04-02,171.5645371857188
2021-04-05,170.50392685781623
2021-04-06,170.19720453302142
2021-04-07,171.4209547596629
2021-04-08,172.55187131118984
