Date,OTIS
2020-01-01,236.60392109699828
2020-01-02,239.75350523455006
2020-01-03,245.39031261784652
2020-01-06,241.40763112046793
2020-01-07,244.62979515562137
2020-01-08,233.52354161461153
2020-01-09,232.8834006948798
2020-01-10,231.04268307427841
2020-01-13,226.84110985561975
2020-01-14,225.03129498357515
2020-01-15,218.9558563851459
2020-01-16,220.2185278375715
2020-01-17,213.8825630683526
2020-01-20,215.42337312873173
2020-01-21,204.44913196341201
2020-01-22,203.38898334129303
2020-01-23,205.08439599106632
2020-01-24,206.45996979375542
2020-01-27,205.08461694455235
2020-01-28,201.79489447403517
2020-01-29,203.79557022447054
2020-01-30,203.589165873364
2020-01-31,206.93819777571795
2020-02-03,207.74226698082816
2020-02-04,211.79885377007005
2020-02-05,208.70090792043862
2020-02-06,210.45267775737926
2020-02-07,211.8354299359743
2020-02-10,210.782012002897
2020-02-11,214.17961045779512
2020-02-12,209.64910883882558
2020-02-13,208.08577878526418
2020-02-14,213.98692727185153
2020-02-17,223.4551717237532
2020-02-18,230.438087426571
2020-02-19,233.31702657909696
2020-02-20,236.27824510498806
2020-02-21,238.86548165155335
2020-02-24,240.55778593340423
2020-02-25,245.30565111498163
2020-02-26,253.5939690399083
2020-02-27,253.021273044087
2020-02-28,241.52423523281018
2020-03-02,238.5328460666397
2020-03-03,244.2554662090645
2020-03-04,249.55613411567973
2020-03-05,251.28722435274784
2020-03-06,256.1463408540138
2020-03-09,255.8145757369977
2020-03-10,259.5011211138331
2020-03-11,253.05617654926152
2020-03-12,253.02383109244008
2020-03-13,255.1002315303868
2020-03-16,268.0967631228428
2020-03-17,266.66253347590833
2020-03-18,264.8435303880188
2020-03-19,269.6032974297641
2020-03-20,268.27942957427655
2020-03-23,265.1461967606208
2020-03-24,258.51306831159394
2020-03-25,261.3964524924145
2020-03-26,267.64370345293577
2020-03-27,269.03264651545976
2020-03-30,274.45146222513165
2020-03-31,269.9412847670859
2020-04-01,274.85461990527557
2020-04-02,270.5539275671605
2020-04-03,265.9638384092901
2020-04-06,267.4972497466109
2020-04-07,268.58885073429286
2020-04-08,268.14838048478185
2020-04-09,278.5177458734445
2020-04-10,274.0956834877376
2020-04-13,274.6426980989728
2020-04-14,273.1718961561437
2020-04-15,270.2852840839037
2020-04-16,276.12257073120026
2020-04-17,276.63733094320384
2020-04-20,278.52488575521016
2020-04-21,285.8196716166306
2020-04-22,278.0064490684985
2020-04-23,271.00762510801707
2020-04-24,267.9507551619281
2020-04-27,264.8279503344931
2020-04-28,268.67282905381416
2020-04-29,270.42631004826853
2020-04-30,274.6714291044875
2020-05-01,271.8514538765821
2020-05-04,264.03247882859404
2020-05-05,258.54147605475157
2020-05-06,266.63186835841907
2020-05-07,270.55535154298826
2020-05-08,276.2613407104699
2020-05-11,285.0979490970731
2020-05-12,281.1266752894138
2020-05-13,280.05084820125217
2020-05-14,277.74217486317264
2020-05-15,278.84672342908226
2020-05-18,279.72252417677635
2020-05-19,275.6071821450289
2020-05-20,279.50912882499046
2020-05-21,284.9058635127025
2020-05-22,287.95382174380575
2020-05-25,284.5920150555335
2020-05-26,281.30141062552616
2020-05-27,278.91919517175575
2020-05-28,285.00246457537236
2020-05-29,286.7099390163905
2020-06-01,292.8306482055587
2020-06-02,294.1526877179686
2020-06-03,305.2331540632913
2020-06-04,292.4338773444677
2020-06-05,301.4750503510402
2020-06-08,299.95336160638914
2020-06-09,292.8911458553496
2020-06-10,297.2670381403913
2020-06-11,298.3004706008428
2020-06-12,305.7398039672602
2020-06-15,307.7833669956211
2020-06-16,302.37223891814017
2020-06-17,302.0293754880244
2020-06-18,296.2510760488279
2020-06-19,293.60443612782683
2020-06-22,296.51804149026594
2020-06-23,297.6829876780558
2020-06-24,298.9862765551922
2020-06-25,303.2779818823499
2020-06-26,288.65496266768116
2020-06-29,283.14488931206347
2020-06-30,279.7109696175253
2020-07-01,280.7881739751549
2020-07-02,287.3736662806977
2020-07-03,287.19396313671723
2020-07-06,281.9507872943178
2020-07-07,274.7013746892204
2020-07-08,279.4090618626019
2020-07-09,273.91061358066685
2020-07-10,275.7417138669436
2020-07-13,280.3355251133336
2020-07-14,269.84692842117124
2020-07-15,270.0133067396391
2020-07-16,265.9475952519019
2020-07-17,265.2627296492554
2020-07-20,269.93242508061485
2020-07-21,268.4553114252428
2020-07-22,268.6431511517115
2020-07-23,281.95487999736935
2020-07-24,287.4786384317214
2020-07-27,296.18277676877676
2020-07-28,297.7051696529734
2020-07-29,298.9714473860914
2020-07-30,299.17459720244767
2020-07-31,289.65632750402165
2020-08-03,291.78698821460625
2020-08-04,289.68354488109713
2020-08-05,282.2517753555905
2020-08-06,281.4780574179108
2020-08-07,276.1912485995269
2020-08-10,276.1914181950253
2020-08-11,274.5966313003091
2020-08-12,274.47422324269
2020-08-13,269.36884912313235
2020-08-14,268.70067884571273
2020-08-17,266.2549558734825
2020-08-18,272.9852909682138
2020-08-19,284.26707400401665
2020-08-20,276.3139465054865
2020-08-21,281.9270874711952
2020-08-24,286.34833912886023
2020-08-25,287.4399195149202
2020-08-26,293.02286816561514
2020-08-27,299.93070677002277
2020-08-28,305.5523863403592
2020-08-31,309.8299342957571
2020-09-01,296.7420021533941
2020-09-02,295.98114732806215
2020-09-03,306.002770612236
2020-09-04,313.9027332870159
2020-09-07,311.9689544555511
2020-09-08,320.94991797448085
2020-09-09,317.57828533923123
2020-09-10,319.5327035529526
2020-09-11,321.13426823265604
2020-09-14,314.35761779535926
2020-09-15,306.6760806196581
2020-09-16,311.2532494288793
2020-09-17,316.0952443543737
2020-09-18,316.7401018512931
2020-09-21,313.1532575346009
2020-09-22,311.0568486420481
2020-09-23,310.3447089224164
2020-09-24,312.76087046506774
2020-09-25,311.39733080546733
2020-09-28,327.29085503940206
2020-09-29,330.73896997373777
2020-09-30,341.5262673751719
2020-10-01,339.0661623651306
2020-10-02,341.75547678719363
2020-10-05,340.81607129271083
2020-10-06,334.7671293566606
2020-10-07,326.65882432648544
2020-10-08,313.8670337504697
2020-10-09,309.95827188638805
2020-10-12,308.21940961158793
2020-10-13,307.3177847905882
2020-10-14,308.0185643745232
2020-10-15,312.7063437596189
2020-10-16,318.94004916676994
2020-10-19,319.74442561533465
2020-10-20,314.8942057232236
2020-10-21,313.65543390708683
2020-10-22,315.45587919669634
