Date,CMI
2020-01-01,365.609788179512
2020-01-02,365.5598790520387
2020-01-03,361.6196896679534
2020-01-06,360.4942275356937
2020-01-07,375.4099286073575
2020-01-08,364.4778896916708
2020-01-09,355.94416442178135
2020-01-10,347.1642229350411
2020-01-13,356.5754922963015
2020-01-14,366.6455751585395
2020-01-15,362.2837688243448
2020-01-16,368.6585813693479
2020-01-17,358.92006699812623
2020-01-20,363.6768185268664
2020-01-21,368.35403358047415
2020-01-22,369.3735169359942
2020-01-23,363.31524033959585
2020-01-24,378.5995130096315
2020-01-27,377.3155118651471
2020-01-28,369.97133808165387
2020-01-29,370.0014882865927
2020-01-30,371.8606737901921
2020-01-31,365.5021131408128
2020-02-03,371.21482759262494
2020-02-04,373.5906437524606
2020-02-05,374.44705374222673
2020-02-06,386.147965056528
2020-02-07,380.66067120125405
2020-02-10,375.63407245328256
2020-02-11,367.9762316019513
2020-02-12,375.6070958297024
2020-02-13,388.71104826980377
2020-02-14,392.6330895230456
2020-02-17,398.6072027304889
2020-02-18,392.80616213230866
2020-02-19,400.7976062718076
2020-02-20,406.32286161014775
2020-02-21,398.58151437221215
2020-02-24,397.6526085200853
2020-02-25,393.282653279404
2020-02-26,392.3791746600874
2020-02-27,402.94988202832565
2020-02-28,401.9443547717062
2020-03-02,402.05991032190093
2020-03-03,398.1517528891741
2020-03-04,389.0245866209162
2020-03-05,373.7471908708046
2020-03-06,368.26320048024655
2020-03-09,379.07653763498354
2020-03-10,383.6511067187761
2020-03-11,390.6365065802931
2020-03-12,377.46189594956707
2020-03-13,369.69085470088794
2020-03-16,370.8071518311912
2020-03-17,382.8835774323505
2020-03-18,384.77994780792125
2020-03-19,378.1329425098014
2020-03-20,376.5273152085271
2020-03-23,382.054980451565
2020-03-24,398.78477890608565
2020-03-25,401.6621288312767
2020-03-26,400.44916729608985
2020-03-27,400.9875698226745
2020-03-30,392.96689990967104
2020-03-31,404.2472281988516
2020-04-01,410.0636499141093
2020-04-02,409.11909791017587
2020-04-03,423.96765284775984
2020-04-06,413.78917560110415
2020-04-07,418.7859949433348
2020-04-08,413.46333003793796
2020-04-09,400.1328293737277
2020-04-10,407.663294764795
2020-04-13,407.70177475953886
2020-04-14,404.06949700242484
2020-04-15,409.8727854934119
2020-04-16,405.92083747540437
2020-04-17,398.16748238592555
2020-04-20,406.89840674448
2020-04-21,416.6733360213428
2020-04-22,400.5759300026832
2020-04-23,390.9522106209613
2020-04-24,398.0135274540076
2020-04-27,405.15869998525744
2020-04-28,392.7948263507051
2020-04-29,400.27660834679045
2020-04-30,397.3316130817799
2020-05-01,390.4406600400596
2020-05-04,380.2558394623089
2020-05-05,394.7215702570348
2020-05-06,394.9037093637187
2020-05-07,396.3574995786302
2020-05-08,414.508236537989
2020-05-11,401.080755013805
2020-05-12,401.7016673191426
2020-05-13,394.11530795515574
2020-05-14,391.1837462198464
2020-05-15,387.94132846763455
2020-05-18,387.6328663900471
2020-05-19,375.21238116057305
2020-05-20,364.59906396278893
2020-05-21,367.9822384707892
2020-05-22,381.3049189075875
2020-05-25,384.95533325614167
2020-05-26,384.5292497023952
2020-05-27,379.189245016949
2020-05-28,385.06084263587366
2020-05-29,360.3420311083249
2020-06-01,352.73646050248675
2020-06-02,349.9625889852859
2020-06-03,350.2659734054856
2020-06-04,344.6742656124684
2020-06-05,336.4945152140278
2020-06-08,330.4830568836277
2020-06-09,331.8599700580175
2020-06-10,335.0006414149345
2020-06-11,332.84206537510875
2020-06-12,322.82624863324787
2020-06-15,333.15460889240524
2020-06-16,326.12904317078517
2020-06-17,328.4653115895734
2020-06-18,337.36260017502553
2020-06-19,335.16747336798835
2020-06-22,329.6842891864878
2020-06-23,323.07534235685046
2020-06-24,316.7914021298458
2020-06-25,315.3266094882305
2020-06-26,307.2151468984202
2020-06-29,313.32361389725173
2020-06-30,322.925722886691
2020-07-01,309.8395179728735
2020-07-02,308.50859347235735
2020-07-03,311.11238630598564
2020-07-06,306.5896989404923
2020-07-07,312.0925390364887
2020-07-08,312.47839302088164
2020-07-09,307.67925376287366
2020-07-10,318.05171445240507
2020-07-13,300.4350282443525
2020-07-14,302.49561369475623
2020-07-15,293.2479880960643
2020-07-16,285.453520674652
2020-07-17,293.58163004430514
2020-07-20,288.2207703305379
2020-07-21,290.81483289510084
2020-07-22,287.06134758745134
2020-07-23,293.9432794011439
2020-07-24,297.47437563662373
2020-07-27,312.10658536126033
2020-07-28,310.212500666768
2020-07-29,304.0770028237524
2020-07-30,304.72391891535307
2020-07-31,307.6852491165376
2020-08-03,305.9410606940672
2020-08-04,302.69802674271534
2020-08-05,297.2576221190209
2020-08-06,310.7625459424952
2020-08-07,304.07068360788617
2020-08-10,299.4932721108231
2020-08-11,306.91890389255246
2020-08-12,314.8675031976278
2020-08-13,294.524663664874
2020-08-14,298.43289332868716
2020-08-17,297.03026287500154
2020-08-18,298.3705918186031
2020-08-19,305.1955246569459
2020-08-20,302.1893661133246
2020-08-21,295.2533180241132
2020-08-24,298.0780437073004
2020-08-25,294.3319599011626
2020-08-26,297.71519015314715
2020-08-27,296.4640233171608
2020-08-28,294.0194199901543
2020-08-31,295.52676294700086
2020-09-01,297.7971059490772
2020-09-02,294.14476508207264
2020-09-03,299.52563140795615
2020-09-04,289.9267395007744
2020-09-07,288.9612106506626
2020-09-08,284.9342943662792
2020-09-09,281.70515872672644
2020-09-10,275.15818482705924
2020-09-11,274.5912952284758
2020-09-14,282.7921543283639
2020-09-15,277.3052120386677
2020-09-16,279.78520550007795
2020-09-17,287.0828375085911
2020-09-18,295.77434406744953
2020-09-21,298.0733188846242
2020-09-22,296.3016084477879
2020-09-23,302.657798065809
2020-09-24,291.6649776105017
2020-09-25,288.1008194482253
2020-09-28,278.96199659827863
2020-09-29,274.19971391726443
