Date,UNP
2020-01-01,266.43943736100726
2020-01-02,269.9046753246385
2020-01-03,271.870017232167
2020-01-06,273.4700493862641
2020-01-07,275.8431161116461
2020-01-08,275.55052913208306
2020-01-09,272.7699741966662
2020-01-10,266.70294240278935
2020-01-13,267.243069439595
2020-01-14,263.6517199506403
2020-01-15,264.06977689700847
2020-01-16,262.84441972926555
2020-01-17,263.80939062421055
2020-01-20,266.290785764115
2020-01-21,261.13632472771525
2020-01-22,257.29417508962587
2020-01-23,257.40650379837507
2020-01-24,259.16986102195824
2020-01-27,260.2329157710023
2020-01-28,249.51911818837038
2020-01-29,248.626395074258
2020-01-30,250.4835272589105
2020-01-31,255.85925561496887
2020-02-03,253.864766162353
2020-02-04,251.70737861057853
2020-02-05,248.62073819777942
2020-02-06,253.9106586642937
2020-02-07,258.4511722191397
2020-02-10,256.6268882012253
2020-02-11,256.61745865148237
2020-02-12,251.19622911701381
2020-02-13,254.44307050016477
2020-02-14,252.4763730642995
2020-02-17,244.40005101842507
2020-02-18,249.37138747299784
2020-02-19,253.14239111086505
2020-02-20,252.07909198526494
2020-02-21,249.44091326319517
2020-02-24,254.96624689575694
2020-02-25,252.25496680077904
2020-02-26,253.79218250416017
2020-02-27,254.2038667021137
2020-02-28,259.43462226216286
2020-03-02,256.9635949097216
2020-03-03,255.92763562578813
2020-03-04,257.63534101814497
2020-03-05,259.21675398953363
2020-03-06,257.41073506067295
2020-03-09,251.5763583442615
2020-03-10,252.10929883172696
2020-03-11,251.07934686833016
2020-03-12,249.86544554271993
2020-03-13,252.23742559073838
2020-03-16,253.49156391552003
2020-03-17,249.73841225390544
2020-03-18,248.3807345691804
2020-03-19,248.66064754587725
2020-03-20,246.89345994051644
2020-03-23,243.08334202655652
2020-03-24,251.88342784729946
2020-03-25,251.78916902989064
2020-03-26,252.7576652657437
2020-03-27,255.5498396328196
2020-03-30,251.98670578267536
2020-03-31,248.46194723067194
2020-04-01,249.89622242676796
2020-04-02,250.01456190395717
2020-04-03,257.69751888012325
2020-04-06,268.7441969437951
2020-04-07,274.16062854905715
2020-04-08,277.6303614212734
2020-04-09,279.64984579966415
2020-04-10,275.1383897928001
2020-04-13,279.46931731040155
2020-04-14,277.96017171674583
2020-04-15,276.6689543027115
2020-04-16,273.6708029644328
2020-04-17,273.73944977728837
2020-04-20,272.25697843137704
2020-04-21,264.9553400238621
2020-04-22,269.3268416287585
2020-04-23,268.2117654387246
2020-04-24,271.71039556590813
2020-04-27,271.3556382178248
2020-04-28,271.859593672366
2020-04-29,265.1708511425567
2020-04-30,271.58828677533415
