Date,D
2020-01-01,122.94076336867404
2020-01-02,123.0067513791844
2020-01-03,124.70927965104677
2020-01-06,123.42575040322421
2020-01-07,125.19585858275566
2020-01-08,126.06724385090031
2020-01-09,126.51824078095622
2020-01-10,127.3634080685129
2020-01-13,124.70904581367863
2020-01-14,123.71029802534467
2020-01-15,123.88243145855795
2020-01-16,122.48580669975446
2020-01-17,118.77307837600421
2020-01-20,119.35557286760177
2020-01-21,120.1995722263288
2020-01-22,119.09523721877184
2020-01-23,117.37055624032297
2020-01-24,116.57994117516225
2020-01-27,117.06045360862912
2020-01-28,117.84632867299516
2020-01-29,116.62663871484283
2020-01-30,116.54702128744098
2020-01-31,116.58353854280047
2020-02-03,117.64302165776125
2020-02-04,117.21248116452429
2020-02-05,116.4436452421545
2020-02-06,117.39139474737928
2020-02-07,116.54340594180786
2020-02-10,117.92148008398779
2020-02-11,116.35886195249878
2020-02-12,116.72837865420122
2020-02-13,116.98623121987139
2020-02-14,116.79265383108974
2020-02-17,115.87435755074216
2020-02-18,114.84132300081178
2020-02-19,115.27841986641258
2020-02-20,114.46475524943286
2020-02-21,115.60975846422119
2020-02-24,116.75266184851444
2020-02-25,117.08935905379376
2020-02-26,117.74872992428634
2020-02-27,116.5137217538025
2020-02-28,115.61581393128745
2020-03-02,116.77779239477535
2020-03-03,117.93630214932756
2020-03-04,115.83608910141282
2020-03-05,116.58722477433378
2020-03-06,115.98892055013894
2020-03-09,116.14191949704089
2020-03-10,116.08384298006143
2020-03-11,116.64915081622566
2020-03-12,119.84381640926664
2020-03-13,120.43085529941192
2020-03-16,121.28021336031124
2020-03-17,120.50507728361166
2020-03-18,120.8554866591222
2020-03-19,120.58390427742503
2020-03-20,122.16093863238099
2020-03-23,121.26319357530052
2020-03-24,122.76320873062123
2020-03-25,122.79507812554832
2020-03-26,125.51375300109021
2020-03-27,126.80473777780703
2020-03-30,127.28258747659133
2020-03-31,127.6966399726385
2020-04-01,128.81062809081834
2020-04-02,126.23366038593407
2020-04-03,124.56699922013384
2020-04-06,125.09768048310359
2020-04-07,125.65237620493768
2020-04-08,125.24683367960273
2020-04-09,123.88595983483458
2020-04-10,123.41075285465887
2020-04-13,125.43630198203635
2020-04-14,126.28164700403322
2020-04-15,127.36971659652289
