Date,O
2020-01-01,228.07207341118797
2020-01-02,224.02100045651548
2020-01-03,222.1924425894612
2020-01-06,227.93244988535693
2020-01-07,230.623755095356
2020-01-08,231.16488863237694
2020-01-09,235.30340920083626
2020-01-10,235.6794557683309
2020-01-13,238.86887801398035
2020-01-14,240.58561336966173
2020-01-15,236.03643719654121
2020-01-16,233.8398620386265
2020-01-17,236.4205279202326
2020-01-20,228.4514299154905
2020-01-21,227.06690291190733
2020-01-22,225.80598522576062
2020-01-23,221.56578707870926
2020-01-24,220.4414626567193
2020-01-27,215.68214464107223
2020-01-28,217.87044102030458
2020-01-29,215.15730737751403
2020-01-30,213.91027745687884
2020-01-31,212.03739328837403
2020-02-03,214.3056237622848
2020-02-04,209.8498267891504
2020-02-05,206.35543744371188
2020-02-06,204.4130050302671
2020-02-07,201.94904433613954
2020-02-10,202.30598740260976
2020-02-11,206.00259865441006
2020-02-12,207.3163504785421
2020-02-13,200.05162420731193
2020-02-14,199.96890110577513
2020-02-17,198.21869772533475
2020-02-18,198.80104285531414
2020-02-19,197.5923765165605
2020-02-20,196.86988754010773
2020-02-21,195.69597568718314
2020-02-24,196.98163772212047
2020-02-25,199.13010024452126
2020-02-26,197.2583120094385
2020-02-27,194.5596727852327
2020-02-28,196.83040946941372
2020-03-02,197.76205280800187
2020-03-03,201.49084545455813
2020-03-04,202.69217417834756
2020-03-05,204.97641285340694
2020-03-06,204.97292030052844
2020-03-09,206.735811223124
2020-03-10,202.6473294355983
2020-03-11,203.2767882085163
2020-03-12,199.76230144196813
2020-03-13,197.93681676366725
2020-03-16,199.67654570156645
2020-03-17,197.03132732275387
2020-03-18,195.08886525066922
2020-03-19,195.3343040849697
2020-03-20,197.54907659496033
2020-03-23,198.5950196446512
2020-03-24,199.46196349153124
2020-03-25,195.78776618810937
2020-03-26,196.92666421891357
2020-03-27,196.01389884626457
2020-03-30,197.74415116785215
2020-03-31,192.08011484729894
2020-04-01,186.33072580178836
2020-04-02,186.73068105651018
2020-04-03,188.9074100926558
2020-04-06,189.04784471176518
2020-04-07,192.73472889478836
2020-04-08,188.46602824626288
2020-04-09,188.1384231660727
2020-04-10,186.07821439047467
2020-04-13,183.91319230118515
2020-04-14,187.37885796425388
2020-04-15,189.10551911252725
2020-04-16,188.99223528939024
2020-04-17,183.85444094647352
2020-04-20,176.95284001863234
2020-04-21,182.2785518890862
2020-04-22,186.27974265832617
2020-04-23,187.5066339636329
2020-04-24,189.3240562051038
2020-04-27,188.62840154995573
2020-04-28,189.73092184020223
2020-04-29,190.77145738853548
2020-04-30,189.78644924050795
2020-05-01,192.10237797095908
2020-05-04,194.70172219635293
2020-05-05,196.38658388510575
2020-05-06,195.65630431371605
2020-05-07,195.15370583918178
2020-05-08,193.9276598316906
2020-05-11,204.01905974407438
2020-05-12,201.27439263097648
2020-05-13,201.7052304669548
2020-05-14,199.74354984243845
2020-05-15,199.79686031537045
2020-05-18,201.2437626286974
2020-05-19,204.41106615156536
2020-05-20,202.40106614656202
2020-05-21,199.41528817187185
2020-05-22,198.70262481678597
2020-05-25,199.18060507975855
2020-05-26,201.19769288898885
2020-05-27,199.454234179354
2020-05-28,198.4128363388979
2020-05-29,201.11955152573114
2020-06-01,204.70672379073298
2020-06-02,208.5718840268557
2020-06-03,205.67208127323892
2020-06-04,207.69291105377354
2020-06-05,208.94929338569187
2020-06-08,202.29801113886043
2020-06-09,203.2153684924464
2020-06-10,200.41964495935372
2020-06-11,200.29081051422722
2020-06-12,199.77898904503922
2020-06-15,202.38011158565868
2020-06-16,205.52790218805404
2020-06-17,208.8871642396406
2020-06-18,207.16751412288724
2020-06-19,205.6920551380816
2020-06-22,204.7338429536342
2020-06-23,212.05518953251575
2020-06-24,214.936926479461
2020-06-25,211.12114511484964
2020-06-26,206.40831472314923
2020-06-29,204.4920916831167
2020-06-30,203.04847126898903
2020-07-01,201.34409144487353
2020-07-02,204.37934175385246
2020-07-03,204.28616373288196
2020-07-06,199.85488614076306
2020-07-07,203.28056495407534
2020-07-08,204.19826557102314
2020-07-09,206.32055601840247
2020-07-10,206.98855382446533
2020-07-13,203.44006284743293
2020-07-14,202.66313471834786
2020-07-15,201.98612237724734
2020-07-16,202.15598667076992
2020-07-17,205.77744749974664
2020-07-20,209.29270931147283
2020-07-21,208.39594605985957
2020-07-22,207.69301222144776
2020-07-23,209.16614313045784
