Date,MDT
2020-01-01,427.77859522026483
2020-01-02,429.6015450002876
2020-01-03,425.2074386320623
2020-01-06,436.37213163629787
2020-01-07,425.9773193338602
2020-01-08,430.4387447885292
2020-01-09,423.72312237183877
2020-01-10,436.35696655201093
2020-01-13,431.9693606865399
2020-01-14,429.96903100768554
2020-01-15,430.7053258585288
2020-01-16,431.36159149959303
2020-01-17,434.8782236357777
2020-01-20,428.4522823400488
2020-01-21,433.0551311997391
2020-01-22,429.8418248902198
2020-01-23,428.2479540269714
2020-01-24,428.37662820748153
2020-01-27,424.54264114155865
2020-01-28,418.91289085705864
2020-01-29,418.5836802660307
2020-01-30,414.0510426155676
2020-01-31,419.3260650961425
2020-02-03,413.51963064845427
2020-02-04,408.02735379032225
2020-02-05,416.8965239968222
2020-02-06,416.60225951305017
2020-02-07,421.6038382469833
2020-02-10,429.17217875871654
2020-02-11,426.82224487348935
2020-02-12,430.6004271324304
2020-02-13,437.97015334124336
2020-02-14,441.8194879806611
2020-02-17,427.1422414894499
2020-02-18,427.24964302422893
2020-02-19,422.5829891699545
2020-02-20,426.592845578137
2020-02-21,432.4797232878194
2020-02-24,437.9671322977607
2020-02-25,427.26456571011965
2020-02-26,435.4887028890437
2020-02-27,421.4013312307671
2020-02-28,419.44244251170227
2020-03-02,420.53264392064625
2020-03-03,420.11039386152396
2020-03-04,414.3171547077016
2020-03-05,411.081710567156
2020-03-06,412.9693100266528
2020-03-09,412.98768473710646
2020-03-10,407.7888272949083
2020-03-11,412.6005242804799
2020-03-12,413.35147358997114
2020-03-13,418.90774629940967
2020-03-16,423.2980647920595
2020-03-17,421.4405507491831
2020-03-18,435.2206404629804
2020-03-19,419.65291388712416
2020-03-20,425.8895916806522
2020-03-23,434.36536226014783
2020-03-24,429.5928318286897
2020-03-25,426.66515126112597
2020-03-26,423.17049253737997
2020-03-27,429.1673889074172
2020-03-30,435.8419707145951
2020-03-31,438.1032588303189
2020-04-01,433.4250877954551
2020-04-02,449.73529869188195
2020-04-03,468.0308160974954
2020-04-06,470.07817530293795
2020-04-07,457.2662035838735
2020-04-08,459.31866625744175
2020-04-09,451.889301072123
2020-04-10,453.1353238439313
2020-04-13,443.6805159128967
2020-04-14,444.49310639214104
2020-04-15,443.45438697922674
2020-04-16,448.5452030900935
2020-04-17,428.76960146017547
2020-04-20,428.285456494305
2020-04-21,434.87654974858197
2020-04-22,427.3437383124346
2020-04-23,430.484776886972
2020-04-24,430.6687386573068
2020-04-27,437.45486975627347
2020-04-28,442.5792082566938
2020-04-29,444.25838201659303
2020-04-30,451.4399646227415
2020-05-01,445.9238945323783
2020-05-04,444.7573358498791
2020-05-05,441.6459448681637
2020-05-06,439.0806945090461
2020-05-07,443.99522235362565
2020-05-08,434.66755151741484
2020-05-11,431.20146587808307
2020-05-12,435.10735042973346
2020-05-13,456.7323719076967
2020-05-14,461.3991084533369
2020-05-15,461.75352597351554
2020-05-18,467.6663652025461
2020-05-19,477.85313281255713
2020-05-20,490.5641129988004
2020-05-21,491.9909212944248
2020-05-22,495.27622313595685
2020-05-25,499.2246155230873
2020-05-26,515.6993527315014
2020-05-27,505.5243940710997
2020-05-28,501.31854510158604
2020-05-29,508.80974468249565
2020-06-01,502.02026099577586
2020-06-02,495.46078254997894
2020-06-03,491.58351431547385
2020-06-04,492.651354447721
2020-06-05,485.1437179500436
