Date,STT
2020-01-01,367.7830855545749
2020-01-02,356.8229234296264
2020-01-03,342.9939588106123
2020-01-06,337.9336728354109
2020-01-07,340.55775501531366
2020-01-08,333.3475268353817
2020-01-09,333.161182168138
2020-01-10,323.37782039801084
2020-01-13,334.32112025076475
2020-01-14,327.309097145614
2020-01-15,324.1156398252517
2020-01-16,326.7065640403304
2020-01-17,318.27051166849367
2020-01-20,299.72013643089775
2020-01-21,303.1391031973714
2020-01-22,298.6246766687859
2020-01-23,308.64104804610884
2020-01-24,293.6486772856178
2020-01-27,288.5875867976983
2020-01-28,283.88360929671325
2020-01-29,296.2850365225926
2020-01-30,298.5686088351622
2020-01-31,291.7080078974271
2020-02-03,286.82855034753084
2020-02-04,287.0256054082873
2020-02-05,288.2970921457166
2020-02-06,288.94412637444725
2020-02-07,282.2704312144508
2020-02-10,287.4050661544117
2020-02-11,287.0933375497281
2020-02-12,291.7493837385396
2020-02-13,289.09399451270014
2020-02-14,292.08337550108587
2020-02-17,283.06053837323486
2020-02-18,281.7401758617078
2020-02-19,277.2361315759752
2020-02-20,271.1550485719612
2020-02-21,276.9270380697124
2020-02-24,273.1288271956352
2020-02-25,262.8806232912091
2020-02-26,264.94179546385135
2020-02-27,262.3411611330783
2020-02-28,248.6865292815129
2020-03-02,246.7162205632045
2020-03-03,247.87466578437102
2020-03-04,249.63030072098437
2020-03-05,259.29773775582026
2020-03-06,261.54621395080017
2020-03-09,264.1401501820121
2020-03-10,259.4350880250362
2020-03-11,261.82699681484314
2020-03-12,256.20144854024676
2020-03-13,248.79759777727259
2020-03-16,248.93049978930404
2020-03-17,249.74699369963648
2020-03-18,247.22626741940223
2020-03-19,248.07125561491466
2020-03-20,251.33820514879892
2020-03-23,255.81058337898716
2020-03-24,261.0345646942636
2020-03-25,260.99356268489277
2020-03-26,260.0164879626424
2020-03-27,255.8014256447155
2020-03-30,257.33483961578975
2020-03-31,268.33683645854757
2020-04-01,269.01604197384745
2020-04-02,267.6403972806697
2020-04-03,269.24823580105505
2020-04-06,264.7253420380315
2020-04-07,254.25512419218526
2020-04-08,254.867895405454
2020-04-09,260.5863507400612
2020-04-10,259.04311765083617
2020-04-13,246.53105063772784
2020-04-14,238.68093296472767
2020-04-15,238.40189037810137
2020-04-16,236.25681372428645
2020-04-17,236.67590854215376
2020-04-20,229.61123063880873
2020-04-21,223.55621949551985
2020-04-22,222.1753898108707
2020-04-23,229.85472687085635
2020-04-24,227.69887016593424
2020-04-27,237.43381342228
2020-04-28,245.84596672507408
2020-04-29,244.43733282017791
2020-04-30,244.1578942145347
2020-05-01,246.36154980993825
2020-05-04,250.4956325723169
2020-05-05,248.77655338519244
2020-05-06,242.2731377355717
2020-05-07,233.65939315115335
2020-05-08,236.8733268596131
