Date,DFS
2020-01-01,498.92345625312015
2020-01-02,497.6307875839918
2020-01-03,491.5213992264846
2020-01-06,486.81586454745025
2020-01-07,483.6176448939304
2020-01-08,491.49969587476573
2020-01-09,488.5237074324308
2020-01-10,488.5658384988794
2020-01-13,486.68801188079414
2020-01-14,482.84646306945785
2020-01-15,482.3198467624064
2020-01-16,489.63861562728556
2020-01-17,494.92535072519365
2020-01-20,492.86566417032356
2020-01-21,478.4929143493249
2020-01-22,468.4658763511139
2020-01-23,473.3739877047196
2020-01-24,469.330994307026
2020-01-27,473.94335571602477
2020-01-28,477.8951974346191
2020-01-29,478.87015148223526
2020-01-30,480.15129124830395
2020-01-31,481.99946642272613
2020-02-03,481.25786860328446
2020-02-04,485.352127626383
2020-02-05,484.33770376925196
2020-02-06,490.7067075605736
2020-02-07,495.5007952942217
2020-02-10,501.6999031085799
2020-02-11,513.4700801732279
2020-02-12,520.2402666885446
2020-02-13,514.1752993966788
2020-02-14,511.0980817718486
2020-02-17,505.8889471481217
2020-02-18,512.8864183674899
2020-02-19,515.0068372676202
2020-02-20,519.2850220453836
2020-02-21,524.4154649583285
2020-02-24,520.7152408820377
2020-02-25,516.7685860006674
2020-02-26,512.2123123256374
2020-02-27,507.1910937842564
2020-02-28,502.5418336898887
2020-03-02,503.780260817591
2020-03-03,504.6933150673742
2020-03-04,504.8134683529473
2020-03-05,502.9861879368815
2020-03-06,498.28564367555276
2020-03-09,492.42645787993285
2020-03-10,495.91814136864934
2020-03-11,502.28626147608725
2020-03-12,516.2667273189799
2020-03-13,520.0899287944441
2020-03-16,526.2680367517514
2020-03-17,515.2517365005866
2020-03-18,517.761847099691
2020-03-19,518.7148727490304
2020-03-20,521.4631662809372
2020-03-23,521.735740973036
2020-03-24,524.8933630202282
2020-03-25,521.2985338653172
2020-03-26,520.3848582579594
2020-03-27,516.3648166154458
2020-03-30,515.6802325420198
2020-03-31,516.550107023613
2020-04-01,516.1307239214382
2020-04-02,508.67827267840266
2020-04-03,517.4244593994082
2020-04-06,518.5049387729459
2020-04-07,515.0666635825364
2020-04-08,513.1230223979474
2020-04-09,520.0524774859455
2020-04-10,516.5654085717213
2020-04-13,510.2391048121371
2020-04-14,520.6338752466004
2020-04-15,521.5980273916533
2020-04-16,521.6103555065222
2020-04-17,527.9968132957152
2020-04-20,520.0634735643225
2020-04-21,519.7797895494849
2020-04-22,522.1647347739662
2020-04-23,511.53751263537396
2020-04-24,516.0073243907283
2020-04-27,513.1613856341658
2020-04-28,505.3413113830369
2020-04-29,496.51593630490254
2020-04-30,495.86756361316185
2020-05-01,493.0717658637475
2020-05-04,497.41385526954707
2020-05-05,501.13771680265165
2020-05-06,495.8418622205948
2020-05-07,494.9391858653232
2020-05-08,490.8006481775153
2020-05-11,480.55442333467107
2020-05-12,474.66208371099884
2020-05-13,481.7889625741974
2020-05-14,481.38424718442633
2020-05-15,480.6448440913887
2020-05-18,484.65926662752327
2020-05-19,483.91063119448995
2020-05-20,474.79928571586413
2020-05-21,483.66809728212365
2020-05-22,482.387183213551
2020-05-25,484.5832950032188
2020-05-26,483.56038390066885
2020-05-27,493.95756731406834
2020-05-28,495.21323135357346
2020-05-29,500.13102335362794
2020-06-01,501.44408929951385
2020-06-02,498.5962885694009
2020-06-03,502.8985005565631
2020-06-04,507.571805156976
2020-06-05,511.61044014190776
2020-06-08,524.4160782251381
2020-06-09,524.4551253169824
2020-06-10,518.627122912925
2020-06-11,506.9429707610972
2020-06-12,503.3145329388353
2020-06-15,496.63502760106115
2020-06-16,487.8892354854174
2020-06-17,487.9852738373278
2020-06-18,493.3264601554395
2020-06-19,487.8414219573983
2020-06-22,482.6181224258625
2020-06-23,480.42839153268767
2020-06-24,488.07713706516466
2020-06-25,490.49717760372766
