Date,RF
2020-01-01,170.05731849899118
2020-01-02,168.34370270426902
2020-01-03,166.1743953341852
2020-01-06,163.3950727880284
2020-01-07,163.1300866107188
2020-01-08,165.8225863844023
2020-01-09,168.8915371036669
2020-01-10,166.15238899770856
2020-01-13,168.0593781788308
2020-01-14,164.6567514934356
2020-01-15,164.83531046497603
2020-01-16,166.6532286993136
2020-01-17,163.2031066082608
2020-01-20,162.32355635165302
2020-01-21,161.5998623964571
2020-01-22,164.1036462448332
2020-01-23,162.51343093037502
2020-01-24,164.85629684523224
2020-01-27,162.03779564266566
2020-01-28,158.2594480599366
2020-01-29,155.96385096236273
2020-01-30,150.63607979573223
2020-01-31,150.96072678981105
2020-02-03,153.7165833196233
2020-02-04,152.47973853977734
2020-02-05,152.55316064965595
2020-02-06,153.24223343500753
2020-02-07,150.78733451788014
2020-02-10,150.30057799549763
2020-02-11,144.70334100597057
2020-02-12,149.23228893395438
2020-02-13,153.33412654246192
2020-02-14,146.10589626207675
2020-02-17,146.4860860131945
2020-02-18,148.84421028923632
2020-02-19,145.00929446510486
2020-02-20,145.55822194427637
2020-02-21,141.38991641365635
2020-02-24,141.67891515491806
2020-02-25,143.03335090756357
2020-02-26,140.11700514995312
2020-02-27,137.66381032938708
2020-02-28,139.1930534274515
2020-03-02,139.70980391152057
2020-03-03,141.85927163602344
2020-03-04,142.58762672190807
2020-03-05,139.10349009970048
2020-03-06,139.67191508301715
2020-03-09,139.55118306193881
2020-03-10,135.59112113986205
2020-03-11,134.67531484219663
2020-03-12,135.09225076916007
2020-03-13,138.6601676930448
2020-03-16,140.71767477180975
2020-03-17,146.06044882969684
2020-03-18,146.38253468311842
2020-03-19,146.6630256456521
2020-03-20,145.0295022220562
2020-03-23,145.71923653304256
2020-03-24,141.21396859589584
2020-03-25,141.4905452017983
2020-03-26,140.77722234566343
2020-03-27,139.3493306582747
2020-03-30,140.77142646378158
2020-03-31,139.83925222265898
2020-04-01,140.05252957166255
2020-04-02,135.266272854373
2020-04-03,136.39450364432562
2020-04-06,137.21036841158028
2020-04-07,137.19100965292233
2020-04-08,139.1724127569661
2020-04-09,138.60965123828697
2020-04-10,134.99307142721196
2020-04-13,130.88188144790934
2020-04-14,131.34111601917593
2020-04-15,127.33204516281863
2020-04-16,132.59637617997953
2020-04-17,130.64982858042052
2020-04-20,128.70378290738526
2020-04-21,131.737774524953
2020-04-22,131.49031983155467
2020-04-23,129.00694953571858
2020-04-24,129.93354868948012
2020-04-27,128.24865484132144
2020-04-28,124.55559390919917
2020-04-29,126.02361195890808
2020-04-30,126.31188573162933
2020-05-01,127.4833285301351
2020-05-04,127.32304486958363
2020-05-05,128.03460836164732
2020-05-06,127.96307384077207
2020-05-07,127.02860860639996
2020-05-08,128.52733307646926
2020-05-11,131.56554503534534
2020-05-12,128.01046480574877
2020-05-13,129.89512695314593
2020-05-14,131.2810820292095
2020-05-15,134.54075496331436
2020-05-18,134.87711665528067
2020-05-19,130.03864214594415
2020-05-20,127.1993473895714
2020-05-21,128.40636844007847
2020-05-22,129.9126091107928
2020-05-25,127.87767770623289
2020-05-26,130.87502489099128
2020-05-27,130.1690255076272
2020-05-28,127.46808625641404
2020-05-29,129.97782608705373
2020-06-01,128.97410451473775
2020-06-02,125.38525305051115
2020-06-03,122.4546683346538
2020-06-04,123.06055776823048
2020-06-05,125.12159250233246
2020-06-08,124.97085844393108
2020-06-09,123.52498722333577
2020-06-10,122.39552727172304
2020-06-11,120.87643668794833
2020-06-12,121.49118180349866
2020-06-15,120.14580295661352
2020-06-16,117.64329933944305
2020-06-17,118.08210061940557
2020-06-18,122.03766925296273
2020-06-19,119.5922764427997
2020-06-22,121.74089975899622
2020-06-23,121.04956481479229
2020-06-24,122.99564662968861
2020-06-25,122.67104894123638
2020-06-26,118.87567179920336
2020-06-29,122.41325650010796
2020-06-30,118.93399107781788
2020-07-01,115.74936426836148
2020-07-02,117.06586444020131
2020-07-03,114.72770737537142
2020-07-06,118.83309713438916
2020-07-07,118.99158845573304
2020-07-08,120.66883492566629
2020-07-09,116.1525326637121
2020-07-10,117.0213551463596
2020-07-13,119.93871714803998
2020-07-14,115.87046909047176
2020-07-15,118.60811989752263
2020-07-16,119.5553926078138
2020-07-17,121.59923210562
2020-07-20,118.67395529631297
2020-07-21,120.9277486542648
2020-07-22,121.92677190035201
2020-07-23,120.25390490332813
2020-07-24,119.3534492572516
2020-07-27,122.24681960185738
2020-07-28,122.39299413548235
