Date,BA
2020-01-01,369.27877312914126
2020-01-02,375.93460477764665
2020-01-03,373.66026413648456
2020-01-06,389.00730957012195
2020-01-07,382.7899802494432
2020-01-08,379.3997261593096
2020-01-09,377.57856900320394
2020-01-10,372.62226299056687
2020-01-13,374.54658898967216
2020-01-14,377.0253094562018
2020-01-15,384.21144555089506
2020-01-16,371.59107204519034
2020-01-17,367.5281391667137
2020-01-20,373.43050211181935
2020-01-21,356.6206780889241
2020-01-22,363.40561220692797
2020-01-23,368.6743768445915
2020-01-24,354.72362763874287
2020-01-27,349.9544949633315
2020-01-28,340.0611056030634
2020-01-29,355.0045860723063
2020-01-30,348.97944380315795
2020-01-31,342.2244056672226
2020-02-03,345.4611187971792
2020-02-04,331.95505451078617
2020-02-05,340.4599369767913
2020-02-06,336.6855012543044
2020-02-07,332.60812263848453
2020-02-10,335.5537323453687
2020-02-11,343.381484348078
2020-02-12,344.8856282141262
2020-02-13,335.24127536709426
2020-02-14,353.6326216713871
2020-02-17,347.24971778605936
2020-02-18,358.092502393328
2020-02-19,363.96687680949856
2020-02-20,364.632200341751
2020-02-21,369.980996233549
2020-02-24,357.45465933269566
2020-02-25,356.34779970900524
2020-02-26,363.3509857682838
2020-02-27,345.20966026955824
2020-02-28,328.1085841109698
2020-03-02,326.0364501836912
2020-03-03,332.47185071561137
2020-03-04,326.28548062230044
2020-03-05,331.75472590688344
2020-03-06,342.9995056062118
2020-03-09,348.9205502071433
2020-03-10,350.83484277484405
2020-03-11,345.9560264491415
2020-03-12,338.97700098261606
2020-03-13,346.1380385911412
2020-03-16,343.9561615963075
2020-03-17,349.0364270408557
2020-03-18,364.7365908969203
2020-03-19,376.26832155348086
2020-03-20,376.23932303023855
2020-03-23,391.35913051763384
2020-03-24,387.56594236120486
2020-03-25,401.8591045204515
2020-03-26,393.8805865836505
2020-03-27,390.00987174445794
2020-03-30,397.2055574969734
2020-03-31,396.47382199554573
2020-04-01,370.0681433516231
2020-04-02,368.84488680684797
2020-04-03,376.4510208179031
2020-04-06,365.52347942912496
2020-04-07,369.5821269090519
2020-04-08,367.36377046257655
2020-04-09,368.6772474863114
2020-04-10,361.78843005014664
2020-04-13,361.3605708824541
2020-04-14,368.64192540708217
2020-04-15,368.70602117036003
2020-04-16,371.0498457906415
2020-04-17,367.7185313223694
2020-04-20,387.4011650723786
2020-04-21,391.04821917989244
2020-04-22,373.01161807411677
2020-04-23,361.30701095480504
2020-04-24,364.0733736500818
2020-04-27,364.9819530661217
2020-04-28,379.2201979622899
2020-04-29,367.88856865699
2020-04-30,373.5696600686378
2020-05-01,374.16198718255527
2020-05-04,365.1687763711632
2020-05-05,373.6437285722021
2020-05-06,385.0846517699882
2020-05-07,395.5972014578422
2020-05-08,391.8014940835025
2020-05-11,398.77748645938266
2020-05-12,404.2259226547883
2020-05-13,397.5922791133168
2020-05-14,393.1458731691513
2020-05-15,382.9261464023725
2020-05-18,387.7757349355707
2020-05-19,404.5616997304337
2020-05-20,405.9999745267385
2020-05-21,399.28444712261626
2020-05-22,401.2492233069056
2020-05-25,394.77909903725725
2020-05-26,395.40953369638265
2020-05-27,395.72636196523797
2020-05-28,388.5219159115
2020-05-29,384.2029871790927
2020-06-01,378.1603851046014
2020-06-02,386.32044862126116
2020-06-03,377.27592701868497
2020-06-04,372.53380056671807
2020-06-05,363.6265321654202
2020-06-08,367.21399535184247
2020-06-09,347.37476292620573
2020-06-10,357.59970269317444
2020-06-11,367.65057937762543
2020-06-12,372.4122562570798
2020-06-15,363.05996278095444
2020-06-16,368.5989525622886
2020-06-17,362.99621491939956
2020-06-18,371.09414900275647
2020-06-19,367.5902846403482
2020-06-22,380.06878675740126
2020-06-23,379.8191906115747
2020-06-24,373.9144312434962
2020-06-25,374.8531633509574
2020-06-26,365.41901524115843
2020-06-29,365.4960969261248
2020-06-30,363.40008878769777
2020-07-01,384.1624381939238
2020-07-02,377.52304094136235
2020-07-03,383.5061759143488
2020-07-06,385.9005535297159
2020-07-07,391.72580649288807
2020-07-08,406.6109115984385
2020-07-09,411.6450358838161
2020-07-10,415.8123662171222
2020-07-13,415.1868272988256
2020-07-14,416.71552769040335
2020-07-15,419.26281782884644
2020-07-16,414.6418654676544
2020-07-17,409.0859277858569
2020-07-20,417.61125226496966
2020-07-21,418.1167715940295
2020-07-22,419.5946076296553
2020-07-23,435.655530111326
2020-07-24,420.6353848460627
2020-07-27,428.54215369573535
2020-07-28,439.0769752318064
2020-07-29,438.5499897811987
2020-07-30,431.36488381248415
2020-07-31,427.46960652417357
2020-08-03,410.6829633282052
2020-08-04,415.2609513293439
2020-08-05,424.4598325939814
2020-08-06,421.9019266888572
2020-08-07,434.7518415661876
2020-08-10,417.4688404028549
2020-08-11,415.31380774297605
2020-08-12,415.2424865714104
2020-08-13,411.46210851335366
2020-08-14,401.67926562021415
2020-08-17,409.30352216858023
2020-08-18,412.68823915866795
2020-08-19,412.02318910928125
2020-08-20,402.4657500791518
2020-08-21,400.3353932049353
2020-08-24,424.0499558752573
2020-08-25,432.1254905858046
2020-08-26,442.5329093627242
2020-08-27,443.30503613074774
2020-08-28,424.7703806691728
2020-08-31,426.9706421436201
2020-09-01,425.10971997461127
2020-09-02,424.5891688464933
2020-09-03,420.9882564715953
2020-09-04,404.7369251799444
2020-09-07,410.91361102091315
2020-09-08,409.08354845060364
2020-09-09,413.1040524217184
2020-09-10,408.0103208722235
2020-09-11,405.62863524341276
2020-09-14,421.5522580060197
2020-09-15,422.8395460294796
2020-09-16,406.99670938677866
2020-09-17,405.5769246561072
2020-09-18,407.85266315465554
2020-09-21,425.55782189096914
2020-09-22,426.28165715057776
2020-09-23,413.65427057216624
2020-09-24,419.8971768377476
2020-09-25,430.08729918213237
2020-09-28,429.5655982181519
2020-09-29,417.98257882254586
2020-09-30,412.2449153299584
2020-10-01,406.3507805899149
2020-10-02,416.07663792213083
2020-10-05,431.5590833897188
