Date,CVS
2020-01-01,370.35926680379606
2020-01-02,383.28316634229225
2020-01-03,389.61903710426867
2020-01-06,371.31648891747045
2020-01-07,369.68767489250905
2020-01-08,358.3419200170044
2020-01-09,347.61137417821715
2020-01-10,356.45803701097157
2020-01-13,368.96157232441476
2020-01-14,361.8080713415588
2020-01-15,356.11013094695187
2020-01-16,337.4513584538933
2020-01-17,356.49136558027436
2020-01-20,357.68760341420096
2020-01-21,353.81620147538797
2020-01-22,367.2909179809626
2020-01-23,367.8875127356699
2020-01-24,369.5766564528138
2020-01-27,352.133911579811
2020-01-28,355.5965429204027
2020-01-29,343.64740917452207
2020-01-30,348.4459011064708
2020-01-31,354.7351735788683
2020-02-03,351.8584020097086
2020-02-04,342.2154464901685
2020-02-05,332.65530684205237
2020-02-06,339.5348727989317
2020-02-07,331.82188568591357
2020-02-10,325.146225715236
2020-02-11,331.51736538685384
2020-02-12,329.62657509206025
2020-02-13,336.27209574795427
2020-02-14,333.37427271524143
2020-02-17,320.36924881991314
2020-02-18,321.27563993311645
2020-02-19,332.48332839644934
2020-02-20,338.7788535123015
2020-02-21,340.2582333608295
2020-02-24,337.50093593785925
2020-02-25,351.9163801936069
2020-02-26,335.4389230866647
2020-02-27,326.91767866888773
2020-02-28,336.9591691450209
2020-03-02,337.20028242701915
2020-03-03,331.3090838465974
2020-03-04,322.4137124165446
2020-03-05,325.31787929982124
2020-03-06,308.69572359391185
2020-03-09,326.8646732634534
2020-03-10,329.008171036354
2020-03-11,339.9452969505956
2020-03-12,329.3356942097518
2020-03-13,330.73359904064034
2020-03-16,336.7839782666494
2020-03-17,342.4054129284324
2020-03-18,351.3890114319215
2020-03-19,354.74084150738855
2020-03-20,347.41712792930184
2020-03-23,337.3734274053101
2020-03-24,334.9602383384318
2020-03-25,339.32652349544
2020-03-26,333.96398385391825
2020-03-27,341.43060327131656
2020-03-30,337.41712034263537
2020-03-31,339.7198828118717
2020-04-01,337.7787635422733
2020-04-02,328.00922854871186
2020-04-03,353.50701556397
2020-04-06,370.17894530638597
2020-04-07,372.62151554465476
2020-04-08,373.583742932388
2020-04-09,376.0747534980872
2020-04-10,366.8475214836573
2020-04-13,375.89581856302647
2020-04-14,366.762953058213
2020-04-15,387.1934864314474
2020-04-16,377.7927051902412
2020-04-17,393.09371786760084
2020-04-20,388.1341377042097
2020-04-21,400.75731764400325
2020-04-22,393.98547574713996
2020-04-23,386.8728229831139
2020-04-24,380.8604397070807
2020-04-27,366.1955634352577
2020-04-28,371.9406482531354
2020-04-29,373.73817734274616
2020-04-30,384.29421733592545
2020-05-01,373.53689777809774
2020-05-04,385.1535946054867
2020-05-05,384.554031217183
2020-05-06,375.7720591480033
2020-05-07,371.5990877264993
2020-05-08,364.91405083541184
2020-05-11,369.5031981960103
2020-05-12,360.7800524990196
2020-05-13,355.4622348023626
2020-05-14,352.933210395042
2020-05-15,351.8524185162567
2020-05-18,348.8162833318212
2020-05-19,351.5173398372673
2020-05-20,340.141343920781
2020-05-21,340.31304899029493
2020-05-22,343.6546239873454
2020-05-25,351.2775699466941
2020-05-26,343.8114744288336
2020-05-27,331.0574686269637
2020-05-28,329.89776440336095
2020-05-29,334.42584283955864
2020-06-01,347.2200221649925
2020-06-02,340.0975528483125
2020-06-03,337.1289008653836
2020-06-04,322.7318947897724
2020-06-05,339.85506983386165
2020-06-08,344.78069790588825
2020-06-09,354.2120204540871
2020-06-10,336.98941171385025
2020-06-11,342.7526409638845
2020-06-12,351.5660003820688
2020-06-15,347.56892201407334
2020-06-16,339.40595010294794
2020-06-17,339.3456624689482
2020-06-18,331.8590263283131
2020-06-19,338.0630550702238
2020-06-22,348.9679985652279
2020-06-23,349.31533841116067
2020-06-24,355.9577155214362
2020-06-25,342.40200579095074
2020-06-26,347.35060848555645
2020-06-29,360.63513126717964
2020-06-30,361.95688310582074
2020-07-01,352.2761863541557
2020-07-02,347.8707625091714
2020-07-03,375.6394883029611
2020-07-06,379.8368010414563
2020-07-07,381.7837367522417
2020-07-08,382.9422100577691
2020-07-09,382.04190575738517
2020-07-10,379.2610605689827
2020-07-13,378.10024838746085
2020-07-14,374.9025308436346
2020-07-15,370.9460409552941
2020-07-16,372.5776998071327
2020-07-17,381.37071574067915
2020-07-20,401.74603348073236
2020-07-21,421.3708727020071
2020-07-22,404.05482280697385
2020-07-23,402.1294473656401
2020-07-24,410.38103354828166
2020-07-27,395.9639009568861
2020-07-28,412.77807795703455
2020-07-29,413.7850713158119
2020-07-30,414.4094783675811
2020-07-31,423.063676182302
2020-08-03,403.50977759405924
2020-08-04,396.56286823788355
2020-08-05,399.46030952355454
2020-08-06,392.4888966903635
2020-08-07,398.37260234423474
2020-08-10,406.45504134584854
2020-08-11,405.4666505641317
2020-08-12,417.80335973390646
2020-08-13,420.8032656960209
2020-08-14,398.08828754300333
2020-08-17,381.80391876265764
2020-08-18,394.8531275587511
2020-08-19,409.9441112970406
2020-08-20,409.3764465573641
2020-08-21,395.9050202430249
2020-08-24,410.46290973254384
2020-08-25,409.8794511807935
2020-08-26,398.12462777181173
2020-08-27,420.7307748070184
2020-08-28,413.76630716077443
2020-08-31,442.666844117051
2020-09-01,451.3659075428047
2020-09-02,445.4218194207703
2020-09-03,455.3330952694329
2020-09-04,455.17896072826267
2020-09-07,461.4446795351222
2020-09-08,474.3512419006162
2020-09-09,471.3699879539601
2020-09-10,458.4364271100692
2020-09-11,485.3726381960053
2020-09-14,504.17732244647203
2020-09-15,522.8065725086108
2020-09-16,520.792310432217
2020-09-17,514.2716967250103
2020-09-18,527.295505298429
2020-09-21,506.2223004913307
2020-09-22,512.9361981454496
2020-09-23,533.0590932820505
2020-09-24,538.447608143957
2020-09-25,551.288361885841
2020-09-28,582.0772766896939
2020-09-29,566.5917138950648
2020-09-30,534.1525574388586
2020-10-01,554.4861840826699
2020-10-02,543.1895132966877
2020-10-05,537.7528745141734
2020-10-06,509.963469438086
2020-10-07,505.51271608491857
2020-10-08,496.54240159221496
2020-10-09,479.0449821415782
2020-10-12,476.2274898947914
2020-10-13,471.1170533720805
2020-10-14,495.07880692127776
2020-10-15,489.2769300192011
2020-10-16,491.35168084381127
2020-10-19,500.69355469505956
2020-10-20,505.46232715921116
2020-10-21,494.9118470012491
2020-10-22,486.171405516373
2020-10-23,480.1794373064649
2020-10-26,488.16282566663244
2020-10-27,497.77806866630635
2020-10-28,494.6698058156219
2020-10-29,490.08580290702264
2020-10-30,491.9978259672337
2020-11-02,501.44756330310804
2020-11-03,495.7088035436084
2020-11-04,519.6344094210182
2020-11-05,523.2604638520924
2020-11-06,512.2563610498435
2020-11-09,513.9527863081108
2020-11-10,537.7063106942952
2020-11-11,534.1966067589176
2020-11-12,536.8918882693931
2020-11-13,550.5197187656327
2020-11-16,539.5460150384201
2020-11-17,530.5024970897874
2020-11-18,528.2212372137805
2020-11-19,531.3885223355215
2020-11-20,522.3056371732096
2020-11-23,522.1266301116693
2020-11-24,495.43472755674935
2020-11-25,481.0411541242485
2020-11-26,467.3227249704646
2020-11-27,471.45423659182603
2020-11-30,466.1222922983795
2020-12-01,476.6796114335986
2020-12-02,473.29772464567213
2020-12-03,463.2807614326661
2020-12-04,467.43879757170083
2020-12-07,470.67031429098677
2020-12-08,485.5829522645374
2020-12-09,486.53740657533297
2020-12-10,496.2003756207642
2020-12-11,493.50572632134515
2020-12-14,491.33220464264804
2020-12-15,508.31532118864465
2020-12-16,515.4243280028741
2020-12-17,515.1038655269493
2020-12-18,488.68579690048324
2020-12-21,477.6102915964219
2020-12-22,458.405863187645
2020-12-23,465.2751614546583
2020-12-24,462.81846505837314
2020-12-25,462.73735467726516
2020-12-28,470.6206796261249
2020-12-29,481.2238733047251
2020-12-30,473.90816344843023
2020-12-31,468.4541425532598
2021-01-01,462.9546466862403
2021-01-04,464.09911570477635
2021-01-05,454.78573380511597
2021-01-06,443.13694290612153
2021-01-07,443.28615002650093
2021-01-08,443.22739045421525
2021-01-11,431.98961976378575
2021-01-12,435.14229785725087
2021-01-13,437.89217431227837
2021-01-14,432.1865046454825
2021-01-15,433.1740920615381
2021-01-18,443.961714257626
2021-01-19,427.1428935308155
2021-01-20,400.988851004998
2021-01-21,408.655464795745
2021-01-22,406.6412372817135
2021-01-25,391.4903599395161
2021-01-26,383.0050590972937
2021-01-27,401.01596212110053
2021-01-28,403.01218000417987
2021-01-29,395.06768629064555
