Date,ORCL
2020-01-01,457.91900207522093
2020-01-02,427.0062704643394
2020-01-03,425.58505204767505
2020-01-06,428.1478515054251
2020-01-07,429.65810305362834
2020-01-08,428.41849578021464
2020-01-09,416.8768948543382
2020-01-10,402.54116663237244
2020-01-13,400.45735606941685
2020-01-14,403.26439210729626
2020-01-15,408.40133623680475
2020-01-16,404.88699896374396
2020-01-17,395.0951720782127
2020-01-20,397.87785790649986
2020-01-21,400.81085130418325
2020-01-22,401.906186830712
2020-01-23,397.4181025311377
2020-01-24,400.33669062781036
2020-01-27,401.5567370082395
2020-01-28,418.69928532816544
2020-01-29,419.7340259057612
2020-01-30,428.17435615891435
2020-01-31,426.1588274154544
2020-02-03,412.69837190381367
2020-02-04,410.0133566443626
2020-02-05,415.6185876086248
2020-02-06,420.1118844893946
2020-02-07,426.09811629775527
2020-02-10,434.1403787515521
2020-02-11,435.8521117932442
2020-02-12,436.35743573163955
2020-02-13,448.31491373243153
2020-02-14,429.19989334870394
2020-02-17,418.2287658801835
2020-02-18,400.9390098269484
2020-02-19,389.8039847670761
2020-02-20,400.196400081611
2020-02-21,401.27440970502994
2020-02-24,429.65276782425934
2020-02-25,434.39426775449306
2020-02-26,416.96346525300936
2020-02-27,415.6240447411663
2020-02-28,423.0208998438993
2020-03-02,430.26427372323803
2020-03-03,415.1561483582601
2020-03-04,385.87847222232955
2020-03-05,390.1595972384963
2020-03-06,391.5559889741665
2020-03-09,390.03807759588415
2020-03-10,395.92695321910054
2020-03-11,396.8180299557157
2020-03-12,398.30752742317236
2020-03-13,418.6850304782965
2020-03-16,411.44721088492156
2020-03-17,404.98434898442787
2020-03-18,401.3868323051331
2020-03-19,396.80112585945085
2020-03-20,410.79152902755743
2020-03-23,401.5152242421064
2020-03-24,386.56497944954765
2020-03-25,393.0562618318322
2020-03-26,375.0925965689954
2020-03-27,383.0776781887615
2020-03-30,383.67854392991194
2020-03-31,379.61151691842065
2020-04-01,365.3714540379244
2020-04-02,357.1748624012685
2020-04-03,373.8254139915425
2020-04-06,366.85541879680886
2020-04-07,371.1053364553394
2020-04-08,363.08347963640136
2020-04-09,354.9541467640063
2020-04-10,355.2503096470401
2020-04-13,355.9061306679722
2020-04-14,358.3940346636382
2020-04-15,349.3997808986155
2020-04-16,346.9024640231002
2020-04-17,345.8996562325407
2020-04-20,346.6473784359165
2020-04-21,334.74318175688245
2020-04-22,348.2851211128307
2020-04-23,359.1855381590882
2020-04-24,343.51978169957266
2020-04-27,372.4061033185531
2020-04-28,368.3370695881613
2020-04-29,370.52934567220194
2020-04-30,381.3659313353164
2020-05-01,386.32176216316356
2020-05-04,383.99282095312344
2020-05-05,403.15865254005115
2020-05-06,414.81226812121434
2020-05-07,416.54270223928484
2020-05-08,436.99424530987267
2020-05-11,439.09300011784956
2020-05-12,440.6560038586653
2020-05-13,447.2572869171837
2020-05-14,449.66836840670913
2020-05-15,444.7697707495552
2020-05-18,422.3432612191334
2020-05-19,421.0488854956818
2020-05-20,414.22343543047884
2020-05-21,425.33420601337326
2020-05-22,396.35087687993365
2020-05-25,419.33781084239644
2020-05-26,424.1043969904408
2020-05-27,421.28541251197174
2020-05-28,418.9069458010914
2020-05-29,415.04986072430836
2020-06-01,422.2759924035714
2020-06-02,411.4541644848606
2020-06-03,414.4973394943808
2020-06-04,404.37230413039
2020-06-05,391.6270244163707
2020-06-08,404.8940126804741
2020-06-09,394.07068013336254
2020-06-10,387.5106656743158
2020-06-11,388.3230913887793
2020-06-12,385.4447634783519
2020-06-15,413.26930414263103
2020-06-16,420.8951719340723
2020-06-17,413.4129719696457
2020-06-18,430.25017433251554
2020-06-19,452.0932968102433
2020-06-22,458.0303891004295
2020-06-23,464.41046131132373
2020-06-24,455.74335623926476
2020-06-25,460.33068566228064
2020-06-26,455.9161973810823
2020-06-29,440.7996989547788
2020-06-30,446.197637347713
2020-07-01,452.0822202679449
2020-07-02,456.442533441031
2020-07-03,451.0882540001423
2020-07-06,466.75221007625413
2020-07-07,471.79729994494414
2020-07-08,474.342704614347
2020-07-09,468.9593530173091
2020-07-10,464.9121742482537
2020-07-13,451.8981600998242
2020-07-14,442.8350294404623
2020-07-15,429.68812173588066
2020-07-16,423.6606690895662
2020-07-17,423.7160796315126
2020-07-20,437.7344071358043
2020-07-21,432.39888355479934
2020-07-22,437.90782744399644
2020-07-23,439.5692901823812
2020-07-24,453.45909529345886
2020-07-27,462.93084088398786
2020-07-28,447.33050650580606
2020-07-29,460.0523228686351
2020-07-30,470.20106914725363
2020-07-31,478.69458263697487
2020-08-03,480.91778712695447
2020-08-04,474.41010627633716
2020-08-05,467.17000659577826
2020-08-06,477.71344334561485
2020-08-07,478.86232436172304
2020-08-10,453.13076568182765
2020-08-11,450.3495307316555
2020-08-12,437.64910975200866
2020-08-13,444.5030259663891
2020-08-14,440.55625520287003
2020-08-17,421.56842344021663
2020-08-18,400.17241106022107
2020-08-19,386.18201654665427
2020-08-20,387.9919369689883
2020-08-21,402.5343379487562
2020-08-24,399.97583817960617
2020-08-25,396.5751344179541
2020-08-26,409.8097799323688
2020-08-27,418.4277955501297
2020-08-28,435.843762015234
2020-08-31,439.0463993310165
2020-09-01,436.28168134366814
2020-09-02,449.8819783988627
2020-09-03,454.17588526709477
2020-09-04,463.5493692078231
2020-09-07,457.4683591344076
2020-09-08,445.2819629691794
2020-09-09,452.60816260251033
2020-09-10,456.04915827679525
2020-09-11,453.54718066924266
2020-09-14,434.2030215895424
2020-09-15,441.3598086646418
2020-09-16,448.16832359815993
2020-09-17,436.8266363798941
2020-09-18,440.89337620575134
2020-09-21,441.34047118759173
2020-09-22,440.3093043123014
2020-09-23,446.4656533361374
2020-09-24,420.8238760351356
2020-09-25,412.94431115385044
2020-09-28,418.4635069933137
2020-09-29,418.43693001645147
2020-09-30,415.29571583783104
2020-10-01,409.70759591892767
2020-10-02,409.20949651486734
2020-10-05,405.81030828906614
2020-10-06,407.02777660896237
2020-10-07,393.9335295523709
2020-10-08,392.6871451388517
2020-10-09,402.07151084751496
2020-10-12,415.94951394480154
2020-10-13,411.28537678016323
2020-10-14,409.690815480449
2020-10-15,399.78704047313306
2020-10-16,403.512808953839
