Date,AIG
2020-01-01,385.3351426390524
2020-01-02,370.9983865469003
2020-01-03,387.45078572136504
2020-01-06,370.40149322806985
2020-01-07,369.76319858745575
2020-01-08,385.9223552744608
2020-01-09,388.21337708224473
2020-01-10,393.1582506770946
2020-01-13,402.9972445758719
2020-01-14,405.30539387629375
2020-01-15,409.6361589764928
2020-01-16,394.4356792117044
2020-01-17,393.514589491274
2020-01-20,396.24815236305744
2020-01-21,399.2115463134787
2020-01-22,394.8891640431353
2020-01-23,394.99501264645403
2020-01-24,376.3533325927564
2020-01-27,376.2032732926531
2020-01-28,382.09668033053805
2020-01-29,376.94049894710423
2020-01-30,393.6847093334243
2020-01-31,392.5818274499382
2020-02-03,396.9542640686685
2020-02-04,395.9106859289512
2020-02-05,418.93505892606214
2020-02-06,435.1515249048581
2020-02-07,442.6118234424614
2020-02-10,442.5743609888645
2020-02-11,444.3355093605349
2020-02-12,478.7021423234933
2020-02-13,474.1944371444601
2020-02-14,479.9546023007912
2020-02-17,483.06163987361015
2020-02-18,502.81992666815876
2020-02-19,499.4213895124227
2020-02-20,484.73636474813065
2020-02-21,500.56069233787167
2020-02-24,492.27479305287443
2020-02-25,476.5899317639369
2020-02-26,478.7005134814312
2020-02-27,448.33615061077194
2020-02-28,450.30428230292677
2020-03-02,454.8403766116422
2020-03-03,447.55314949158327
2020-03-04,448.6786860014921
2020-03-05,457.95722051506436
2020-03-06,473.8345166193797
2020-03-09,474.16428282038015
2020-03-10,478.261777521342
2020-03-11,495.2237176179938
2020-03-12,510.18230651293896
2020-03-13,510.16387042733766
2020-03-16,516.5716422048305
2020-03-17,509.0192647790462
2020-03-18,491.3176405017698
2020-03-19,494.01095593961895
2020-03-20,490.988300263383
2020-03-23,514.440353061021
2020-03-24,522.6299552892581
2020-03-25,525.4487214261194
2020-03-26,520.4741668380273
2020-03-27,519.2699463461648
2020-03-30,544.8873539549354
2020-03-31,559.642389957009
2020-04-01,544.1006162188751
2020-04-02,535.5250984907991
2020-04-03,519.7604949173203
2020-04-06,494.7857696803927
2020-04-07,477.86334965068664
2020-04-08,490.33962657495164
2020-04-09,503.7511646893723
2020-04-10,490.7563733670128
2020-04-13,482.1154721337825
2020-04-14,496.50416028667075
2020-04-15,503.30904886857786
2020-04-16,523.5604906582602
2020-04-17,531.1684499308824
2020-04-20,565.433031795558
2020-04-21,565.5653984292574
2020-04-22,569.131599710076
2020-04-23,603.5285987140129
2020-04-24,605.1589015058593
2020-04-27,615.5742791436261
2020-04-28,608.1277217963213
2020-04-29,617.9076496756418
2020-04-30,606.5420897143248
2020-05-01,619.3562256935043
2020-05-04,610.2901681116688
2020-05-05,605.4423137575852
2020-05-06,611.6369747561769
2020-05-07,586.0232343326244
2020-05-08,612.85597616691
2020-05-11,624.4001029690128
2020-05-12,618.7512832295768
2020-05-13,612.0564781089696
2020-05-14,593.4097367362227
2020-05-15,603.2169946766783
2020-05-18,616.1945522923513
2020-05-19,592.927028703593
2020-05-20,606.3885861124893
2020-05-21,614.3593007957809
2020-05-22,626.677632119756
2020-05-25,660.429735081791
2020-05-26,648.1139043509205
2020-05-27,667.957994884426
2020-05-28,662.4831343021332
2020-05-29,650.815198902819
2020-06-01,661.9070274219996
2020-06-02,669.0380013108579
2020-06-03,681.9666887702286
2020-06-04,685.2431473528641
2020-06-05,696.0411361359664
2020-06-08,699.9451671465483
2020-06-09,690.7890858269509
2020-06-10,664.0409596526708
2020-06-11,674.1152648205189
2020-06-12,652.3818589471115
2020-06-15,647.569278889986
2020-06-16,673.3562598050571
2020-06-17,653.5009089175624
2020-06-18,696.5163043634599
2020-06-19,692.2290539568683
2020-06-22,706.3275462636312
2020-06-23,695.5038151865273
2020-06-24,729.1581059882831
2020-06-25,698.7922995408774
2020-06-26,720.1520786938004
2020-06-29,705.244748149612
2020-06-30,714.8788651086547
2020-07-01,698.1823377817489
2020-07-02,672.7375253654085
2020-07-03,659.7274875696789
2020-07-06,649.2181778910552
2020-07-07,670.074347690195
2020-07-08,639.9434842628253
2020-07-09,624.3745616837082
2020-07-10,628.875778137981
2020-07-13,636.225692655498
2020-07-14,611.827539744733
2020-07-15,616.7368343240393
2020-07-16,635.0999679212741
2020-07-17,630.5353035396805
2020-07-20,642.6726286832186
2020-07-21,679.4379916462757
2020-07-22,694.8510283556838
2020-07-23,728.1549218094251
2020-07-24,733.3833534600778
2020-07-27,741.7630643420944
2020-07-28,741.1446468237409
2020-07-29,747.438578328724
2020-07-30,735.4824040271876
2020-07-31,730.5189507196442
2020-08-03,730.0830696219488
2020-08-04,757.7009257157579
2020-08-05,756.5393393725221
2020-08-06,717.949700461401
2020-08-07,698.1800145506741
2020-08-10,712.2767346818557
2020-08-11,721.9418840517322
2020-08-12,732.9564596100181
2020-08-13,748.7974358773615
2020-08-14,732.3082255257436
2020-08-17,742.0866482458421
2020-08-18,753.2139393152872
2020-08-19,748.4852094969053
2020-08-20,761.7437322028594
2020-08-21,765.7255552868037
2020-08-24,786.6275175658528
2020-08-25,780.2756686072012
2020-08-26,805.6881403479824
2020-08-27,812.8017231738091
