Date,SBUX
2020-01-01,158.95219749276808
2020-01-02,161.34380076937217
2020-01-03,157.89650970251756
2020-01-06,154.41865140102104
2020-01-07,151.12195535260022
2020-01-08,156.0243763982296
2020-01-09,151.45908032515516
2020-01-10,156.9924156109596
2020-01-13,158.83790537908226
2020-01-14,159.12939735012586
2020-01-15,155.55590510934593
2020-01-16,151.15193863710437
2020-01-17,145.90418845507824
2020-01-20,147.69046243110623
2020-01-21,148.1036963776528
2020-01-22,147.70734280776026
2020-01-23,150.89020423501273
2020-01-24,146.02845677918683
2020-01-27,143.8272015774963
2020-01-28,147.25437680915527
2020-01-29,145.95005895829902
2020-01-30,143.1084747155914
2020-01-31,150.65311229687777
2020-02-03,152.07774800304742
2020-02-04,158.51069175365112
2020-02-05,161.3969622010425
2020-02-06,153.62199200910823
2020-02-07,152.41141546851662
2020-02-10,155.36815964594498
2020-02-11,155.56748394587353
2020-02-12,156.4640136978024
2020-02-13,147.05907418726423
2020-02-14,153.21751908465103
2020-02-17,150.1761161768633
2020-02-18,153.52654195971144
2020-02-19,149.78833596397612
2020-02-20,144.89738293027554
2020-02-21,141.2067755753913
2020-02-24,144.82987790050151
2020-02-25,142.34078740875773
2020-02-26,139.0037001724656
2020-02-27,144.1346997640023
2020-02-28,144.4762409664218
2020-03-02,149.47106867957362
2020-03-03,151.33820446089672
2020-03-04,153.56242900838257
2020-03-05,148.84323665583227
2020-03-06,150.3084531098424
2020-03-09,158.0638222535917
2020-03-10,156.08272166064882
2020-03-11,156.13760547202773
2020-03-12,154.8788218139095
2020-03-13,161.9660752950631
2020-03-16,167.55657137909986
2020-03-17,169.58219545927125
2020-03-18,167.09483425250824
2020-03-19,171.11121714635092
2020-03-20,170.39170558469078
2020-03-23,167.0037551754835
2020-03-24,165.5660410881232
2020-03-25,169.14568342184606
2020-03-26,164.90155065681193
2020-03-27,161.9023806883104
2020-03-30,160.99049254365698
2020-03-31,161.8440893099707
2020-04-01,164.0801609916056
2020-04-02,170.0690204679889
2020-04-03,168.52465198815918
2020-04-06,163.21438982994667
2020-04-07,166.61391548416057
2020-04-08,164.68788246341873
2020-04-09,162.61201302131997
2020-04-10,160.87017263937295
2020-04-13,163.7464013191064
2020-04-14,165.67484801834038
2020-04-15,166.33859686723002
2020-04-16,169.3113548749716
