Date,INTU
2020-01-01,331.8021318612981
2020-01-02,335.5588064278142
2020-01-03,334.32464084749205
2020-01-06,330.7636388839998
2020-01-07,326.23843786179566
2020-01-08,334.0543171628707
2020-01-09,344.24139892710394
2020-01-10,346.3736759864613
2020-01-13,342.9903674129388
2020-01-14,338.97504556787646
2020-01-15,344.3412872650299
2020-01-16,348.7283926692439
2020-01-17,347.1585753473473
2020-01-20,350.134259896137
2020-01-21,346.4085615245362
2020-01-22,344.01666258749754
2020-01-23,343.9928342147025
2020-01-24,341.1069969153338
2020-01-27,343.3511818141569
2020-01-28,344.82255677056804
2020-01-29,345.3465861924349
2020-01-30,339.81020160251705
2020-01-31,346.83024822919737
2020-02-03,345.1728062939415
2020-02-04,351.91246419403325
2020-02-05,355.2021825592945
2020-02-06,349.6543623345086
2020-02-07,352.11496440778757
2020-02-10,356.42081021730496
2020-02-11,357.19254764933777
2020-02-12,372.6858981409512
2020-02-13,373.84809581767047
2020-02-14,367.4943180732073
2020-02-17,369.8877113341317
2020-02-18,362.95838143416
2020-02-19,361.81972804304723
2020-02-20,361.8183073945772
2020-02-21,365.5045675899067
2020-02-24,361.5615495399286
2020-02-25,353.63697863641676
2020-02-26,350.7196487056422
2020-02-27,351.3915413926675
2020-02-28,356.8176175112833
2020-03-02,361.47474225725466
2020-03-03,356.46843421166363
2020-03-04,353.53259176094525
2020-03-05,351.7419611324991
2020-03-06,351.8174944941218
2020-03-09,354.2131753238997
2020-03-10,351.6812111944027
2020-03-11,357.73222892434364
2020-03-12,364.4515737421049
2020-03-13,367.3416101659193
2020-03-16,359.75282504646685
2020-03-17,357.64474406936586
2020-03-18,348.15093134880965
2020-03-19,352.18651342046223
2020-03-20,355.7431004590377
2020-03-23,349.28230440459384
2020-03-24,347.1506294512012
2020-03-25,344.2474804148527
2020-03-26,338.24378863657705
2020-03-27,335.34368613496235
2020-03-30,333.70701058750484
2020-03-31,331.2803965450306
2020-04-01,333.3693907262376
2020-04-02,330.5797350346563
2020-04-03,330.9357117724845
2020-04-06,329.948553812862
2020-04-07,321.92574167544836
2020-04-08,321.23197939201737
2020-04-09,318.90675665469894
2020-04-10,320.0305714707052
2020-04-13,318.7118609986289
2020-04-14,321.7016301452199
2020-04-15,323.5014660139683
2020-04-16,324.9825134671054
2020-04-17,324.94844450747144
2020-04-20,322.0651785300008
2020-04-21,315.4993521625084
2020-04-22,320.81361658409963
2020-04-23,321.0114738346561
2020-04-24,316.2263528952021
2020-04-27,312.54868072153124
2020-04-28,317.80024625498334
2020-04-29,320.31820432044935
2020-04-30,322.5857685990517
2020-05-01,324.95577922510233
2020-05-04,320.610341694758
2020-05-05,325.5564895212691
2020-05-06,319.29538515871997
2020-05-07,322.723834151204
2020-05-08,325.73932698093836
2020-05-11,329.45400844719444
2020-05-12,328.4592876344219
2020-05-13,330.13155313251326
2020-05-14,331.52700061026275
2020-05-15,324.20378739645093
2020-05-18,320.9764324565443
2020-05-19,319.39359407376077
2020-05-20,327.4393751380376
2020-05-21,332.06730599354296
2020-05-22,335.0607873622441
2020-05-25,340.182110648708
2020-05-26,335.73334173570464
2020-05-27,340.1618061635182
2020-05-28,340.856733980316
2020-05-29,341.93501862898455
2020-06-01,344.75796594888516
2020-06-02,345.3534008347369
2020-06-03,344.53025691831135
2020-06-04,344.11220687636086
2020-06-05,339.01102780391807
2020-06-08,344.17764253601524
2020-06-09,344.5081837114277
2020-06-10,349.8556724560506
2020-06-11,343.04876491247467
2020-06-12,338.926301647619
2020-06-15,330.00186183684383
2020-06-16,333.54153057739006
2020-06-17,330.230695212541
2020-06-18,323.8716903429109
2020-06-19,322.8741747936257
2020-06-22,323.99993457020986
2020-06-23,325.70930152415673
2020-06-24,329.8011665354805
2020-06-25,325.1297957652848
2020-06-26,320.09630591293984
2020-06-29,311.1838824307509
2020-06-30,315.772569704881
2020-07-01,319.39636616258457
2020-07-02,317.99020583402785
2020-07-03,320.08258380057515
2020-07-06,330.2354843515779
2020-07-07,331.8246656918657
2020-07-08,329.8283369045655
2020-07-09,323.14241339844256
2020-07-10,321.58873848377164
2020-07-13,326.40510711266666
2020-07-14,321.07203407353165
2020-07-15,320.9058499460826
2020-07-16,322.92854620907127
2020-07-17,317.2651744516118
2020-07-20,319.17571959550725
2020-07-21,317.13979103875494
2020-07-22,325.87147767718386
