Date,CAT
2020-01-01,147.5130486888568
2020-01-02,148.03989590756507
2020-01-03,147.53410756232572
2020-01-06,148.27064979189066
2020-01-07,148.8647173148965
2020-01-08,147.60315303741262
2020-01-09,148.34652039971016
2020-01-10,149.577016045502
2020-01-13,149.70688005011888
2020-01-14,147.05618556559173
2020-01-15,145.40274919055048
2020-01-16,142.6901187043946
2020-01-17,143.86721134166612
2020-01-20,142.70956953044822
2020-01-21,143.37522826312667
2020-01-22,142.2482089098398
2020-01-23,142.65067954256352
2020-01-24,143.2921017024575
2020-01-27,141.99263906383115
2020-01-28,143.8697950687823
2020-01-29,144.98416487697168
2020-01-30,144.20704074390653
2020-01-31,141.98114684615845
2020-02-03,138.79753446681045
2020-02-04,138.5176087119584
2020-02-05,137.86776560552855
2020-02-06,137.28736977513842
2020-02-07,138.76189631954136
2020-02-10,137.6296383313121
2020-02-11,138.46962340330197
2020-02-12,139.34843416159492
2020-02-13,140.98942736462973
2020-02-14,140.34607991049978
2020-02-17,141.85296210927945
2020-02-18,141.44188034991114
2020-02-19,138.54802699509173
2020-02-20,139.53845908430313
2020-02-21,142.67972516898467
2020-02-24,143.40724756948845
2020-02-25,144.4151280775454
2020-02-26,142.7304763023523
2020-02-27,144.4008636930591
2020-02-28,144.0878098401393
2020-03-02,145.4917538140481
2020-03-03,144.99219920255067
2020-03-04,145.02370487488972
2020-03-05,141.89539953496813
2020-03-06,144.25014708745186
2020-03-09,145.22978011865982
2020-03-10,143.92561348102782
2020-03-11,145.18639679841075
2020-03-12,144.66491223361126
2020-03-13,146.0845985768275
2020-03-16,145.36121370484008
2020-03-17,146.69658532927772
2020-03-18,146.6285387105747
2020-03-19,148.3327798543788
2020-03-20,148.06973196513707
2020-03-23,148.24865625256945
2020-03-24,148.22201589561217
2020-03-25,147.00785889854595
2020-03-26,146.6414091040955
2020-03-27,145.28134681429134
2020-03-30,147.21246624936603
2020-03-31,145.96263195763112
2020-04-01,147.8908032288673
2020-04-02,148.85122153924107
2020-04-03,149.69412734648367
2020-04-06,148.67783818795132
2020-04-07,151.03935867156832
2020-04-08,148.90694773870933
2020-04-09,150.37127743489052
2020-04-10,150.72615465943153
2020-04-13,151.33319496765685
2020-04-14,150.7042118107777
2020-04-15,151.62927547737695
2020-04-16,152.6048098143351
2020-04-17,150.9452623561388
2020-04-20,151.22522197812026
2020-04-21,151.5185303705647
2020-04-22,150.57662073490886
2020-04-23,147.58786662707377
2020-04-24,150.80254177382693
2020-04-27,150.09768231989062
2020-04-28,150.49538516271042
2020-04-29,151.2103783137933
2020-04-30,151.96933099607605
2020-05-01,152.40039712642763
2020-05-04,151.87590158283132
2020-05-05,151.7713018456677
2020-05-06,148.9968673289727
2020-05-07,146.9261622926366
2020-05-08,149.71763356235127
2020-05-11,147.9487806643359
