Date,UNH
2020-01-01,407.857345218245
2020-01-02,395.5686365320845
2020-01-03,405.3317188445989
2020-01-06,397.8926797929414
2020-01-07,394.69813202013756
2020-01-08,397.82484459510295
2020-01-09,409.79963507648233
2020-01-10,406.6355838277251
2020-01-13,404.8260973293463
2020-01-14,398.4070262926387
2020-01-15,400.330388287374
2020-01-16,397.11693739994723
2020-01-17,388.43151523434324
2020-01-20,390.48073165629575
2020-01-21,395.8351004554614
2020-01-22,394.501941005571
2020-01-23,389.4761482570951
2020-01-24,385.86018929918214
2020-01-27,399.61763039142403
2020-01-28,404.4457204446512
2020-01-29,397.7642208733055
2020-01-30,411.37484384000993
2020-01-31,411.2611859663234
2020-02-03,423.81854744028306
2020-02-04,431.3091087892275
2020-02-05,436.32511773546605
2020-02-06,424.13068641913674
2020-02-07,429.19217484591
2020-02-10,439.6485083057808
2020-02-11,455.80133386507237
2020-02-12,448.84940671282936
2020-02-13,440.45773754281385
2020-02-14,441.10751645886427
2020-02-17,431.1588059417604
2020-02-18,414.4126963123464
2020-02-19,420.7998509666199
2020-02-20,402.5075061413935
2020-02-21,405.8198996779511
2020-02-24,412.37722751264334
2020-02-25,419.9229147743968
2020-02-26,428.57921089574455
2020-02-27,432.23538397224485
2020-02-28,433.87203864697426
2020-03-02,451.54112192208424
2020-03-03,460.27984468318533
2020-03-04,454.9703849939061
2020-03-05,451.7141044445302
2020-03-06,460.4588735764797
2020-03-09,451.2654822973374
2020-03-10,451.868792694625
2020-03-11,451.22323296044624
2020-03-12,463.85818803008635
2020-03-13,449.1494628541878
2020-03-16,448.8454247392792
2020-03-17,448.78377054994735
2020-03-18,431.2401627301479
2020-03-19,429.2773409831996
2020-03-20,447.0786100485905
2020-03-23,431.1467095792689
2020-03-24,430.20494855088924
2020-03-25,448.2057893772229
2020-03-26,445.6767196792291
2020-03-27,462.7783296876237
2020-03-30,471.48590092792887
2020-03-31,457.28271357314327
2020-04-01,455.12766939816237
2020-04-02,456.6524313530408
2020-04-03,466.0570238030055
2020-04-06,463.53821800299517
2020-04-07,457.01298410654056
2020-04-08,469.9560701177078
2020-04-09,462.7681189310665
2020-04-10,457.02134956960384
2020-04-13,468.8303515150389
2020-04-14,471.8662710135053
2020-04-15,472.3969708853936
2020-04-16,484.7596999330562
2020-04-17,476.12608896836457
2020-04-20,471.07921299411515
2020-04-21,481.470005750379
2020-04-22,495.0540427797944
2020-04-23,481.67665759076664
2020-04-24,473.55764800621705
2020-04-27,478.05731111143206
2020-04-28,480.84023513350917
2020-04-29,475.7353474054441
2020-04-30,477.11753776339884
2020-05-01,486.5853505810459
2020-05-04,515.9738023190608
2020-05-05,496.58252645612697
2020-05-06,503.51202964268526
2020-05-07,506.9669569928225
2020-05-08,489.78517719962065
2020-05-11,494.89212871847025
2020-05-12,487.4569970476604
2020-05-13,488.25219996171785
2020-05-14,481.7422368321304
2020-05-15,489.088748477561
2020-05-18,487.05812139834364
2020-05-19,501.396609826044
2020-05-20,505.15214339267567
2020-05-21,495.42406716022293
2020-05-22,498.293509233371
2020-05-25,516.0480981993649
2020-05-26,509.1080280668017
2020-05-27,504.9685455506828
2020-05-28,503.7444785087314
2020-05-29,526.5821667480635
2020-06-01,533.4404046823659
2020-06-02,542.5370297200149
2020-06-03,523.9844722386246
2020-06-04,530.3570362417171
2020-06-05,506.5502558382951
2020-06-08,491.62069987862964
2020-06-09,483.7016329797069
2020-06-10,464.44040340145716
2020-06-11,466.44429626860796
2020-06-12,469.076473093523
2020-06-15,457.1651464802338
2020-06-16,460.49019128664384
2020-06-17,466.8443364924573
2020-06-18,470.0098769980968
2020-06-19,483.9193581470304
2020-06-22,480.78599375771637
2020-06-23,489.37420115968854
2020-06-24,476.38941397040116
2020-06-25,483.65937860351806
2020-06-26,500.36374533408616
2020-06-29,507.5004357722516
2020-06-30,512.344206574151
2020-07-01,494.916684191717
2020-07-02,490.74658394348603
2020-07-03,483.9481233893391
2020-07-06,467.0607607819729
2020-07-07,476.91653469341736
2020-07-08,494.894175739695
2020-07-09,525.4754812665444
2020-07-10,530.6739126141973
2020-07-13,515.5977236750308
2020-07-14,522.438069282994
2020-07-15,519.3259757251162
2020-07-16,522.5400329737969
2020-07-17,516.2589291404787
2020-07-20,512.3249703590111
2020-07-21,501.9612475497481
2020-07-22,506.37170036161007
2020-07-23,495.3179244761782
2020-07-24,473.8425600583149
2020-07-27,471.8463997052161
2020-07-28,463.72178729640336
2020-07-29,452.84333568051983
2020-07-30,441.89897533772194
2020-07-31,456.84974397724307
2020-08-03,463.4693391454245
2020-08-04,471.6447585591755
2020-08-05,472.54334359298633
2020-08-06,471.63425621119336
2020-08-07,480.191256727903
2020-08-10,466.0140890181815
2020-08-11,471.63885347531976
2020-08-12,488.02160777482305
2020-08-13,495.27970131706854
2020-08-14,488.845775326986
2020-08-17,489.9539233492583
2020-08-18,474.935430657076
2020-08-19,476.352701458286
2020-08-20,478.73696619621944
2020-08-21,486.61969258927314
2020-08-24,481.5523405179123
2020-08-25,489.1405424834391
2020-08-26,506.97368952281676
2020-08-27,520.9734914796505
2020-08-28,514.0928994566789
2020-08-31,513.1629325601898
2020-09-01,527.9290972760801
2020-09-02,533.6458797652336
2020-09-03,516.0784912796995
2020-09-04,527.2405854423823
2020-09-07,523.6038493544249
2020-09-08,529.8867390827004
2020-09-09,539.3995976497763
2020-09-10,535.7639065448436
2020-09-11,531.7936637808998
2020-09-14,516.7900508303908
2020-09-15,524.883214352403
2020-09-16,534.5627250622266
2020-09-17,535.087252670969
2020-09-18,551.8970383177265
2020-09-21,556.9362684904426
2020-09-22,561.7166252873039
2020-09-23,549.2958292223329
2020-09-24,527.0721808958575
2020-09-25,510.43238531037434
2020-09-28,515.474869270479
2020-09-29,506.3909334433908
2020-09-30,503.0461740478661
2020-10-01,491.7534278380003
2020-10-02,497.2537117113586
2020-10-05,501.5235317497484
2020-10-06,487.8649404096391
2020-10-07,503.545812849441
2020-10-08,496.3052830692629
2020-10-09,491.73694686657063
2020-10-12,481.8665347692148
2020-10-13,475.0741620299269
2020-10-14,446.7576574023817
2020-10-15,434.6018848298022
2020-10-16,434.2781225001464
2020-10-19,449.35306616855564
2020-10-20,454.2048206799393
2020-10-21,455.5317595838693
2020-10-22,470.8957529783541
2020-10-23,466.3270946374621
2020-10-26,455.56599713656857
2020-10-27,468.6953405699551
2020-10-28,470.21330085110026
2020-10-29,469.939029673919
2020-10-30,477.3342458378211
2020-11-02,474.23024346842817
2020-11-03,471.56452815601733
2020-11-04,485.44624121488164
2020-11-05,502.0617634882457
2020-11-06,514.2111005971962
2020-11-09,518.5841834010246
2020-11-10,524.3418925556215
2020-11-11,523.7145573738104
