Date,CL
2020-01-01,462.8958549396267
2020-01-02,440.2301694500872
2020-01-03,444.3424088941941
2020-01-06,448.01455689844124
2020-01-07,440.5589751174694
2020-01-08,441.88835810437
2020-01-09,445.75435280326
2020-01-10,446.51970408003916
2020-01-13,442.98046121197905
2020-01-14,440.54305152275055
2020-01-15,447.97228113986347
2020-01-16,459.52630024619646
2020-01-17,460.6912885974342
2020-01-20,438.5284728322601
2020-01-21,447.5142520155826
2020-01-22,449.6554540119641
2020-01-23,434.9576565071396
2020-01-24,433.56836323728464
2020-01-27,434.15635614385263
2020-01-28,440.12316169327846
2020-01-29,439.0638333359388
2020-01-30,449.50078244275215
2020-01-31,452.0508210760681
2020-02-03,440.83148023088506
2020-02-04,420.8264045658607
2020-02-05,417.56114155987916
2020-02-06,420.76061355833787
2020-02-07,433.21894664615894
2020-02-10,426.28592806575074
2020-02-11,408.0878051579909
2020-02-12,408.2698122395161
2020-02-13,414.48742048642185
2020-02-14,421.3922945994815
2020-02-17,422.8886928006646
2020-02-18,404.2606905179918
2020-02-19,398.80534937350956
2020-02-20,399.4187377882968
2020-02-21,413.51786243411647
2020-02-24,418.5968453731793
2020-02-25,415.70834038160933
2020-02-26,422.7126272842986
2020-02-27,447.3352081984797
2020-02-28,451.156831752031
2020-03-02,458.3231362278516
2020-03-03,463.17905361162127
2020-03-04,455.75625568360135
2020-03-05,449.4206090862316
2020-03-06,450.9575370909858
2020-03-09,441.25887997733724
2020-03-10,451.4571231629037
2020-03-11,483.48918692628246
2020-03-12,479.96011594555387
2020-03-13,476.5588631401628
2020-03-16,491.33935364093065
2020-03-17,500.0451793441693
2020-03-18,499.3982609719738
2020-03-19,501.4237282760575
2020-03-20,471.75743436910267
2020-03-23,481.8484348425123
2020-03-24,494.54641425610373
2020-03-25,475.65700353397676
2020-03-26,468.69265845388423
2020-03-27,471.5888608776814
2020-03-30,486.6778290742457
2020-03-31,488.6146959965917
2020-04-01,494.54101097649846
2020-04-02,495.97964278719786
2020-04-03,469.15167007453493
2020-04-06,465.22159483672743
2020-04-07,491.5200208698973
2020-04-08,489.27482223483884
2020-04-09,483.5785470697738
2020-04-10,479.2641012616537
2020-04-13,482.04365427710763
2020-04-14,471.6971725810599
2020-04-15,474.7370211934609
2020-04-16,488.1005028710289
2020-04-17,460.40401423799693
2020-04-20,463.3111763469526
2020-04-21,474.3957449092837
2020-04-22,453.2442338132473
2020-04-23,448.16539934705304
2020-04-24,431.3813717956949
2020-04-27,436.9077369787017
2020-04-28,431.9988968119365
2020-04-29,434.3338940097527
2020-04-30,449.068618911164
2020-05-01,474.18770963144624
2020-05-04,478.5423895739515
2020-05-05,481.3646325517288
2020-05-06,474.0182347084391
2020-05-07,486.1130709911574
2020-05-08,481.0640586177648
2020-05-11,497.10720651962885
2020-05-12,520.888038510952
2020-05-13,523.9902555634608
2020-05-14,518.7334195993316
2020-05-15,505.46697824056014
2020-05-18,494.4363105111303
2020-05-19,489.4415810812781
2020-05-20,483.7028980087833
2020-05-21,460.6514999670742
2020-05-22,463.80620130987796
2020-05-25,482.7005029160205
2020-05-26,485.832076642158
2020-05-27,487.6157319689678
2020-05-28,499.73800070030427
2020-05-29,501.52044321150424
2020-06-01,521.050008882791
2020-06-02,500.3641781346662
2020-06-03,495.48400723075974
2020-06-04,498.7467712924104
2020-06-05,496.05704881123114
2020-06-08,468.25777847343085
2020-06-09,476.55563333786773
2020-06-10,476.5158806599179
2020-06-11,472.5605727853991
2020-06-12,469.8084152372319
2020-06-15,462.60046859898824
2020-06-16,446.02376838166896
2020-06-17,428.89990182704327
2020-06-18,424.7984319815839
2020-06-19,434.8208433285916
2020-06-22,434.1328772660152
2020-06-23,426.5207826674933
2020-06-24,442.782051351501
2020-06-25,432.80837829796724
2020-06-26,442.1690717327165
2020-06-29,435.32849976305096
2020-06-30,436.7633661516438
2020-07-01,412.9705046614188
2020-07-02,416.0991622404373
2020-07-03,425.3695825599172
2020-07-06,426.4599608411257
2020-07-07,451.20087888152125
2020-07-08,456.13577228142805
2020-07-09,452.4127270195919
2020-07-10,441.8417621170067
2020-07-13,446.52673583513155
2020-07-14,475.3516176478003
2020-07-15,456.8196239680941
2020-07-16,462.28719307212424
2020-07-17,456.37589653577095
2020-07-20,469.97700994098903
2020-07-21,455.7255919894898
2020-07-22,452.8322928672591
2020-07-23,457.3984817999381
2020-07-24,444.8343150367061
2020-07-27,452.3700201366482
2020-07-28,457.0190547179307
2020-07-29,453.39623228674895
2020-07-30,449.365722847778
2020-07-31,442.25765358734884
2020-08-03,421.99833335420414
2020-08-04,429.3741373240254
2020-08-05,433.2137412354632
2020-08-06,430.44732534778797
2020-08-07,422.29406935592266
2020-08-10,435.64428373187144
2020-08-11,444.7259132680736
2020-08-12,441.4162633095072
2020-08-13,453.15975675404826
2020-08-14,454.08730559329325
2020-08-17,457.13107567021007
2020-08-18,468.72322496791026
2020-08-19,460.69255496087413
2020-08-20,471.7258646736594
2020-08-21,474.68181660437784
2020-08-24,468.6421567978002
2020-08-25,468.97977083842954
2020-08-26,469.3730033335382
2020-08-27,480.7331238989206
2020-08-28,478.7801453571316
2020-08-31,478.6400240012477
2020-09-01,481.41395800616317
2020-09-02,490.9139527638117
2020-09-03,471.0047308934895
2020-09-04,455.36383269577783
2020-09-07,448.9909252282491
2020-09-08,445.9457102551223
2020-09-09,448.0244875021589
2020-09-10,455.9185078576838
2020-09-11,465.64883813400525
2020-09-14,468.1576907840858
2020-09-15,466.24550022638175
2020-09-16,454.91798711227136
2020-09-17,462.6740896161669
2020-09-18,482.07422980282155
2020-09-21,506.9908564984235
2020-09-22,524.8471761763342
2020-09-23,512.2284008265528
2020-09-24,530.3617196139952
2020-09-25,511.61759235230477
2020-09-28,517.3850737618475
2020-09-29,526.6318498440015
2020-09-30,510.86341157115527
2020-10-01,516.2288116066475
2020-10-02,527.3101408110791
2020-10-05,524.964560454047
2020-10-06,515.1780112701651
2020-10-07,510.8290380239412
2020-10-08,499.46454039152275
2020-10-09,476.08668561859145
2020-10-12,486.7309705498911
2020-10-13,490.1036414350543
2020-10-14,488.546546081369
2020-10-15,511.17645583591303
2020-10-16,500.15822975767134
2020-10-19,507.27657375976764
2020-10-20,507.5133028089506
2020-10-21,517.405005812821
2020-10-22,506.77024427277615
2020-10-23,500.2715437659414
2020-10-26,495.37254884945344
2020-10-27,476.76697710842024
2020-10-28,476.6330970717573
2020-10-29,487.3396305575321
