Date,LLY
2020-01-01,369.54759379085283
2020-01-02,370.1163862677079
2020-01-03,369.5199620946257
2020-01-06,377.3429524973202
2020-01-07,376.3364683756919
2020-01-08,377.3803651614213
2020-01-09,388.40793668045455
2020-01-10,387.9608074257795
2020-01-13,386.8719159734634
2020-01-14,380.8740645625036
2020-01-15,393.24841729605447
2020-01-16,391.3111120583698
2020-01-17,386.69417191920667
2020-01-20,386.03700160420914
2020-01-21,380.68679010237895
2020-01-22,382.4554518792901
2020-01-23,377.67829557900865
2020-01-24,364.1334292285199
2020-01-27,353.3592937486473
2020-01-28,348.7396182303136
2020-01-29,342.8105704184044
2020-01-30,344.1302693292349
2020-01-31,346.9580754572795
2020-02-03,351.9453144226324
2020-02-04,360.6156489507681
2020-02-05,354.09779585673596
2020-02-06,360.1575055803894
2020-02-07,356.11072259583773
2020-02-10,348.87984002100376
2020-02-11,348.51451922968295
2020-02-12,351.24235837272545
2020-02-13,359.7132888013995
2020-02-14,358.32459003789705
2020-02-17,345.0843394889454
2020-02-18,341.0791423882732
2020-02-19,347.3173627587833
2020-02-20,351.2846482759204
2020-02-21,354.93399111047046
2020-02-24,363.7824651656104
2020-02-25,356.48344915587853
2020-02-26,348.92185920144556
2020-02-27,356.7947573214824
2020-02-28,354.5986251428013
2020-03-02,367.94679673800795
2020-03-03,370.94405923511
2020-03-04,374.92652359683694
2020-03-05,379.08593375808863
2020-03-06,380.3051487768333
2020-03-09,382.1742903425129
2020-03-10,397.82742992137014
2020-03-11,407.0865993965099
2020-03-12,405.9091646636758
2020-03-13,404.39748973011035
2020-03-16,418.9014400667761
2020-03-17,429.124578839196
2020-03-18,425.6301259894696
2020-03-19,423.48039248449675
2020-03-20,416.64197603765086
2020-03-23,416.9376596868352
2020-03-24,412.9493701905917
2020-03-25,417.18109206345423
2020-03-26,417.7166519417818
2020-03-27,420.4677496652086
2020-03-30,405.3902399556376
2020-03-31,412.8839696964266
2020-04-01,405.422117282353
2020-04-02,412.9228574513856
2020-04-03,403.1195080006159
2020-04-06,397.65037350386876
2020-04-07,390.30903285554496
2020-04-08,393.94984920711283
2020-04-09,404.75555516393985
2020-04-10,413.0977470305133
2020-04-13,405.23410109472456
2020-04-14,401.48276635303705
2020-04-15,393.4989885968762
2020-04-16,385.60427100771824
2020-04-17,381.22362253222104
2020-04-20,392.7474912234866
2020-04-21,390.94312904351267
2020-04-22,395.1952930966803
2020-04-23,405.22724389151347
2020-04-24,411.2243137183602
2020-04-27,406.34689637539395
2020-04-28,390.71611983826836
2020-04-29,384.3651518184222
2020-04-30,386.45696382558333
2020-05-01,388.82258613035185
2020-05-04,401.0243082077799
2020-05-05,394.97896799335075
2020-05-06,395.5533758220423
2020-05-07,395.87311195524717
2020-05-08,382.66403806628324
2020-05-11,378.7898533369919
2020-05-12,376.36830397241977
2020-05-13,368.3687518505454
2020-05-14,373.23206720875044
2020-05-15,368.7891604263341
2020-05-18,370.0059763382345
2020-05-19,364.5752597761261
2020-05-20,358.4351859073673
2020-05-21,372.5348791118966
2020-05-22,363.1190752598341
2020-05-25,369.164965996636
