Date,EXC
2020-01-01,116.03533887958781
2020-01-02,114.94086021605818
2020-01-03,111.66586808044731
2020-01-06,111.23466216034737
2020-01-07,109.28688592468633
2020-01-08,109.63343168509789
2020-01-09,112.34867600907138
2020-01-10,112.80642585905355
2020-01-13,112.06723115268306
2020-01-14,113.25939618445516
2020-01-15,114.50990874707334
2020-01-16,116.70276918935284
2020-01-17,118.34740773688225
2020-01-20,118.20494478902415
2020-01-21,116.72479022769622
2020-01-22,117.61420121158659
2020-01-23,117.63454365626174
2020-01-24,117.86815918606317
2020-01-27,116.50827083519135
2020-01-28,114.66365457948817
2020-01-29,115.62336555414527
2020-01-30,114.00854364093108
2020-01-31,113.95684161367882
2020-02-03,113.73920474487039
2020-02-04,114.24669512348703
2020-02-05,115.91453367383559
2020-02-06,114.70802890602613
2020-02-07,112.17071529606224
2020-02-10,111.54116351745994
2020-02-11,111.76095132414527
2020-02-12,109.57590266390417
2020-02-13,111.08044906818256
2020-02-14,112.06820633258054
2020-02-17,112.22606706316898
2020-02-18,113.3412625102168
2020-02-19,113.78328657925188
2020-02-20,112.06063706164186
2020-02-21,111.64055823355132
2020-02-24,111.49217979390176
2020-02-25,112.43602360605072
2020-02-26,112.13094471572393
2020-02-27,112.7802220157442
2020-02-28,112.70403631950074
2020-03-02,114.04817164480599
2020-03-03,114.32050156659493
2020-03-04,115.1298869677529
2020-03-05,117.05368507330982
2020-03-06,118.29412271533887
2020-03-09,118.37517098511039
2020-03-10,116.3650396953017
2020-03-11,118.48269544894127
2020-03-12,119.030076380918
2020-03-13,118.80133809650286
2020-03-16,117.47272412924004
2020-03-17,117.84118694402926
2020-03-18,119.23969665096296
2020-03-19,118.21865693221874
2020-03-20,118.61025726562747
2020-03-23,119.46838405326751
2020-03-24,119.11838475351009
2020-03-25,118.58101441847228
2020-03-26,119.62807122677962
2020-03-27,120.03388418842941
2020-03-30,122.20376926194085
2020-03-31,122.05265270640804
2020-04-01,122.0080014781718
2020-04-02,122.22774873119891
2020-04-03,120.08117569061665
2020-04-06,120.99249107424455
2020-04-07,119.6366725861801
2020-04-08,121.26149389073247
2020-04-09,118.56071902072242
2020-04-10,117.939760383527
2020-04-13,118.54016321781752
2020-04-14,118.15652860395768
2020-04-15,117.41729722910566
2020-04-16,115.96752336713193
2020-04-17,115.42409730820141
2020-04-20,115.06665631100633
2020-04-21,115.56319014556684
2020-04-22,113.74057419346917
2020-04-23,114.92258145347681
2020-04-24,115.63436686586519
2020-04-27,112.80881408677303
2020-04-28,114.97558521720802
2020-04-29,117.68022339101664
2020-04-30,118.77685905092042
2020-05-01,117.94736144577736
2020-05-04,119.8910580962509
2020-05-05,117.71099324505099
2020-05-06,115.73034329783991
2020-05-07,116.83717927864132
2020-05-08,116.27082326398458
2020-05-11,115.94118332280846
2020-05-12,116.61505012228767
2020-05-13,115.21400781466
2020-05-14,117.03032944494252
2020-05-15,116.8435562555248
2020-05-18,117.76566850033892
2020-05-19,119.565901489889
2020-05-20,117.80161683735439
2020-05-21,117.8403497772535
2020-05-22,119.02732500600405
2020-05-25,118.12102114995764
2020-05-26,117.92275469798193
2020-05-27,119.58203481254729
2020-05-28,116.63771226419091
2020-05-29,116.51662253603922
2020-06-01,117.17082353325492
2020-06-02,115.2379434255709
2020-06-03,116.30589410223658
2020-06-04,120.17004163937715
2020-06-05,120.44684700797784
2020-06-08,119.82653922840349
2020-06-09,118.21451687399801
2020-06-10,116.871530901392
2020-06-11,117.70674385200324
2020-06-12,118.17160373671831
2020-06-15,117.3607255532198
2020-06-16,116.391274385702
2020-06-17,116.67403806372346
2020-06-18,116.38865837155635
2020-06-19,117.56068048198753
2020-06-22,119.32439974296824
2020-06-23,119.9492901426589
2020-06-24,119.63547923655399
2020-06-25,122.20415426785334
2020-06-26,121.57624440184702
2020-06-29,121.05406744737203
2020-06-30,121.7641292260801
2020-07-01,120.17539239654583
2020-07-02,120.60555777089664
2020-07-03,120.1233977374356
2020-07-06,120.95441279292884
2020-07-07,122.28439706817517
2020-07-08,120.04219589690156
2020-07-09,119.16955145834638
2020-07-10,121.84226706527748
2020-07-13,122.00769644716337
2020-07-14,118.26410200653825
2020-07-15,117.8839259012963
2020-07-16,116.53536481803889
2020-07-17,117.22988421324088
2020-07-20,117.21410527338475
2020-07-21,115.82861800290182
2020-07-22,115.39409305994144
2020-07-23,117.55038901241353
2020-07-24,116.38393831166265
2020-07-27,118.26774107147071
2020-07-28,117.22870149159365
2020-07-29,117.3840999329208
2020-07-30,116.49048583173048
2020-07-31,113.665180544255
2020-08-03,111.92723352005831
2020-08-04,110.2845238256337
2020-08-05,111.3888566755839
2020-08-06,112.14344222128712
2020-08-07,111.22617927535674
2020-08-10,110.65840710771181
2020-08-11,109.65649254839967
2020-08-12,109.41998419280266
2020-08-13,109.79760726326329
2020-08-14,108.182360892342
2020-08-17,108.63743127755296
2020-08-18,105.89533418717666
2020-08-19,105.5958343880195
2020-08-20,104.9131235388214
2020-08-21,107.78340283083499
2020-08-24,105.9296258478565
2020-08-25,103.18445601627153
2020-08-26,101.45825773575635
2020-08-27,100.64772337647808
2020-08-28,103.6960084132583
2020-08-31,106.14013931978742
2020-09-01,106.25995008594266
2020-09-02,106.2519513495787
2020-09-03,108.85148809339131
2020-09-04,108.75881789606791
2020-09-07,108.89510425180238
2020-09-08,108.2244730447202
2020-09-09,106.2267268507707
2020-09-10,106.18086617889992
2020-09-11,108.13371247215818
2020-09-14,106.90183321565164
2020-09-15,108.34137256130444
2020-09-16,108.91090169588597
2020-09-17,108.90467123441248
2020-09-18,108.99556846186022
2020-09-21,110.53778920957963
2020-09-22,109.30795125123446
