Date,PSA
2020-01-01,119.87335383824951
2020-01-02,118.61007310935128
2020-01-03,120.13781770147503
2020-01-06,117.6208884463181
2020-01-07,114.83131533068628
2020-01-08,114.91058844888036
2020-01-09,116.10844328995024
2020-01-10,115.401157722694
2020-01-13,116.67832529579978
2020-01-14,113.85704918752585
2020-01-15,109.83742254067826
2020-01-16,114.47144176538715
2020-01-17,113.06745955887565
2020-01-20,116.09157639612941
2020-01-21,116.66161234780026
2020-01-22,111.57867985744372
2020-01-23,110.44639345510984
2020-01-24,110.05935976718659
2020-01-27,113.83085088924297
2020-01-28,116.71016761911068
2020-01-29,117.20555717287618
2020-01-30,121.15673026456649
2020-01-31,122.1882504557673
2020-02-03,116.75143573400712
2020-02-04,112.39586631032186
2020-02-05,113.61151705415539
2020-02-06,111.51236039028812
2020-02-07,117.44867560098568
2020-02-10,117.86406531177964
2020-02-11,118.11875021040646
2020-02-12,120.74909387065296
2020-02-13,126.2684851244022
2020-02-14,132.31307947684667
2020-02-17,128.79929322916843
2020-02-18,129.1063366059837
2020-02-19,126.29237077187788
2020-02-20,129.21654883191607
2020-02-21,129.72528965219487
2020-02-24,131.93327056435737
2020-02-25,130.62166394078827
2020-02-26,130.99346833921874
2020-02-27,130.56623571175595
2020-02-28,127.58870363684437
2020-03-02,121.86048419077554
2020-03-03,126.32312308106077
2020-03-04,123.93409095423937
2020-03-05,128.45975374082497
2020-03-06,123.72366798724758
2020-03-09,123.47604116678022
2020-03-10,126.92745059793849
2020-03-11,127.33968580253605
2020-03-12,129.71066187052296
2020-03-13,129.13215358233367
2020-03-16,120.89965061639785
2020-03-17,121.98492822775512
2020-03-18,121.36408910529835
2020-03-19,125.16888416526572
2020-03-20,115.68708259662385
2020-03-23,113.4224892114275
2020-03-24,113.57981496919054
2020-03-25,109.20270816051789
2020-03-26,110.47514381353484
2020-03-27,108.87282328221337
2020-03-30,106.74176743968836
2020-03-31,105.68346925974392
2020-04-01,103.00546160420699
2020-04-02,105.56383431999687
2020-04-03,105.13114432751868
2020-04-06,107.79826288388345
2020-04-07,109.30541051369705
2020-04-08,109.9907674312398
2020-04-09,110.29251626571549
2020-04-10,113.0805687056204
2020-04-13,111.29648735979946
2020-04-14,114.77255854533877
2020-04-15,116.1783204802299
2020-04-16,114.4704323473427
2020-04-17,109.31345397633281
2020-04-20,105.21553086195735
2020-04-21,105.33570622393852
2020-04-22,109.68490856655777
2020-04-23,111.97912623917655
2020-04-24,116.10434035806543
2020-04-27,116.27654209755653
2020-04-28,114.51136335858914
2020-04-29,115.908591132393
2020-04-30,116.39951462679495
2020-05-01,118.46816118985444
2020-05-04,121.58233036973722
2020-05-05,117.63561411233434
2020-05-06,113.40648662290839
2020-05-07,110.83008127042895
2020-05-08,109.82996679160786
2020-05-11,109.25569562820876
2020-05-12,104.9782507208405
2020-05-13,97.06909706273746
2020-05-14,93.86775916401291
2020-05-15,90.1837412373162
2020-05-18,89.38820757285204
