Date,LRCX
2020-01-01,64.39453127924091
2020-01-02,63.927261177041764
2020-01-03,65.0037634917576
2020-01-06,65.46972497597467
2020-01-07,65.90806856736178
2020-01-08,66.12327560201315
2020-01-09,65.5354015775926
2020-01-10,64.5826182947135
2020-01-13,64.38707061028944
2020-01-14,64.62810906906577
2020-01-15,65.06928986303288
2020-01-16,65.00361305141675
2020-01-17,65.12712502534535
2020-01-20,64.94893084035469
2020-01-21,65.9926944039651
2020-01-22,66.63529163229633
2020-01-23,67.18179599505864
2020-01-24,67.94337405566945
2020-01-27,66.9237368420341
2020-01-28,67.488734573052
2020-01-29,67.11132324397195
2020-01-30,66.13187654640858
2020-01-31,66.48087257623303
2020-02-03,67.71282118749683
2020-02-04,67.33512960435263
2020-02-05,67.55522291525716
2020-02-06,66.08231932795339
2020-02-07,67.63299793477366
2020-02-10,68.64444387466806
2020-02-11,67.37623670877022
2020-02-12,67.30325170673319
2020-02-13,67.31058217821234
2020-02-14,67.46646881495055
2020-02-17,68.47268690644277
2020-02-18,67.91865794530764
2020-02-19,68.75699236697596
2020-02-20,68.80057144044552
2020-02-21,71.06838924279393
2020-02-24,71.09119187263391
2020-02-25,70.22649983288883
2020-02-26,70.0731167199274
2020-02-27,69.83100836878413
2020-02-28,68.90248856278228
2020-03-02,69.53087076894616
2020-03-03,69.09083364414455
2020-03-04,69.52222067893014
2020-03-05,69.63548486493302
2020-03-06,67.50954498376767
2020-03-09,66.50137737162552
2020-03-10,65.4038320270686
2020-03-11,64.97321481324512
2020-03-12,65.35233288678091
2020-03-13,64.95261008532101
2020-03-16,65.27370800860253
2020-03-17,65.69651368947652
2020-03-18,65.68774047651777
2020-03-19,65.8002352522093
2020-03-20,65.82364021324824
2020-03-23,65.0320706981053
2020-03-24,64.06128680153364
2020-03-25,64.60695514112446
2020-03-26,64.96645336801278
2020-03-27,64.19806145092332
2020-03-30,64.35687206348513
2020-03-31,64.88856763996093
2020-04-01,64.97815803816918
2020-04-02,65.2067915621092
2020-04-03,65.44279146807447
2020-04-06,66.11090989010577
2020-04-07,66.35363429054975
2020-04-08,66.71500682067445
2020-04-09,66.32005834790681
2020-04-10,66.80496745686442
2020-04-13,65.8518745615486
2020-04-14,65.80027930876486
2020-04-15,67.22404544759947
2020-04-16,67.84205791659436
2020-04-17,69.50529729846444
2020-04-20,68.86796338461211
2020-04-21,69.263522925465
2020-04-22,68.38984935997296
2020-04-23,68.79359661704619
2020-04-24,69.46311979283422
2020-04-27,70.43365378466936
2020-04-28,70.59910200519208
2020-04-29,70.98545759827861
2020-04-30,71.10381230520512
2020-05-01,71.75602803011617
2020-05-04,71.4059516120055
2020-05-05,70.29653161899314
2020-05-06,70.22973041173236
2020-05-07,70.29349914343882
2020-05-08,70.10146575656275
2020-05-11,70.08606232944886
2020-05-12,70.60625492631056
2020-05-13,70.61732752315642
2020-05-14,71.47796221538843
2020-05-15,71.51403617066637
2020-05-18,71.69334064314663
2020-05-19,72.42469956928066
2020-05-20,73.17049549514871
2020-05-21,72.87876187950756
2020-05-22,73.76604444894906
2020-05-25,74.31922232627987
2020-05-26,74.78218488742476
2020-05-27,74.54013819686635
2020-05-28,75.0035397774284
2020-05-29,74.27478507615437
2020-06-01,73.71147392877995
2020-06-02,73.79360925141353
2020-06-03,74.90854175502805
2020-06-04,73.41700134104133
2020-06-05,71.83913071609511
2020-06-08,71.75692337794133
2020-06-09,72.50489099948247
2020-06-10,73.51352330862343
2020-06-11,73.6013303942673
2020-06-12,75.51593965078513
2020-06-15,75.8902622475363
2020-06-16,75.45931625826046
2020-06-17,76.57624110461312
2020-06-18,77.09862795805932
2020-06-19,77.49784746199042
2020-06-22,75.82635047127562
2020-06-23,75.14207057731032
2020-06-24,75.34183654773273
2020-06-25,74.23651531578476
2020-06-26,73.50505308632535
2020-06-29,75.18384214732023
2020-06-30,74.95798574264168
2020-07-01,74.65474488047919
2020-07-02,74.62942842944281
2020-07-03,74.13424683196168
2020-07-06,74.87265893759732
2020-07-07,73.9311798495403
2020-07-08,73.0582595755438
2020-07-09,72.75229028447148
2020-07-10,71.71823099848676
2020-07-13,73.14629110548653
2020-07-14,72.3972199133617
2020-07-15,72.72903058344731
2020-07-16,74.17458917779358
2020-07-17,75.2087719876557
2020-07-20,75.4316595378537
2020-07-21,75.12097498204218
2020-07-22,75.28104289922331
2020-07-23,75.58095981765263
2020-07-24,74.905567517783
2020-07-27,74.85446236713591
2020-07-28,74.98409127589551
2020-07-29,74.89183579655838
2020-07-30,73.36940916501315
2020-07-31,73.77647314785152
2020-08-03,74.60295283873009
2020-08-04,73.58357566167783
2020-08-05,73.26493872486584
2020-08-06,72.15571516271913
2020-08-07,72.68360164852662
2020-08-10,74.06283798127168
2020-08-11,72.7132030177496
2020-08-12,72.60736309291661
2020-08-13,72.90950037736697
2020-08-14,72.00037490679273
2020-08-17,70.89330991837532
2020-08-18,70.78692700463863
2020-08-19,69.4483528641367
2020-08-20,70.59922525356737
2020-08-21,69.51279361884984
2020-08-24,70.5277484259102
2020-08-25,70.06387950458387
2020-08-26,70.28097849254175
2020-08-27,71.04440837955482
2020-08-28,70.53012278506853
2020-08-31,71.41911451099786
2020-09-01,71.1879878845343
