Date,MMM
2020-01-01,437.73356683550094
2020-01-02,431.939727108791
2020-01-03,428.3963616188782
2020-01-06,440.3268800166445
2020-01-07,430.1369986926846
2020-01-08,430.6245679059526
2020-01-09,428.76442964718046
2020-01-10,445.34594455236777
2020-01-13,442.9554762048384
2020-01-14,446.9311576206661
2020-01-15,458.42535243594693
2020-01-16,458.92977287728274
2020-01-17,456.85245504527967
2020-01-20,451.70013526039565
2020-01-21,458.739210940607
2020-01-22,462.1033307645612
2020-01-23,448.00880935857225
2020-01-24,457.6578626895888
2020-01-27,456.6081558639615
2020-01-28,452.2647083282477
2020-01-29,449.84651657302607
2020-01-30,445.66515823875187
2020-01-31,442.7716934309002
2020-02-03,431.93178269851893
2020-02-04,437.80490518742215
2020-02-05,435.65201850662106
2020-02-06,430.54462143298605
2020-02-07,423.293659282664
2020-02-10,416.93232930693785
2020-02-11,411.6806172470433
2020-02-12,404.2887557015735
2020-02-13,402.7150720204531
2020-02-14,388.9002947391378
2020-02-17,390.00494085106493
2020-02-18,381.36006708326744
2020-02-19,374.9617957474899
2020-02-20,377.22735536638174
2020-02-21,365.5551724419203
2020-02-24,365.764284580674
2020-02-25,370.8079275718591
2020-02-26,379.5409493335711
2020-02-27,373.0382984123826
2020-02-28,377.02653428045744
2020-03-02,373.9662176930494
2020-03-03,366.0765033318196
2020-03-04,357.62887782661073
2020-03-05,364.39757444276415
2020-03-06,374.45710331861864
2020-03-09,388.59729342205503
2020-03-10,381.56802537035645
2020-03-11,391.19879173571724
2020-03-12,379.4894878029585
2020-03-13,389.850415065092
2020-03-16,386.5936068380902
2020-03-17,386.30322018127765
2020-03-18,385.1607230259662
2020-03-19,383.9075111060946
2020-03-20,372.0871629634416
2020-03-23,379.6863766636344
2020-03-24,373.03599068547555
2020-03-25,363.8109885390119
2020-03-26,357.638237173548
2020-03-27,354.5642928549242
2020-03-30,353.778891607751
2020-03-31,345.94864403250375
2020-04-01,354.1369504663365
2020-04-02,357.4463226121597
2020-04-03,350.58689238964485
2020-04-06,353.6978324832014
2020-04-07,346.2836612117016
2020-04-08,331.08966256275505
2020-04-09,325.5602229665217
2020-04-10,318.4485260544976
2020-04-13,320.7258365201473
2020-04-14,325.2116462634024
2020-04-15,320.7457709621934
2020-04-16,316.9368726113867
2020-04-17,321.87548889601396
2020-04-20,332.9420571731949
2020-04-21,332.4100396582092
2020-04-22,341.57745250969043
2020-04-23,345.0026530173792
2020-04-24,351.8461024139254
2020-04-27,341.5600867979056
2020-04-28,348.42186121308265
2020-04-29,347.11479109335244
2020-04-30,353.5997046574956
2020-05-01,351.86093069846214
2020-05-04,342.77911657920504
2020-05-05,340.2931959001592
2020-05-06,331.43534318726313
2020-05-07,340.44878352403254
2020-05-08,343.5935955088933
2020-05-11,342.60485424611016
2020-05-12,337.2195590865146
2020-05-13,345.9171082248698
2020-05-14,346.4063554693954
2020-05-15,347.2440452211419
2020-05-18,355.73343694332175
2020-05-19,347.0468948387261
2020-05-20,338.98283659090384
2020-05-21,347.13763333412044
2020-05-22,358.2773673774766
2020-05-25,352.929303109472
2020-05-26,350.2790032114635
2020-05-27,351.831538384425
2020-05-28,354.44088410979435
2020-05-29,359.45717523140854
2020-06-01,368.35153116470957
2020-06-02,360.08134904874385
2020-06-03,355.4169814788437
2020-06-04,349.7144656542663
2020-06-05,346.5762569741214
2020-06-08,343.39257324763685
2020-06-09,342.3512837422531
2020-06-10,350.03696858172094
2020-06-11,355.7423190141512
2020-06-12,350.1009193669664
2020-06-15,335.1085860674932
2020-06-16,332.55516375666315
2020-06-17,339.712934611023
2020-06-18,334.4190652899454
2020-06-19,327.19554955610215
2020-06-22,327.1841029628128
2020-06-23,324.6245216257803
2020-06-24,325.9026565098899
2020-06-25,328.98060379767435
2020-06-26,329.0931432572619
2020-06-29,323.938541631602
2020-06-30,323.8634902080851
2020-07-01,320.5404392777126
2020-07-02,319.1193849321502
2020-07-03,308.44735834100106
2020-07-06,318.2776060272547
2020-07-07,319.2701277612823
2020-07-08,320.3216894950095
2020-07-09,312.7309655836959
2020-07-10,311.0483715164858
2020-07-13,321.7093900327064
2020-07-14,326.13943580469277
2020-07-15,328.0970239010774
2020-07-16,319.6708603770959
2020-07-17,325.18435292083257
2020-07-20,318.23131707871516
2020-07-21,318.50365829008587
2020-07-22,304.6603123253455
2020-07-23,305.62112585385677
2020-07-24,301.8694374476513
2020-07-27,302.9144911978871
2020-07-28,305.1171317536359
2020-07-29,310.0831480072167
2020-07-30,301.34980531955927
2020-07-31,304.02871375551507
2020-08-03,297.0252076985018
2020-08-04,303.1528083934765
2020-08-05,305.40892031097496
2020-08-06,294.1092283191928
2020-08-07,300.0343808070339
2020-08-10,292.60150467213214
2020-08-11,289.56715201990176
2020-08-12,300.6088690580441
2020-08-13,297.48431273701203
2020-08-14,297.020547936506
2020-08-17,299.24186475028483
2020-08-18,303.9783156438293
2020-08-19,298.9703093332153
2020-08-20,295.27209047352164
2020-08-21,294.6396172373229
2020-08-24,294.3615616983938
2020-08-25,305.6048782154248
2020-08-26,307.96952466057144
2020-08-27,312.2191129440213
2020-08-28,321.58052530414324
2020-08-31,320.35265301462306
2020-09-01,321.11382334456647
2020-09-02,323.47234999359796
2020-09-03,329.04991416630475
2020-09-04,345.9694003785504
2020-09-07,345.0812178513143
2020-09-08,347.710325610362
2020-09-09,358.2300571232841
2020-09-10,355.3562130073313
2020-09-11,360.881650671363
2020-09-14,357.9593635125283
2020-09-15,353.187891880315
2020-09-16,352.2479981043397
2020-09-17,350.78542146722873
2020-09-18,352.4244052299446
2020-09-21,358.8775939538153
2020-09-22,365.027941057008
2020-09-23,374.09444736974183
2020-09-24,379.67153821844795
2020-09-25,380.04268368497173
2020-09-28,385.085989118831
