Date,EL
2020-01-01,313.3530413044615
2020-01-02,324.43467843310435
2020-01-03,331.9371304231709
2020-01-06,329.8384800433339
2020-01-07,333.2409648615122
2020-01-08,328.9692682347387
2020-01-09,329.9605101799029
2020-01-10,326.0183372003078
2020-01-13,324.38919633621833
2020-01-14,328.35032952119417
2020-01-15,328.08770284070835
2020-01-16,336.89311028884237
2020-01-17,333.8291353588237
2020-01-20,328.00083779946647
2020-01-21,322.0058188891881
2020-01-22,332.5047583885315
2020-01-23,337.50437330576824
2020-01-24,334.317327776799
2020-01-27,338.6707529197591
2020-01-28,342.7873897084367
2020-01-29,339.9187016644526
2020-01-30,332.88617673281215
2020-01-31,328.49617225027896
2020-02-03,331.85883083349665
2020-02-04,327.9357789475861
2020-02-05,339.2205656627772
2020-02-06,333.9546995703235
2020-02-07,330.4588301341054
2020-02-10,335.0847241296235
2020-02-11,338.7436179465252
2020-02-12,337.80936314583596
2020-02-13,337.97171221164547
2020-02-14,345.848307349751
2020-02-17,347.41143827972235
2020-02-18,339.30507129110333
2020-02-19,338.91917680650994
2020-02-20,340.1006603151791
2020-02-21,332.9746295988011
2020-02-24,323.8713920892518
2020-02-25,320.4823276767492
2020-02-26,327.61247305330846
2020-02-27,326.91558585614126
2020-02-28,323.81123737712636
2020-03-02,323.79249224292414
2020-03-03,325.6994983907898
2020-03-04,326.80476905367715
2020-03-05,320.5687865813134
2020-03-06,324.89011195026694
2020-03-09,321.6008798710181
2020-03-10,339.86510363401464
2020-03-11,351.1285064282312
2020-03-12,354.6525035196819
2020-03-13,347.07723797328964
2020-03-16,349.55165436069166
2020-03-17,343.9276437123556
2020-03-18,337.63977155149337
2020-03-19,346.33447224968694
2020-03-20,342.9400033620349
2020-03-23,348.0948103089583
2020-03-24,337.3141792637831
2020-03-25,333.7044786038912
2020-03-26,342.00630907824456
2020-03-27,335.9410793387275
2020-03-30,344.1377699661569
2020-03-31,342.1150377270966
2020-04-01,351.64595817426436
2020-04-02,354.30464890050774
2020-04-03,361.3197637588124
2020-04-06,370.21006548319804
2020-04-07,363.8960151932341
2020-04-08,374.34466377888924
2020-04-09,375.0815070670571
2020-04-10,372.61275987444907
2020-04-13,369.77095792342874
2020-04-14,363.12763660130435
2020-04-15,356.3011240253806
2020-04-16,356.46239427590257
2020-04-17,358.04946913972657
2020-04-20,364.0368387103541
2020-04-21,359.79440153020903
2020-04-22,357.9737238727319
2020-04-23,358.00676264700286
2020-04-24,355.9308507899697
2020-04-27,360.84092333380136
2020-04-28,360.8671128587594
2020-04-29,361.35186860306015
2020-04-30,366.79874475741843
2020-05-01,363.4612663361558
2020-05-04,359.3556396511256
2020-05-05,355.8502643054874
2020-05-06,352.6563644424147
2020-05-07,354.6362494588186
2020-05-08,357.3607882588786
2020-05-11,354.21460902963696
2020-05-12,350.80292675830634
2020-05-13,359.85401358736624
2020-05-14,353.40875034318435
2020-05-15,354.5396178194228
2020-05-18,359.66208580122674
2020-05-19,361.7347326368184
2020-05-20,359.28031156824187
2020-05-21,368.33803036714403
2020-05-22,363.3085289665375
2020-05-25,354.5942553530486
2020-05-26,355.2212323557126
2020-05-27,358.34852746322184
2020-05-28,356.36606499366775
2020-05-29,353.41658624607305
2020-06-01,362.30885670178606
2020-06-02,359.0697191745193
2020-06-03,361.67577465844414
2020-06-04,360.3331917033962
2020-06-05,357.4447908708824
2020-06-08,359.84727958888766
2020-06-09,371.2301353436551
2020-06-10,373.0187735505385
2020-06-11,378.49343351380037
2020-06-12,371.24466223939226
2020-06-15,368.8926182252025
2020-06-16,368.99528812635145
2020-06-17,374.61896128033345
2020-06-18,376.92276968280464
2020-06-19,370.9534285526082
2020-06-22,367.73623269884513
2020-06-23,368.0777011366488
2020-06-24,369.38548028919405
2020-06-25,374.4763185899732
2020-06-26,377.54619877776
2020-06-29,377.618021283099
2020-06-30,365.4064856322741
2020-07-01,361.9846748876056
2020-07-02,367.69026859209237
2020-07-03,361.1119979183458
2020-07-06,363.839338108129
2020-07-07,362.0024376864271
2020-07-08,359.9630180717883
2020-07-09,359.8046546372787
2020-07-10,360.3990691673994
2020-07-13,364.29221323644725
2020-07-14,358.94888907725755
2020-07-15,369.3817371815923
2020-07-16,369.0213522534839
2020-07-17,375.71546412162996
2020-07-20,395.2408714861621
2020-07-21,390.60182433380044
2020-07-22,390.02896032461405
2020-07-23,390.4943721858684
2020-07-24,385.8080838942203
2020-07-27,381.5374326870163
2020-07-28,371.2942157427461
2020-07-29,368.23478603978543
2020-07-30,361.21576912967004
2020-07-31,366.9483940342698
2020-08-03,377.485817280499
2020-08-04,370.09866436689845
2020-08-05,368.70412849908337
2020-08-06,372.50723346987917
2020-08-07,375.2058738468184
2020-08-10,373.6090426929995
2020-08-11,372.146407479119
2020-08-12,371.12788482862453
2020-08-13,367.1376043834695
2020-08-14,366.59069597888094
2020-08-17,371.7315059172813
2020-08-18,378.1949616490499
2020-08-19,371.51064910509683
2020-08-20,379.7999455286498
2020-08-21,374.54098422820175
2020-08-24,380.3433055267995
2020-08-25,381.9547310183069
2020-08-26,378.4883882404028
2020-08-27,374.7373362021032
2020-08-28,379.9824515722948
2020-08-31,385.8438875463174
2020-09-01,384.5991745814449
2020-09-02,375.63062818659614
2020-09-03,372.3176767972699
2020-09-04,378.4795587515703
2020-09-07,370.3846823317244
2020-09-08,369.52876019069424
2020-09-09,376.68405591648394
2020-09-10,387.7012012302966
2020-09-11,385.1502670310687
2020-09-14,380.35053872745186
2020-09-15,374.61929202954116
2020-09-16,371.489135515651
2020-09-17,360.76822491691354
2020-09-18,356.9228661123206
2020-09-21,361.65520504095707
2020-09-22,363.8083513887405
2020-09-23,360.37770784644135
2020-09-24,361.3607066526648
2020-09-25,358.0303856315882
2020-09-28,361.2675054988298
2020-09-29,359.24639933957707
2020-09-30,358.7101119664471
2020-10-01,355.3081681419306
2020-10-02,355.370760739481
2020-10-05,357.3475289002933
2020-10-06,349.30432851372655
2020-10-07,337.0872834795931
2020-10-08,335.5680295245427
2020-10-09,340.12146113603734
2020-10-12,345.4962483527204
2020-10-13,347.5231263107684
2020-10-14,333.9715013776035
2020-10-15,341.41407057898107
2020-10-16,336.79456272496054
2020-10-19,344.6865794440277
2020-10-20,346.6249220805731
2020-10-21,347.5078524032779
2020-10-22,347.61262987469127
2020-10-23,350.78688633558966
2020-10-26,351.9710609548706
2020-10-27,349.7776387952792
2020-10-28,348.344957130667
2020-10-29,353.30861130392503
2020-10-30,356.4299256310699
2020-11-02,356.2273722590917
2020-11-03,353.86277353021916
2020-11-04,358.6502295476166
2020-11-05,362.4044271759849
2020-11-06,365.81864117659507
