Date,UPS
2020-01-01,250.07408641591215
2020-01-02,254.7213805342547
2020-01-03,251.63480572814902
2020-01-06,240.46563649693852
2020-01-07,238.5723948634107
2020-01-08,247.10303459376212
2020-01-09,244.26399603168673
2020-01-10,236.56530066928676
2020-01-13,245.08902061275808
2020-01-14,239.74101670048336
2020-01-15,235.01913543145483
2020-01-16,233.5331147259162
2020-01-17,243.91513837244696
2020-01-20,239.52984118402586
2020-01-21,229.43566426711456
2020-01-22,229.27930158143363
2020-01-23,223.18167302752812
2020-01-24,224.73191661281902
2020-01-27,220.19843011357452
2020-01-28,215.5820518419797
2020-01-29,216.70098433964546
2020-01-30,216.2530345389545
2020-01-31,213.37479679277658
2020-02-03,216.53587092880886
2020-02-04,233.20748485784236
2020-02-05,226.74560425554787
2020-02-06,239.47086859009414
2020-02-07,242.39876859562432
2020-02-10,239.71769321338448
2020-02-11,242.97072759686952
2020-02-12,237.7523923430022
2020-02-13,229.26831328192637
2020-02-14,234.60612623807415
2020-02-17,231.77401893915004
2020-02-18,229.11668997143576
2020-02-19,228.91189966509475
2020-02-20,222.0799948497925
2020-02-21,221.41948344237625
2020-02-24,225.65911897102825
2020-02-25,221.40547292630856
2020-02-26,219.3181519197275
2020-02-27,233.8769778817211
2020-02-28,229.64508765469623
2020-03-02,231.30160732755192
2020-03-03,232.79529885169288
2020-03-04,234.77027391728924
2020-03-05,234.78529503326325
2020-03-06,233.94068563302238
2020-03-09,233.33987620155798
2020-03-10,237.0617985884463
2020-03-11,231.1274450653644
2020-03-12,230.86770029036444
2020-03-13,234.31312882601225
2020-03-16,232.18580332271827
2020-03-17,231.7002745253329
2020-03-18,240.97987612303533
2020-03-19,244.51179306756956
2020-03-20,243.50725443248524
2020-03-23,249.22133657444778
2020-03-24,249.10265844752394
2020-03-25,257.7322047466711
2020-03-26,262.54144628742444
2020-03-27,251.82567027607843
2020-03-30,260.1945969349305
2020-03-31,271.8489600723688
2020-04-01,280.0649633298884
2020-04-02,276.3900404662785
2020-04-03,279.259841165791
2020-04-06,276.343573904189
2020-04-07,276.2261577237631
2020-04-08,267.25660222606643
2020-04-09,277.9491348096717
2020-04-10,269.6837176493198
2020-04-13,271.1659022875503
2020-04-14,273.05043108131576
2020-04-15,264.3869447393532
2020-04-16,262.9297858795761
2020-04-17,259.00570082547176
2020-04-20,270.40214380035843
2020-04-21,269.9291642078803
2020-04-22,271.5606470390913
2020-04-23,284.9054156172096
