Date,ADBE
2020-01-01,379.80635781350065
2020-01-02,380.23664201846856
2020-01-03,384.4620227646491
2020-01-06,394.68504588557107
2020-01-07,404.5304753468535
2020-01-08,393.6322752529953
2020-01-09,392.7053001902066
2020-01-10,377.97048429089386
2020-01-13,385.61692779075963
2020-01-14,381.11021188589103
2020-01-15,381.9856249000073
2020-01-16,371.5866780799863
2020-01-17,382.67455050727193
2020-01-20,377.7107242132561
2020-01-21,387.1259419867328
2020-01-22,382.1459221510468
2020-01-23,379.42779926231725
2020-01-24,382.20501942487033
2020-01-27,382.4878277007593
2020-01-28,375.5539838174363
2020-01-29,368.01030770450996
2020-01-30,382.03024425483284
2020-01-31,380.6473528876207
2020-02-03,371.9465570604173
2020-02-04,371.9263767830507
2020-02-05,371.46839890492123
2020-02-06,367.85832284173773
2020-02-07,368.123748492983
2020-02-10,368.9559128599938
2020-02-11,370.59669785184036
2020-02-12,360.72427691613615
2020-02-13,360.101035390034
2020-02-14,383.34336429791813
2020-02-17,370.2225524500087
2020-02-18,362.2932270171362
2020-02-19,369.5207319828344
2020-02-20,369.3306654338358
2020-02-21,374.8724348687892
2020-02-24,375.63519222020057
2020-02-25,375.2287105356283
2020-02-26,378.65892840635445
2020-02-27,384.5953111394993
2020-02-28,383.39104504711105
2020-03-02,395.4632201282202
2020-03-03,391.48535386740053
2020-03-04,391.16050032719426
2020-03-05,376.63568975140737
2020-03-06,390.6565280683776
2020-03-09,400.4798163152311
2020-03-10,402.1647419348013
2020-03-11,408.5156341699823
2020-03-12,419.24429490604956
2020-03-13,420.1341269123546
2020-03-16,424.5853915796077
2020-03-17,431.601076231763
2020-03-18,425.16587043568785
2020-03-19,426.0508155316315
2020-03-20,432.64462618006763
2020-03-23,422.1121076956067
2020-03-24,426.3327893779793
2020-03-25,430.15694906077147
2020-03-26,446.7860826790103
2020-03-27,457.97732240434
2020-03-30,460.76078718750387
2020-03-31,450.5580773128337
2020-04-01,473.5390360516684
2020-04-02,484.2551860180779
2020-04-03,472.9234231679505
2020-04-06,479.821263996269
2020-04-07,484.5816378137125
2020-04-08,502.4837427812515
2020-04-09,498.5059935250405
2020-04-10,500.16743281444724
2020-04-13,482.6496863751334
2020-04-14,485.8089085219006
2020-04-15,482.9167797140738
2020-04-16,502.4456932899205
2020-04-17,508.5139183278559
2020-04-20,507.7972224648699
2020-04-21,525.4779893501909
2020-04-22,532.7713705011456
2020-04-23,521.9516882538942
2020-04-24,523.8311743768728
2020-04-27,533.4237908403956
2020-04-28,519.1960125317162
2020-04-29,523.1864339926235
2020-04-30,528.3023604647951
2020-05-01,544.7597653131965
2020-05-04,559.8435823530949
2020-05-05,549.7926229770143
2020-05-06,545.0609392474771
2020-05-07,578.847700442551
2020-05-08,581.0820146929617
2020-05-11,580.8939982574334
2020-05-12,563.2105181118366
2020-05-13,556.918258289714
2020-05-14,545.7945885687068
2020-05-15,515.7301287351602
2020-05-18,520.0128135136385
2020-05-19,525.1988678035818
2020-05-20,534.446320947889
2020-05-21,552.6156171605701
2020-05-22,568.7588877921092
2020-05-25,556.6498162991664
2020-05-26,549.433433362347
2020-05-27,532.0521450163807
2020-05-28,535.9099291093444
2020-05-29,537.3666168963282
2020-06-01,560.165109958075
2020-06-02,558.3542149827432
2020-06-03,552.7927396087059
2020-06-04,541.7018072974641
2020-06-05,532.6911108565572
2020-06-08,522.4891969280579
2020-06-09,527.6134198586084
2020-06-10,525.2085386454206
2020-06-11,507.5500567690446
2020-06-12,498.7616248313834
2020-06-15,513.7506468285296
2020-06-16,525.1644492209531
2020-06-17,525.3094171684253
2020-06-18,514.1568147960854
2020-06-19,503.76027336643705
2020-06-22,505.75090627887755
2020-06-23,516.1994936871837
2020-06-24,532.8459325003047
2020-06-25,529.0728148276723
2020-06-26,529.0157655246963
2020-06-29,543.1323648615856
2020-06-30,544.3536724990074
2020-07-01,551.2157825312908
2020-07-02,532.114064047668
2020-07-03,532.5309162891207
2020-07-06,537.1167718483927
2020-07-07,521.5672725728822
2020-07-08,511.6529037192975
2020-07-09,501.9794566382294
2020-07-10,509.80175957773037
2020-07-13,488.8087727056992
2020-07-14,483.9506015508986
2020-07-15,475.72093166018766
2020-07-16,494.8004389097331
2020-07-17,513.8389813679091
2020-07-20,506.21134551540536
2020-07-21,509.67973622163663
2020-07-22,511.57039888897714
2020-07-23,504.26869238066405
2020-07-24,514.165035139755
2020-07-27,512.7493408825457
2020-07-28,523.3044890057062
2020-07-29,516.0556354577312
2020-07-30,511.39811760460935
2020-07-31,493.830142006643
2020-08-03,504.013468466145
2020-08-04,510.6383774796302
2020-08-05,507.11160650837013
2020-08-06,511.8797114590449
2020-08-07,504.7336206213448
2020-08-10,509.1362847572431
2020-08-11,512.1501218930998
2020-08-12,526.4764859925211
2020-08-13,507.6724785374125
2020-08-14,497.7315565522765
2020-08-17,498.98450728826884
2020-08-18,510.4909636228588
2020-08-19,512.1951185869423
2020-08-20,515.4797644153305
2020-08-21,513.1767950999421
2020-08-24,497.91324171676905
2020-08-25,497.13578179274066
2020-08-26,500.1868684818952
2020-08-27,486.5517768814467
2020-08-28,478.1865971515861
2020-08-31,475.3904785980692
2020-09-01,484.7557266259716
2020-09-02,480.23576152148814
2020-09-03,477.3996945731298
2020-09-04,480.79442849966944
2020-09-07,472.96342636624183
2020-09-08,475.53037993688764
2020-09-09,473.37438862939933
2020-09-10,477.50760784490427
2020-09-11,481.5020632121642
2020-09-14,466.2779789159297
2020-09-15,457.71593193343534
2020-09-16,449.64528874307973
2020-09-17,455.7311710211766
2020-09-18,459.17896987518577
2020-09-21,452.0783867580463
2020-09-22,470.2273922519625
2020-09-23,478.2694739420337
2020-09-24,477.80180074365205
2020-09-25,500.8189497169033
2020-09-28,491.02698043110036
2020-09-29,489.7277936567846
2020-09-30,511.1521961936201
2020-10-01,527.8496370970212
2020-10-02,531.3143324769682
