Date,CCL
2020-01-01,165.80064239515974
2020-01-02,162.50018482624057
2020-01-03,163.15249124913976
2020-01-06,163.50808818445083
2020-01-07,170.8784204607449
2020-01-08,170.75252328161565
2020-01-09,166.5563322761369
2020-01-10,162.80755098762282
2020-01-13,162.5649769492039
2020-01-14,164.25215114274886
2020-01-15,164.7934690765696
2020-01-16,162.792870448679
2020-01-17,162.56224319631616
2020-01-20,162.63399482836658
2020-01-21,168.433140752472
2020-01-22,165.6235980738638
2020-01-23,166.3845511665607
2020-01-24,164.58874996074408
2020-01-27,159.1992701772069
2020-01-28,160.03695331512404
2020-01-29,159.72216406906605
2020-01-30,163.3391428399385
2020-01-31,164.38570089181428
2020-02-03,160.83090083359915
2020-02-04,157.07158637693485
2020-02-05,156.90503669044466
2020-02-06,154.81562813647952
2020-02-07,155.94379734689153
2020-02-10,153.29958559912893
2020-02-11,153.17920211377051
2020-02-12,151.45353199048284
2020-02-13,154.54747868846272
2020-02-14,146.43357570477824
2020-02-17,147.50162563642937
2020-02-18,146.68695993017826
2020-02-19,147.5160640207681
2020-02-20,148.26122940289306
2020-02-21,148.534522605876
2020-02-24,146.5803494638903
2020-02-25,147.7318021751914
2020-02-26,146.9847380819715
2020-02-27,146.0826739546214
2020-02-28,145.3293056763338
2020-03-02,142.0626186181447
2020-03-03,141.397701006332
2020-03-04,143.7570393509179
2020-03-05,140.05633628290323
2020-03-06,142.3643043930041
2020-03-09,143.00791303103938
2020-03-10,148.36123285901212
2020-03-11,150.18637476178978
2020-03-12,149.0308679093169
2020-03-13,150.8254659086548
2020-03-16,148.36611255857017
2020-03-17,151.25783615839632
2020-03-18,152.4699855896282
2020-03-19,149.12962152177266
2020-03-20,150.85047646933336
2020-03-23,158.90785460964227
2020-03-24,156.1222819649984
2020-03-25,153.22541153469436
2020-03-26,148.00080005283598
2020-03-27,145.94508627903062
2020-03-30,138.80488513364435
2020-03-31,138.1050307467448
2020-04-01,136.4298357224932
2020-04-02,145.06045351083145
2020-04-03,143.1815270169259
2020-04-06,144.11961473504516
2020-04-07,149.38160751855486
2020-04-08,149.56620660848887
2020-04-09,147.86968816581967
2020-04-10,148.79496860503747
2020-04-13,151.35283068145708
2020-04-14,151.06345644489446
2020-04-15,147.49021325617474
2020-04-16,147.49871792720916
2020-04-17,149.10938817803222
2020-04-20,143.7382270393017
2020-04-21,141.43396949931022
2020-04-22,138.7160708468863
2020-04-23,140.0918297797311
2020-04-24,139.84783703906902
2020-04-27,137.22867166654268
2020-04-28,136.68794652669882
2020-04-29,140.36109759418898
2020-04-30,143.84893266134716
2020-05-01,146.14968756574638
2020-05-04,147.0737859793253
2020-05-05,147.4702827397806
2020-05-06,146.73693511002455
2020-05-07,146.34599370666822
2020-05-08,142.83228368313772
2020-05-11,142.31673675879043
2020-05-12,139.75125731185088
2020-05-13,135.50873175545567
2020-05-14,131.9385443125039
2020-05-15,134.45945131232116
2020-05-18,132.17300304506406
2020-05-19,130.8726624807078
2020-05-20,128.76004514821014
2020-05-21,126.58372239963654
2020-05-22,125.57062828700225
2020-05-25,126.40964229296905
2020-05-26,126.97678218505008
2020-05-27,125.95957133859011
2020-05-28,125.87195771342955
2020-05-29,122.50230150832697
2020-06-01,124.55835247983867
2020-06-02,127.69446760758403
2020-06-03,129.21374207608548
2020-06-04,127.71079809940194
2020-06-05,127.53511208597419
2020-06-08,128.10451207606354
2020-06-09,126.36867289122588
2020-06-10,125.6964945912197
2020-06-11,122.80953517980325
2020-06-12,125.08311679415748
2020-06-15,130.51776801491644
2020-06-16,131.4107708640977
2020-06-17,136.0770683983387
2020-06-18,137.30927843831694
2020-06-19,139.47593608489555
2020-06-22,136.4579081351065
2020-06-23,137.1303998032806
2020-06-24,130.70574140350655
2020-06-25,128.16060149552854
2020-06-26,125.75989800507242
2020-06-29,122.55624592677178
2020-06-30,117.91686524823086
2020-07-01,114.1045904209573
2020-07-02,116.57712506378358
2020-07-03,121.77428606232779
2020-07-06,125.11425021543694
2020-07-07,124.02228399072395
2020-07-08,124.10214082085157
2020-07-09,122.28303517917591
2020-07-10,122.06135719647297
2020-07-13,123.44074510414772
2020-07-14,125.33579284805568
2020-07-15,130.36218314323474
2020-07-16,125.96248831322585
2020-07-17,124.98700772039862
2020-07-20,128.5000228082239
2020-07-21,128.37806814527514
2020-07-22,128.90144540105595
2020-07-23,130.30976019598782
2020-07-24,129.35941504666056
2020-07-27,129.68396345613255
2020-07-28,136.61401797485004
2020-07-29,139.8141178745795
2020-07-30,137.42851298026105
2020-07-31,132.97351555134023
2020-08-03,138.3343868660486
2020-08-04,134.5999722305432
2020-08-05,133.17928501900244
2020-08-06,130.60463238794307
2020-08-07,132.4297657544561
2020-08-10,132.14643547248502
2020-08-11,129.95582197875981
2020-08-12,131.7527557014665
2020-08-13,127.3092897299516
2020-08-14,126.1785381269972
2020-08-17,128.14348440293693
2020-08-18,123.74830947973567
2020-08-19,130.4040401037935
2020-08-20,127.97455588149005
2020-08-21,134.99519440608506
2020-08-24,134.40118732569178
2020-08-25,132.08899495536062
2020-08-26,133.96503820853977
2020-08-27,137.07252439472276
2020-08-28,138.66616754998347
2020-08-31,136.9636707309797
2020-09-01,139.16052365779908
2020-09-02,136.2153399814078
2020-09-03,136.22944995852208
2020-09-04,136.96776183305687
2020-09-07,135.72902728499017
2020-09-08,138.75141193912648
2020-09-09,138.60891058947064
2020-09-10,144.17182840901378
2020-09-11,147.97006151619823
2020-09-14,149.0609146962163
2020-09-15,150.09763670607245
2020-09-16,153.53129009398475
2020-09-17,157.7392204206945
2020-09-18,156.38740868690692
2020-09-21,152.80295445545747
2020-09-22,153.64409097266773
2020-09-23,151.97283753489242
2020-09-24,154.17040009782508
2020-09-25,156.73797061677567
