Date,PXD
2020-01-01,59.14258816763524
2020-01-02,59.22572076422658
2020-01-03,59.857792857409876
2020-01-06,59.55962186675965
2020-01-07,59.76181335357897
2020-01-08,59.72050532967778
2020-01-09,59.386309521955404
2020-01-10,59.074947507542255
2020-01-13,59.667794104737744
2020-01-14,60.80909718219371
2020-01-15,60.97368015122352
2020-01-16,61.12424950275671
2020-01-17,60.54554523603446
2020-01-20,59.53493089811136
2020-01-21,59.17559741593358
2020-01-22,59.959029757862844
2020-01-23,59.32923916285697
2020-01-24,59.645953854389134
2020-01-27,59.58404212991719
2020-01-28,59.46304557247247
2020-01-29,59.51551808481972
2020-01-30,60.04122452543253
2020-01-31,59.89579335617947
2020-02-03,60.35347259857263
2020-02-04,60.44746579681463
2020-02-05,61.94147247801091
2020-02-06,62.82334326479157
2020-02-07,63.173279762746866
2020-02-10,63.9402807870786
2020-02-11,66.59739781926963
2020-02-12,66.63873891597024
2020-02-13,67.65317773163174
2020-02-14,68.19982826764107
2020-02-17,66.64084335749247
2020-02-18,66.53646540218199
2020-02-19,65.79418979210048
2020-02-20,66.93819106988715
2020-02-21,66.54632855799564
2020-02-24,66.07711026441966
2020-02-25,64.80281806163505
2020-02-26,64.47129908248013
2020-02-27,62.30496094777972
2020-02-28,61.579883591421144
2020-03-02,60.80825576069013
2020-03-03,61.22928362819185
2020-03-04,61.90876628858086
2020-03-05,62.97742356717683
2020-03-06,62.67053190248589
2020-03-09,62.53654272481704
2020-03-10,60.73807491003726
2020-03-11,60.38598273503206
2020-03-12,60.043423134488954
2020-03-13,59.252072992929264
2020-03-16,59.48677287041466
2020-03-17,60.27068362582931
2020-03-18,58.57549550555322
2020-03-19,58.571702596294216
2020-03-20,58.53862823233193
2020-03-23,58.10453785658829
2020-03-24,57.11308721433464
2020-03-25,56.73493743212839
2020-03-26,57.110869969013834
2020-03-27,57.90016629947847
2020-03-30,56.902336292759735
2020-03-31,58.70859398513547
2020-04-01,59.17786863018733
2020-04-02,59.374359230621245
2020-04-03,59.178065654644996
2020-04-06,60.785624430072
2020-04-07,60.96584575866315
2020-04-08,60.642237005667255
2020-04-09,59.85303739639966
2020-04-10,59.304337232289775
2020-04-13,60.16121670257626
2020-04-14,58.64583051788703
2020-04-15,58.35818294230523
2020-04-16,59.10747047322564
2020-04-17,58.467904751512094
2020-04-20,58.34071667763451
2020-04-21,57.178913064987306
2020-04-22,57.64905003823428
2020-04-23,58.64019931253911
2020-04-24,58.75264340649786
2020-04-27,59.615109198094174
2020-04-28,58.96884234674517
2020-04-29,57.602072272261324
2020-04-30,57.03377720006738
2020-05-01,57.99771617537679
2020-05-04,58.07306823501259
2020-05-05,57.27322506779054
2020-05-06,56.75227543017971
2020-05-07,56.57363464686936
2020-05-08,54.674552243766094
2020-05-11,53.402149633329664
2020-05-12,53.556962478478816
2020-05-13,54.04906336744919
2020-05-14,53.89112180463342
2020-05-15,52.850637669817466
2020-05-18,52.66777337074369
2020-05-19,51.70481624508395
2020-05-20,50.91342117546025
2020-05-21,51.85146086191757
2020-05-22,52.78436008576903
2020-05-25,51.93215531584059
2020-05-26,52.57496535954677
2020-05-27,52.919503564543945
2020-05-28,53.57257578861788
2020-05-29,54.17748776304752
2020-06-01,54.10675482203508
2020-06-02,53.98143724413388
2020-06-03,54.49152227500345
2020-06-04,55.37709578360419
2020-06-05,55.40478621241073
2020-06-08,55.112992948882166
2020-06-09,55.77935174524015
2020-06-10,55.68373661023906
2020-06-11,55.50851672182173
2020-06-12,55.920126020068594
2020-06-15,56.38113682926251
2020-06-16,57.44567108187332
2020-06-17,56.38531438102596
2020-06-18,56.831197373989895
2020-06-19,56.38830986150849
2020-06-22,56.71680479899979
2020-06-23,55.38659357627451
2020-06-24,55.52599677577526
2020-06-25,54.93549869227672
2020-06-26,55.76677587562638
2020-06-29,56.618751840920844
2020-06-30,57.11632497167864
2020-07-01,57.76650145399602
2020-07-02,58.63637691953011
2020-07-03,59.41781017007092
2020-07-06,58.9611758556988
2020-07-07,59.289539740477835
2020-07-08,58.20868010626536
2020-07-09,58.182495930891896
2020-07-10,59.12744246927963
2020-07-13,58.73148011063236
2020-07-14,57.91000364412706
2020-07-15,59.21716114910579
2020-07-16,59.20925443903168
2020-07-17,60.76458144858389
2020-07-20,60.678005429972046
2020-07-21,61.17998932320653
2020-07-22,61.43757894315158
2020-07-23,62.696544153421705
2020-07-24,61.61660686960034
2020-07-27,62.73865386052436
2020-07-28,62.716862600621
2020-07-29,61.53882962245674
2020-07-30,60.67537803514017
2020-07-31,60.21894657514115
2020-08-03,59.55399441996468
2020-08-04,59.4714141892532
2020-08-05,58.82808508832735
2020-08-06,58.630426705237454
2020-08-07,58.67459760000113
2020-08-10,58.55617237013934
2020-08-11,57.949906092611386
2020-08-12,59.253741505590305
2020-08-13,59.858250333038775
2020-08-14,60.1598035571714
2020-08-17,60.492053106324526
2020-08-18,60.966792374249025
2020-08-19,59.638620173123726
2020-08-20,59.58928105222005
2020-08-21,58.323357908909145
2020-08-24,58.813357623748885
2020-08-25,58.5951396148472
2020-08-26,58.92521071950337
2020-08-27,58.92816965133264
2020-08-28,58.102921626221296
2020-08-31,58.646103143638854
2020-09-01,58.537617241974296
2020-09-02,59.019200454959524
2020-09-03,58.657979894397855
2020-09-04,58.057930161474914
2020-09-07,58.1727083968427
2020-09-08,57.55086434256891
2020-09-09,58.34876747134088
2020-09-10,58.257439530883545
2020-09-11,58.648100023008624
2020-09-14,57.62209010178896
2020-09-15,57.538869532476895
2020-09-16,57.79746809764238
2020-09-17,56.85663465179029
2020-09-18,57.010149727750104
2020-09-21,56.31901934903912
