Date,AEP
2020-01-01,441.5062811488274
2020-01-02,440.1949049942059
2020-01-03,448.33086188487295
2020-01-06,445.1664640641276
2020-01-07,452.7125231950824
2020-01-08,455.83623881692245
2020-01-09,445.00939232570903
2020-01-10,438.84719876469364
2020-01-13,442.3873456469117
2020-01-14,424.33799938154067
2020-01-15,418.55536648636985
2020-01-16,411.3021176238165
2020-01-17,406.975977300315
2020-01-20,395.7553936384161
2020-01-21,377.62375892089005
2020-01-22,369.2394116494214
2020-01-23,366.7025245535534
2020-01-24,365.93599507485453
2020-01-27,371.81525539059044
2020-01-28,365.2478972553424
2020-01-29,369.07517124168913
2020-01-30,361.4794635947964
2020-01-31,358.60594485774686
2020-02-03,351.1778590651698
2020-02-04,350.57560329943465
2020-02-05,345.21039763363456
2020-02-06,330.5000802121621
2020-02-07,327.8945143290044
2020-02-10,335.5956603466843
2020-02-11,331.93424956942476
2020-02-12,328.9696655390919
2020-02-13,321.9587295290387
2020-02-14,315.7303047960532
2020-02-17,316.6127126683709
2020-02-18,310.6565901504622
2020-02-19,310.8055702850972
2020-02-20,307.75153336525955
2020-02-21,309.1396747168974
2020-02-24,300.9231109318303
2020-02-25,307.3245661991075
2020-02-26,313.18217315316855
2020-02-27,310.3994223807831
2020-02-28,319.7023954433825
2020-03-02,311.8674915117236
2020-03-03,318.8593524244232
2020-03-04,310.2632697365237
2020-03-05,308.8426336786338
2020-03-06,299.2561101048754
2020-03-09,294.8395949634385
2020-03-10,291.3623025838546
2020-03-11,289.3802471827554
2020-03-12,274.53848625067394
2020-03-13,275.41244795696394
2020-03-16,280.41999162871207
2020-03-17,284.6619550561598
2020-03-18,286.53442202054174
2020-03-19,293.5724425127478
2020-03-20,296.8389664875022
2020-03-23,295.51725987775455
2020-03-24,294.8998923739674
2020-03-25,291.14927088071346
2020-03-26,298.0230096399971
2020-03-27,296.3634019277447
2020-03-30,289.11816240807343
2020-03-31,292.43110687464326
2020-04-01,301.74839695879723
2020-04-02,305.2337734234761
2020-04-03,288.34659070140873
2020-04-06,280.57539911943985
2020-04-07,289.5317347147322
2020-04-08,290.36967808231594
2020-04-09,289.6469746185003
2020-04-10,280.46342754184656
2020-04-13,279.6699461499525
2020-04-14,274.9346966078512
2020-04-15,275.0779661137099
2020-04-16,270.29590692325326
2020-04-17,263.707230499966
2020-04-20,275.2445558758925
2020-04-21,283.204848466388
2020-04-22,278.0772284241439
2020-04-23,284.6640127706178
2020-04-24,285.01945550543553
2020-04-27,284.60682162372274
2020-04-28,289.24200202080357
2020-04-29,286.24975688493043
2020-04-30,277.89475128675076
2020-05-01,282.3952877499734
2020-05-04,264.9780494673643
2020-05-05,268.2778110107552
2020-05-06,264.63087221832933
2020-05-07,266.2167571512731
2020-05-08,262.8332315036131
2020-05-11,263.9123906663418
2020-05-12,267.19163757251994
2020-05-13,268.05089550421
2020-05-14,274.54150765664383
2020-05-15,269.5164194670595
2020-05-18,270.66674902352906
2020-05-19,271.00284013529694
2020-05-20,268.30181242733926
2020-05-21,274.7498929181358
2020-05-22,278.77471982138263
2020-05-25,273.7722238902792
2020-05-26,275.3739379115676
