Date,AZO
2020-01-01,130.36469227253295
2020-01-02,135.729671615974
2020-01-03,137.7634922419411
2020-01-06,136.96177602276805
2020-01-07,138.8450100681023
2020-01-08,141.55777933116147
2020-01-09,138.40593025565556
2020-01-10,139.49887091421573
2020-01-13,143.779710148318
2020-01-14,144.41501824587246
2020-01-15,146.50832168128352
2020-01-16,141.17188029797407
2020-01-17,137.76206093924878
2020-01-20,138.48947194569314
2020-01-21,131.54475188662312
2020-01-22,131.70616345408638
2020-01-23,137.91745259968587
2020-01-24,138.52784181915246
2020-01-27,138.06397522784823
2020-01-28,135.59371839390073
2020-01-29,139.13031565055175
2020-01-30,136.0656070196569
2020-01-31,136.8910930955659
2020-02-03,141.3562380521342
2020-02-04,140.08373694739132
2020-02-05,140.1517860710184
2020-02-06,139.79537351189714
2020-02-07,139.4276008203708
2020-02-10,146.49511344386207
2020-02-11,146.4936811784602
2020-02-12,151.62311207428954
2020-02-13,150.73346778085462
2020-02-14,154.46423565480734
2020-02-17,159.15839790103544
2020-02-18,155.0921421353986
2020-02-19,154.91655333288077
2020-02-20,159.31269113278503
2020-02-21,158.5850979532385
2020-02-24,160.99511097584337
2020-02-25,167.7297419911172
2020-02-26,165.68393341356267
2020-02-27,165.74383287231583
2020-02-28,168.0597932635009
2020-03-02,169.36184734587326
2020-03-03,163.9752544706527
2020-03-04,164.32367072995487
2020-03-05,161.48093509330977
2020-03-06,160.62706488566582
2020-03-09,163.05294842544282
2020-03-10,165.11234048776763
2020-03-11,170.41549354102676
2020-03-12,166.2587633390959
2020-03-13,164.5403609737291
2020-03-16,164.0637895094745
2020-03-17,163.147754561469
2020-03-18,161.8609214566633
2020-03-19,160.46282319196348
2020-03-20,158.23966283707367
2020-03-23,157.56407922628352
2020-03-24,152.90303618506144
2020-03-25,156.42974272969425
2020-03-26,158.59113838640823
2020-03-27,157.48473696086583
2020-03-30,157.86240247163886
2020-03-31,157.26630913442702
2020-04-01,153.4774512832024
2020-04-02,155.1349648104406
2020-04-03,153.85481665588875
2020-04-06,150.96496037560306
2020-04-07,150.83373979999251
2020-04-08,148.27339023318356
2020-04-09,148.1859225143736
2020-04-10,148.43721513917976
2020-04-13,150.03882013810957
2020-04-14,148.51337601227624
2020-04-15,156.4061539160839
2020-04-16,158.27976004088785
2020-04-17,162.5220743194287
2020-04-20,162.5453446133125
2020-04-21,166.06000398636814
2020-04-22,167.1668956830542
2020-04-23,170.35185262458683
2020-04-24,169.68411665156214
2020-04-27,170.63831389841914
2020-04-28,167.03043097138183
2020-04-29,163.81064002609685
2020-04-30,163.47532516383234
2020-05-01,164.0987845870797
2020-05-04,161.90806746671356
2020-05-05,156.86579005292484
2020-05-06,158.4302898164092
2020-05-07,159.3162228684377
2020-05-08,164.6752980521256
2020-05-11,161.70712569126334
2020-05-12,167.52215626628146
2020-05-13,166.10309697865097
2020-05-14,160.53817474878014
2020-05-15,166.05173721679205
2020-05-18,162.50163506942576
2020-05-19,165.20596489032488
2020-05-20,165.8920904684338
2020-05-21,172.28518995564633
2020-05-22,166.0388097691869
2020-05-25,169.88899257598297
2020-05-26,169.8528095592933
2020-05-27,168.78807991755875
2020-05-28,168.04944270817404
2020-05-29,167.16951194096566
2020-06-01,160.81190688950508
2020-06-02,161.98927252302104
2020-06-03,164.77643085382283
2020-06-04,165.32432599565172
2020-06-05,162.68130059849582
2020-06-08,168.553174541554
2020-06-09,168.33062744046896
2020-06-10,170.10048004106363
2020-06-11,169.7789603104089
2020-06-12,176.28058708862042
2020-06-15,177.41398657397795
2020-06-16,177.06663977475333
2020-06-17,173.1869639173193
2020-06-18,176.60258179465453
2020-06-19,175.08899720623833
2020-06-22,180.66213790160637
2020-06-23,178.82544451051345
2020-06-24,172.46444320111507
2020-06-25,173.45796900130554
2020-06-26,171.94576253653344
2020-06-29,174.5406847718129
2020-06-30,169.63352960200086
2020-07-01,179.18120642272243
2020-07-02,184.15312212283618
2020-07-03,186.38290364027745
2020-07-06,182.11186381387404
2020-07-07,177.0222377110739
2020-07-08,174.71585339632978
2020-07-09,175.02532739723137
2020-07-10,174.92823955989124
2020-07-13,173.002279375129
2020-07-14,170.8024261426108
2020-07-15,171.72698636929596
2020-07-16,174.10075622558588
2020-07-17,174.06565791823144
2020-07-20,172.34590407945987
2020-07-21,172.17974972634363
2020-07-22,179.86333169604254
2020-07-23,178.116662358248
2020-07-24,182.3939207646504
2020-07-27,176.6657578538734
2020-07-28,177.77560142038786
2020-07-29,174.8050374192834
2020-07-30,171.55164014035233
2020-07-31,163.9314091680118
2020-08-03,166.09060903998656
2020-08-04,163.30092008127923
2020-08-05,162.25741840031483
2020-08-06,160.90926220051713
2020-08-07,166.58644419206541
2020-08-10,167.29132305035665
2020-08-11,164.9087561354785
2020-08-12,166.64119705248885
2020-08-13,164.82282552201838
2020-08-14,159.68186951796554
2020-08-17,160.11886462831797
2020-08-18,159.2005918767583
2020-08-19,154.79332202061752
2020-08-20,152.5927180396249
2020-08-21,153.06449714357933
2020-08-24,158.84468399132572
2020-08-25,159.77748773727262
2020-08-26,156.0459860712572
2020-08-27,161.06391197004078
2020-08-28,162.20905186359022
2020-08-31,163.20692801208628
2020-09-01,162.36011171928166
2020-09-02,166.02615412840964
2020-09-03,166.39404034276066
2020-09-04,169.13648331989046
2020-09-07,169.2940584146709
2020-09-08,170.56959451101366
2020-09-09,169.1647315426372
2020-09-10,169.14328294004187
2020-09-11,167.52670415382306
2020-09-14,166.00834758579595
2020-09-15,168.05932393114074
2020-09-16,163.1751294200874
2020-09-17,163.69522545042003
2020-09-18,159.53713218914487
2020-09-21,165.1705985109042
2020-09-22,165.0884781416419
2020-09-23,164.4621321486244
2020-09-24,165.50800932489727
2020-09-25,167.4279807821706
2020-09-28,168.43125528227938
2020-09-29,169.9116053214844
2020-09-30,175.19088070609632
2020-10-01,178.62465027400967
2020-10-02,179.07747446322642
2020-10-05,175.83648238819833
2020-10-06,177.38293323636313
2020-10-07,177.79583308005354
2020-10-08,178.5486997214436
2020-10-09,175.97152792232936
2020-10-12,181.13795121784614
2020-10-13,177.7291625977921
2020-10-14,177.8356020430566
2020-10-15,176.3556876724693
2020-10-16,179.4445662197631
2020-10-19,184.40287366499584
2020-10-20,185.51623674006711
2020-10-21,186.8118226197668
