Date,SYY
2020-01-01,449.93333518212404
2020-01-02,452.18976648325906
2020-01-03,449.0114440300073
2020-01-06,441.95520991947285
2020-01-07,438.4104766197905
2020-01-08,436.1178942704353
2020-01-09,446.1544659675666
2020-01-10,443.0377227730845
2020-01-13,434.64854668042767
2020-01-14,446.17507420950176
2020-01-15,432.4275095062792
2020-01-16,434.6384179429811
2020-01-17,429.3837011737662
2020-01-20,442.0584999809827
2020-01-21,448.76167809260255
2020-01-22,455.10702452478756
2020-01-23,444.48346586714695
2020-01-24,441.06898597426914
2020-01-27,448.1599420905174
2020-01-28,448.2705730302544
2020-01-29,461.63498606512735
2020-01-30,453.735582448127
2020-01-31,447.8451207997944
2020-02-03,455.54131320764725
2020-02-04,458.8862742987973
2020-02-05,469.12459570488954
2020-02-06,484.21543812329645
2020-02-07,489.46604132435743
2020-02-10,481.7845253027612
2020-02-11,478.8856588641692
2020-02-12,474.99799607075295
2020-02-13,487.00857607586323
2020-02-14,472.5706595748524
2020-02-17,478.53401204516456
2020-02-18,475.9625149926194
2020-02-19,487.2017541170372
2020-02-20,478.2360241810215
2020-02-21,481.4190286367516
2020-02-24,493.9482997273349
2020-02-25,491.4349760638235
2020-02-26,497.9618032762984
2020-02-27,483.8674866599253
2020-02-28,481.67445763650636
2020-03-02,473.52912721897985
2020-03-03,482.05760785914896
2020-03-04,477.146247958678
2020-03-05,489.1566562523762
2020-03-06,489.5046949424081
2020-03-09,480.9174846043011
2020-03-10,484.8321893424355
2020-03-11,492.3906257098293
2020-03-12,479.7552592833359
2020-03-13,478.7018152918006
2020-03-16,477.93267500116167
2020-03-17,479.55773574835183
2020-03-18,479.1647327213401
2020-03-19,483.9806910668758
2020-03-20,484.750443904578
2020-03-23,489.36399405053123
2020-03-24,497.75214706952914
2020-03-25,489.21523540873034
2020-03-26,496.5554910108825
2020-03-27,488.57660529458684
2020-03-30,488.673434462534
2020-03-31,485.64136155184787
2020-04-01,476.59324452542165
2020-04-02,483.72555385029534
2020-04-03,483.1121206525995
2020-04-06,480.3291416970837
2020-04-07,487.004091893559
2020-04-08,477.66101309770096
2020-04-09,476.9377213340448
2020-04-10,477.3263614967229
2020-04-13,477.6805266367828
2020-04-14,476.04947535191064
2020-04-15,469.81379231521043
2020-04-16,462.69343838699564
2020-04-17,449.2156859804279
2020-04-20,448.74295325217963
2020-04-21,450.1424734560919
2020-04-22,455.8305281814978
2020-04-23,448.59290617765475
2020-04-24,452.315930480396
2020-04-27,448.15737599448767
2020-04-28,445.33998646275273
2020-04-29,434.6473812754499
2020-04-30,439.0782859009799
2020-05-01,439.58720962576166
2020-05-04,447.96328887845254
2020-05-05,448.40552323753224
2020-05-06,440.43073769400297
2020-05-07,435.27936145907773
2020-05-08,438.30930206730415
2020-05-11,428.93925597087616
2020-05-12,430.83998878336024
2020-05-13,427.501534106559
2020-05-14,434.56179389857266
2020-05-15,421.37824306460874
2020-05-18,423.52543447244085
2020-05-19,414.6750626848159
2020-05-20,413.8813392845634
2020-05-21,416.98704316569206
2020-05-22,422.6274560211063
2020-05-25,421.17479433840066
2020-05-26,426.43515843461046
2020-05-27,433.13501069006696
2020-05-28,430.79160589857287
2020-05-29,430.75152457998837
