Date,MU
2020-01-01,112.84149317170431
2020-01-02,110.80296143134943
2020-01-03,111.27134352283083
2020-01-06,111.42621813789529
2020-01-07,109.58077032334315
2020-01-08,108.98294079656442
2020-01-09,113.69142280323467
2020-01-10,112.58757794086615
2020-01-13,110.65990248831002
2020-01-14,111.08777783598264
2020-01-15,110.40199248827192
2020-01-16,110.9087075443105
2020-01-17,112.66271913832034
2020-01-20,111.07614481249902
2020-01-21,112.40339171365372
2020-01-22,113.72677994422712
2020-01-23,113.04621290163902
2020-01-24,112.22199674510472
2020-01-27,111.06649711830396
2020-01-28,112.10552244708188
2020-01-29,111.33745006654495
2020-01-30,109.71939286654118
2020-01-31,114.48282619693126
2020-02-03,113.89749700931148
2020-02-04,115.29447434098516
2020-02-05,115.015937578776
2020-02-06,115.65277325570774
2020-02-07,116.69175160886797
2020-02-10,120.08322882619551
2020-02-11,118.44434941143072
2020-02-12,120.29419747148974
2020-02-13,121.29960619100103
2020-02-14,119.39818929772626
2020-02-17,117.13076302742653
2020-02-18,117.16443401807201
2020-02-19,116.93969733449717
2020-02-20,118.29106588047193
2020-02-21,122.2330935371832
2020-02-24,124.19757109886659
2020-02-25,127.9713042651323
2020-02-26,131.46318908774597
2020-02-27,127.21533721651464
2020-02-28,125.25689494478024
2020-03-02,126.81549958169857
2020-03-03,124.65524315856268
2020-03-04,124.55831516302216
2020-03-05,127.13814634704276
2020-03-06,127.55020128123647
2020-03-09,126.99547065470428
2020-03-10,127.09438786508426
2020-03-11,127.71131585103889
2020-03-12,129.5478157407185
2020-03-13,127.37290289834516
2020-03-16,124.06548789933758
2020-03-17,124.80354526658076
2020-03-18,123.48597312020428
2020-03-19,123.66949502071856
2020-03-20,124.27210675217353
2020-03-23,121.34189134344984
2020-03-24,121.77966519961535
2020-03-25,123.80609926175497
2020-03-26,130.0739592832537
2020-03-27,132.97943791864748
2020-03-30,134.7905068466284
2020-03-31,129.56849694064297
2020-04-01,127.74506431178052
2020-04-02,126.96985824989896
2020-04-03,123.47248834160614
2020-04-06,127.0506843590039
2020-04-07,126.5443044107381
2020-04-08,131.24503302432822
2020-04-09,134.35501765370742
2020-04-10,133.72975481669474
2020-04-13,134.8670543578841
2020-04-14,132.35105490422836
2020-04-15,131.6756833329511
2020-04-16,131.5473798233721
2020-04-17,133.86935032563377
2020-04-20,139.85578971964503
2020-04-21,139.1075127770199
2020-04-22,140.2155086918687
2020-04-23,138.83952041333688
2020-04-24,141.390836682256
2020-04-27,138.89710367946765
2020-04-28,137.50102154098073
2020-04-29,136.69450532782395
2020-04-30,137.32620135157825
2020-05-01,132.64126832026247
2020-05-04,129.94934509364782
2020-05-05,130.90856540366013
2020-05-06,127.46536628674555
2020-05-07,125.0220579713696
2020-05-08,129.20530066282504
2020-05-11,129.00512116665652
2020-05-12,128.6633421903983
2020-05-13,129.51053194409437
2020-05-14,131.4101855099441
2020-05-15,130.56440519352023
2020-05-18,131.08113102620786
2020-05-19,130.68290480596212
2020-05-20,131.20043639753897
2020-05-21,126.1307844550826
2020-05-22,127.1827497081791
2020-05-25,126.70336615422565
2020-05-26,126.63167523687021
2020-05-27,124.09777163010331
2020-05-28,125.14873274134227
2020-05-29,126.48413087274933
2020-06-01,126.61677083636924
2020-06-02,126.02149325719726
2020-06-03,128.03787775108427
2020-06-04,127.63439956503315
2020-06-05,125.87171526111737
2020-06-08,126.98712212151001
2020-06-09,126.13930056084479
2020-06-10,121.73411518924635
2020-06-11,118.06062305181118
2020-06-12,118.88588615425749
2020-06-15,121.11681730196288
2020-06-16,117.1011651813152
2020-06-17,116.6866856601057
2020-06-18,117.91214453226094
2020-06-19,115.50262039243238
2020-06-22,117.9659334565808
2020-06-23,118.08320421909798
2020-06-24,119.63917459174993
2020-06-25,118.80119148272854
2020-06-26,116.99229441171836
2020-06-29,114.47163912275693
2020-06-30,115.35325119317864
2020-07-01,116.26316947468726
2020-07-02,119.27779563919113
2020-07-03,118.93946383042851
2020-07-06,116.52898797769103
2020-07-07,117.2056507362815
2020-07-08,112.70466651608143
2020-07-09,113.7246692484866
2020-07-10,110.52718260545159
2020-07-13,110.21499591109387
2020-07-14,110.66933986130225
2020-07-15,108.9639982618447
2020-07-16,108.48242415322653
2020-07-17,109.5103370420821
2020-07-20,111.08881462454016
2020-07-21,108.62869182772174
2020-07-22,105.71780941696491
