Date,QCOM
2020-01-01,331.9146157025672
2020-01-02,341.52754701546695
2020-01-03,358.34018411776196
2020-01-06,369.86192543530433
2020-01-07,344.28734224746984
2020-01-08,341.36620328647285
2020-01-09,344.59935476204765
2020-01-10,329.46484369616013
2020-01-13,331.237711775265
2020-01-14,324.10375164736746
2020-01-15,314.8025059691294
2020-01-16,327.2215198413425
2020-01-17,312.8934504501426
2020-01-20,305.3592164749954
2020-01-21,312.97208710873656
2020-01-22,305.3911832070467
2020-01-23,285.50947051951005
2020-01-24,307.16843452745024
2020-01-27,322.2689431691267
2020-01-28,320.95933309584007
2020-01-29,323.36120268738125
2020-01-30,311.2211782700918
2020-01-31,299.49426951707864
2020-02-03,305.5957312576983
2020-02-04,305.6580153677822
2020-02-05,316.2355364811408
2020-02-06,307.25127485659993
2020-02-07,300.88608411223345
2020-02-10,303.6379805350716
2020-02-11,292.916209808776
2020-02-12,289.21427680976484
2020-02-13,284.03322859637626
2020-02-14,281.67408402332165
2020-02-17,282.8029559091128
2020-02-18,288.94995176433423
2020-02-19,290.1929564254519
2020-02-20,289.932127062399
2020-02-21,282.7982884051953
2020-02-24,264.8695402858051
2020-02-25,266.2509430849443
2020-02-26,270.54860487629725
2020-02-27,256.82415738733476
2020-02-28,264.4851364155226
2020-03-02,259.7860754924412
2020-03-03,254.22270244085348
2020-03-04,258.15130506824045
2020-03-05,264.67203890042197
2020-03-06,269.96922557289804
2020-03-09,275.45636179001326
2020-03-10,274.6912239720087
2020-03-11,285.2956158796499
2020-03-12,277.0257692676829
2020-03-13,267.8317509883869
2020-03-16,268.5241750174641
2020-03-17,268.35484543573506
2020-03-18,265.81285529236663
2020-03-19,263.18270330412594
2020-03-20,263.96395065012115
2020-03-23,256.5613932813656
2020-03-24,260.4900493988574
2020-03-25,264.3290167351061
2020-03-26,265.3304547032683
2020-03-27,269.99266858585503
2020-03-30,274.3928505452692
2020-03-31,281.87251872309116
2020-04-01,279.41983012143527
2020-04-02,290.1848799515478
2020-04-03,289.71092378037144
2020-04-06,272.489543339353
2020-04-07,268.8259128908509
2020-04-08,264.08275242212153
2020-04-09,259.99369252484416
2020-04-10,262.62800754605394
2020-04-13,268.28395819643566
2020-04-14,265.7797191647972
2020-04-15,270.4398221199414
2020-04-16,277.92978177492677
2020-04-17,270.4096909621937
2020-04-20,287.6074075010216
2020-04-21,293.26400192886234
2020-04-22,290.88024573378397
2020-04-23,295.92979234111107
2020-04-24,291.6322074046124
2020-04-27,286.2424602412166
2020-04-28,283.7987524840518
2020-04-29,285.9221977411412
2020-04-30,290.53731187747337
2020-05-01,290.55891699726163
2020-05-04,294.9038687164974
2020-05-05,314.11697496221853
2020-05-06,319.8308149869616
2020-05-07,320.7585599685923
2020-05-08,325.3607081442665
2020-05-11,316.3493779789962
2020-05-12,322.8427811451241
