Date,AXP
2020-01-01,445.24602427454283
2020-01-02,437.63002421777634
2020-01-03,443.43273478136643
2020-01-06,429.9295823225648
2020-01-07,433.80996736592226
2020-01-08,444.45909404300903
2020-01-09,432.9852758631041
2020-01-10,446.24664705142834
2020-01-13,462.99870378372714
2020-01-14,474.76062153127697
2020-01-15,474.3619269093116
2020-01-16,479.33086122512447
2020-01-17,491.57142161972916
2020-01-20,486.8295880540743
2020-01-21,471.0073602227994
2020-01-22,483.01815346137204
2020-01-23,485.02676262195
2020-01-24,478.3929064285315
2020-01-27,487.72657539519497
2020-01-28,496.9655021089568
2020-01-29,504.00142144909483
2020-01-30,502.6319877399455
2020-01-31,502.6196061012529
2020-02-03,499.8948259831184
2020-02-04,512.9156770416373
2020-02-05,518.4751481266019
2020-02-06,497.76567158976763
2020-02-07,486.85786116406797
2020-02-10,487.8077181360945
2020-02-11,495.6648469035191
2020-02-12,496.65972682855175
2020-02-13,482.38854743310776
2020-02-14,479.2580130723676
2020-02-17,495.42228198543734
2020-02-18,501.59823205032626
2020-02-19,510.32467270451406
2020-02-20,513.7316070399394
2020-02-21,522.0656705804987
2020-02-24,504.19651891416135
2020-02-25,491.34210939956427
2020-02-26,473.1435730098144
2020-02-27,463.9862661602765
2020-02-28,472.04866101415706
2020-03-02,476.62957283990875
2020-03-03,480.1630984924709
2020-03-04,485.9734831420242
2020-03-05,488.0053112423183
2020-03-06,484.7618541108125
2020-03-09,484.1267536521804
2020-03-10,505.5922445019015
2020-03-11,509.0423444603054
2020-03-12,517.2568470635816
2020-03-13,505.357975694525
2020-03-16,506.9790367605902
2020-03-17,500.28847699024357
2020-03-18,524.1194955388952
2020-03-19,528.7014506123717
2020-03-20,527.2593422580751
2020-03-23,513.1965696368724
2020-03-24,490.8313851165627
2020-03-25,475.0030362687048
2020-03-26,461.5169022943392
2020-03-27,469.85184804724
2020-03-30,465.98924986102276
2020-03-31,463.83388556137453
2020-04-01,470.24019002732894
2020-04-02,482.2483045319086
2020-04-03,475.69127556515684
2020-04-06,469.31430641231657
2020-04-07,472.6759343394323
2020-04-08,473.8516550080978
2020-04-09,463.49084119748386
2020-04-10,470.6727693287561
2020-04-13,461.3065549761675
2020-04-14,479.13695148381055
2020-04-15,470.1678834461438
2020-04-16,476.1910749485406
2020-04-17,466.81301316979744
2020-04-20,473.58007654124896
2020-04-21,477.3997858863535
2020-04-22,466.2247620971245
2020-04-23,477.3397513160797
2020-04-24,476.73545264580446
2020-04-27,463.0507811895286
2020-04-28,458.3705491343309
2020-04-29,466.92465840188345
2020-04-30,458.90282979247814
2020-05-01,457.07155631499035
2020-05-04,444.75066523533445
2020-05-05,428.36662268321896
2020-05-06,416.73867176873495
2020-05-07,415.9902995053205
2020-05-08,413.36433963866955
2020-05-11,409.15000999921983
2020-05-12,406.65548299494105
2020-05-13,399.62411827511136
2020-05-14,390.3406775360629
2020-05-15,394.59426687641104
2020-05-18,392.97889118793324
2020-05-19,397.7905682400548
2020-05-20,392.7597567921808
2020-05-21,383.8804103403436
2020-05-22,401.34231247605817
2020-05-25,394.0425393275871
2020-05-26,385.5010425488481
2020-05-27,389.8242392337672
2020-05-28,393.8658239234304
2020-05-29,406.7805014182314
2020-06-01,397.5179533590972
2020-06-02,398.29334474827795
2020-06-03,382.3186794119852
2020-06-04,379.7194861838071
2020-06-05,376.2283352035884
2020-06-08,371.80897501378143
2020-06-09,384.23431716508577
2020-06-10,381.22320981977913
2020-06-11,392.2529805178405
2020-06-12,380.4069975632676
2020-06-15,384.06122368282496
2020-06-16,388.1557238871726
2020-06-17,388.6655564976976
2020-06-18,387.7764956770693
2020-06-19,390.97439471304676
2020-06-22,387.7582380741949
2020-06-23,396.6740843277728
2020-06-24,409.23313267835556
2020-06-25,399.1722820561856
2020-06-26,403.2711457000173
2020-06-29,409.5693139866703
2020-06-30,424.3991680687631
2020-07-01,420.5562601389085
2020-07-02,426.36836111860043
2020-07-03,442.35704764344985
2020-07-06,435.72927328328655
2020-07-07,431.5067957270604
2020-07-08,430.6400236530689
2020-07-09,445.5434545710878
2020-07-10,421.98222907765125
2020-07-13,437.4383600177037
2020-07-14,447.25426559296466
2020-07-15,443.742464732941
2020-07-16,452.0335666098164
2020-07-17,451.86891006074546
2020-07-20,459.70977549635904
2020-07-21,453.79344552387863
2020-07-22,448.4746463209673
2020-07-23,450.75172274489597
2020-07-24,432.7518104963382
2020-07-27,428.27949504510366
2020-07-28,426.36624977419416
2020-07-29,438.14625597070636
2020-07-30,431.9569725050228
2020-07-31,435.57667850979664
2020-08-03,438.6650087334593
2020-08-04,450.79453213539006
2020-08-05,438.52616941363
2020-08-06,443.164035973293
2020-08-07,464.1669007294777
2020-08-10,464.746099427328
2020-08-11,457.1080908468874
2020-08-12,461.01783647416147
2020-08-13,453.2808285636114
2020-08-14,444.6543663668812
2020-08-17,447.68443338969945
2020-08-18,442.27926099586
2020-08-19,442.89589918871627
2020-08-20,441.19497448132915
2020-08-21,437.80658870563315
2020-08-24,437.86541393297836
2020-08-25,438.3597896893189
2020-08-26,432.899952000764
2020-08-27,454.11403879313417
2020-08-28,447.35386922301484
