Date,MPC
2020-01-01,62.51869258607176
2020-01-02,64.27508751977713
2020-01-03,65.90594195544762
2020-01-06,64.25165871058942
2020-01-07,64.53687284809781
2020-01-08,66.95224269007893
2020-01-09,65.41023314550908
2020-01-10,64.02471126133791
2020-01-13,63.629175247187334
2020-01-14,66.27206788625402
2020-01-15,70.10761754911707
2020-01-16,72.08986350520493
2020-01-17,70.01249072205228
2020-01-20,67.82065903961458
2020-01-21,71.3674581623825
2020-01-22,69.40933278273714
2020-01-23,71.90521658861027
2020-01-24,71.62639863240952
2020-01-27,72.02979756580454
2020-01-28,71.04545017180786
2020-01-29,75.17234397246462
2020-01-30,72.04104388513787
2020-01-31,73.45992886184567
2020-02-03,74.50944944143986
2020-02-04,73.63774150047347
2020-02-05,70.95527908655549
2020-02-06,70.57983909368251
2020-02-07,68.69730967660992
2020-02-10,68.22959771063417
2020-02-11,69.8173945641557
2020-02-12,67.20904170912264
2020-02-13,67.12852809224069
2020-02-14,67.33451407665743
2020-02-17,67.27204969946601
2020-02-18,69.51451821411152
2020-02-19,68.72384294571505
2020-02-20,70.46125068674446
2020-02-21,70.82693188258281
2020-02-24,71.54171847297819
2020-02-25,72.63259096908759
2020-02-26,75.35393889900405
2020-02-27,77.22528850637059
2020-02-28,77.69674771194613
2020-03-02,74.40377560136174
2020-03-03,74.2627114267339
2020-03-04,75.49990350308356
2020-03-05,76.05090565632474
2020-03-06,79.85909195532761
2020-03-09,78.80170378036523
2020-03-10,74.47792138906438
2020-03-11,73.80411463088033
2020-03-12,75.96473758162479
2020-03-13,76.34878775504882
2020-03-16,75.14709293024548
2020-03-17,72.29249167167049
2020-03-18,76.55453142113001
2020-03-19,76.26675548698857
2020-03-20,77.83476690555246
2020-03-23,79.4176913853254
2020-03-24,80.7687528205033
2020-03-25,82.67595857215282
2020-03-26,82.12926848730406
2020-03-27,80.66553708025957
2020-03-30,80.50759292128558
2020-03-31,81.65823304726814
2020-04-01,80.68418958580511
2020-04-02,82.61108471463955
2020-04-03,77.86303691742089
2020-04-06,77.39833102688925
2020-04-07,78.44193301168087
2020-04-08,79.62513032503279
2020-04-09,75.22068548342557
2020-04-10,75.54807815631658
2020-04-13,71.77520031432282
2020-04-14,71.69761374160124
2020-04-15,73.93193908546078
2020-04-16,77.37225131175533
2020-04-17,76.26915845006596
2020-04-20,71.74917622773496
2020-04-21,70.13985272870426
2020-04-22,69.80403528269957
2020-04-23,72.17237705858683
2020-04-24,72.30197987444967
2020-04-27,73.02013656510158
2020-04-28,74.85297027347023
2020-04-29,77.83655047815246
2020-04-30,78.74172138327977
2020-05-01,77.27882179920215
2020-05-04,76.37798568974578
2020-05-05,80.6788771237519
2020-05-06,78.86834717050995
2020-05-07,83.10818718406307
2020-05-08,80.41126694143715
2020-05-11,78.54184476248399
2020-05-12,78.64875278017963
2020-05-13,74.84217629482224
2020-05-14,76.66303158662409
2020-05-15,73.79967778034852
2020-05-18,73.91682845253656
2020-05-19,71.84402813792484
2020-05-20,70.26378439518672
2020-05-21,68.28880426393542
2020-05-22,68.62386738776654
2020-05-25,67.64225220123073
