Date,F
2020-01-01,286.4487169769246
2020-01-02,282.7653855657385
2020-01-03,278.5474001868058
2020-01-06,274.215645903557
2020-01-07,275.21175119720897
2020-01-08,278.26126156073775
2020-01-09,280.94746054839294
2020-01-10,281.3823467243225
2020-01-13,284.9177443229541
2020-01-14,287.2382003292639
2020-01-15,293.91128882728066
2020-01-16,283.8954613099931
2020-01-17,279.948209096169
2020-01-20,281.4988341543898
2020-01-21,286.00829125993425
2020-01-22,291.7108431918653
2020-01-23,297.0694215072883
2020-01-24,297.96864201842055
2020-01-27,301.3536555154278
2020-01-28,304.1258501564719
2020-01-29,303.80949945838796
2020-01-30,302.40028915268306
2020-01-31,316.2005522673305
2020-02-03,324.1651010321156
2020-02-04,318.66458755427243
2020-02-05,313.715007698604
2020-02-06,307.4749473003702
2020-02-07,312.1529895736444
2020-02-10,306.1690745887316
2020-02-11,295.988343427092
2020-02-12,297.0471450348155
2020-02-13,302.88717633977035
2020-02-14,307.71283547386736
2020-02-17,312.3441867645169
2020-02-18,314.06235622801813
2020-02-19,313.64612794230266
2020-02-20,314.32903865296015
2020-02-21,301.6009536924288
2020-02-24,297.5499851762669
2020-02-25,302.1613637166514
2020-02-26,305.75255921944165
2020-02-27,304.721577675911
2020-02-28,304.0939000405168
2020-03-02,304.10937214607765
2020-03-03,307.8929902934013
2020-03-04,306.4872735057941
2020-03-05,305.25563081547403
2020-03-06,303.11602616691556
2020-03-09,303.85503960040944
2020-03-10,295.29599884794976
2020-03-11,294.44959058560795
2020-03-12,286.9266767307335
2020-03-13,282.46832391086264
2020-03-16,287.9763731499679
2020-03-17,292.07719253444833
2020-03-18,288.3976667704283
2020-03-19,291.3402728651841
2020-03-20,288.73377556777467
2020-03-23,285.5943143762489
2020-03-24,282.6542952690804
2020-03-25,284.73115101197584
2020-03-26,286.736702030669
2020-03-27,293.18697513904095
2020-03-30,288.9840415864819
2020-03-31,283.43030787159984
2020-04-01,284.9411120632292
2020-04-02,289.6911150732094
2020-04-03,297.1567350471964
2020-04-06,295.802993176844
2020-04-07,299.568663583802
2020-04-08,299.27428410681364
2020-04-09,293.7114673203336
2020-04-10,295.1197564229622
2020-04-13,292.65461916279304
2020-04-14,288.84676023955353
2020-04-15,293.033187140747
2020-04-16,288.94529976084243
2020-04-17,288.1896033879028
2020-04-20,288.38548989549264
2020-04-21,293.1875836841663
2020-04-22,282.8273486023866
2020-04-23,286.638108186436
2020-04-24,293.81549911204525
2020-04-27,296.1909441212066
2020-04-28,301.8703029997501
2020-04-29,299.44242974776114
2020-04-30,298.8285241834875
2020-05-01,298.51877607771485
2020-05-04,299.58328252486376
2020-05-05,311.5230665536409
2020-05-06,305.09116387343016
2020-05-07,306.16238541157855
2020-05-08,307.9905950774256
2020-05-11,308.71633989408843
2020-05-12,307.9315808776314
2020-05-13,305.7562996399137
2020-05-14,301.191581738988
2020-05-15,300.886705153363
2020-05-18,305.49007020155454
2020-05-19,303.4604644732716
2020-05-20,306.94161213456385
2020-05-21,307.55401158826476
2020-05-22,302.46023417601367
2020-05-25,295.38737960487555
2020-05-26,291.8833580781836
2020-05-27,296.13869864275847
2020-05-28,303.1599379383407
2020-05-29,307.674348050686
2020-06-01,309.1412627640579
2020-06-02,306.2602266294715
2020-06-03,305.59334792796153
2020-06-04,316.5616790957161
2020-06-05,316.0954559935777
2020-06-08,323.5558312528875
2020-06-09,313.3343857373567
2020-06-10,320.51388355770376
2020-06-11,319.67718548364604
2020-06-12,322.57807841562476
2020-06-15,326.1335802536471
2020-06-16,330.8440165510857
2020-06-17,342.4719071303828
2020-06-18,346.61820095997456
2020-06-19,345.03831219505446
2020-06-22,351.67782420551583
2020-06-23,356.77482342146584
2020-06-24,354.36470294485906
2020-06-25,343.1354038982468
2020-06-26,335.2632493453468
2020-06-29,329.2823972417583
2020-06-30,335.73481746593075
2020-07-01,338.32432467094503
2020-07-02,330.8328648611322
2020-07-03,334.60223867761545
2020-07-06,326.8839793574698
2020-07-07,315.69674578152166
2020-07-08,324.0647144245091
2020-07-09,331.9170571792107
2020-07-10,329.02013578359316
2020-07-13,324.17476060442556
2020-07-14,330.27282317155203
2020-07-15,318.0340113391535
2020-07-16,320.0774384726161
2020-07-17,317.4606033581437
2020-07-20,316.97016955223836
2020-07-21,310.3505125820575
2020-07-22,314.3817905178735
2020-07-23,308.9773195750116
2020-07-24,314.7181403805168
2020-07-27,318.5209899926129
2020-07-28,326.526580645374
2020-07-29,317.3756601312374
2020-07-30,322.6580506762189
2020-07-31,317.8382947965805
2020-08-03,324.1010408220207
2020-08-04,320.321452255004
2020-08-05,316.2860453121587
2020-08-06,317.6114638664421
2020-08-07,319.88186537379005
2020-08-10,325.16137990228924
2020-08-11,327.962699472877
2020-08-12,330.30881616616267
2020-08-13,324.12210101140164
2020-08-14,333.16009187390557
2020-08-17,333.5457881805309
2020-08-18,330.75936970920594
2020-08-19,332.2016046661518
2020-08-20,329.0548195728469
2020-08-21,333.9889879596863
2020-08-24,328.0661472052892
2020-08-25,330.5317635487569
2020-08-26,324.07557511112503
2020-08-27,326.08792373655706
2020-08-28,321.79737095911406
2020-08-31,322.24625690096326
2020-09-01,325.9386189490378
2020-09-02,324.14048012154876
2020-09-03,332.5306160624576
2020-09-04,319.32298330182977
2020-09-07,314.4637951293614
2020-09-08,313.35368635987396
2020-09-09,308.283206266325
2020-09-10,308.4210422053681
2020-09-11,309.2613457037594
2020-09-14,313.17173784245807
2020-09-15,307.8598598564148
2020-09-16,302.4983929334482
2020-09-17,303.1262594579156
2020-09-18,295.7271086738534
2020-09-21,289.8895224172378
2020-09-22,295.9407649052695
2020-09-23,296.79659311174674
2020-09-24,294.0370866411504
2020-09-25,305.0210049934007
2020-09-28,313.21254949470307
2020-09-29,315.9810807719313
2020-09-30,309.98601328169434
2020-10-01,314.38458507422484
2020-10-02,309.6032141285916
2020-10-05,307.12486136537103
2020-10-06,303.1611648139586
2020-10-07,295.3509484905577
2020-10-08,293.81350398254665
2020-10-09,295.6363455723114
2020-10-12,298.5903505372942
2020-10-13,295.3025912836724
2020-10-14,295.2138481453858
2020-10-15,292.06631605392477
2020-10-16,294.0818770246604
2020-10-19,292.95769290052476
2020-10-20,290.99628865117427
2020-10-21,297.2199332467777
2020-10-22,297.248389518107
2020-10-23,292.87356441235494
2020-10-26,292.3885820506157
2020-10-27,289.78077721193034
2020-10-28,286.87963581423827
2020-10-29,279.3542320129326
2020-10-30,274.7095780246771
2020-11-02,269.3227569734772
2020-11-03,271.75883170002265
2020-11-04,276.08069937967946
2020-11-05,278.32490324877404
2020-11-06,277.7091029848186
2020-11-09,274.02591292502336
2020-11-10,269.99531126489836
2020-11-11,264.7041611083394
2020-11-12,264.9199689163382
2020-11-13,259.34982587665854
2020-11-16,265.1936876074526
2020-11-17,269.1813504187959
2020-11-18,266.9552467783314
2020-11-19,262.0114307431485
2020-11-20,266.2962012006677
2020-11-23,268.9123783614877
2020-11-24,268.22366444899586
2020-11-25,268.4638246424571
2020-11-26,265.5110415235555
2020-11-27,264.3564584783529
2020-11-30,261.1535795961726
2020-12-01,255.32278042243627
2020-12-02,256.8990116935336
2020-12-03,257.54276556710266
2020-12-04,266.27269021073187
2020-12-07,263.27795131856556
2020-12-08,262.35797073111496
2020-12-09,266.71626989044205
2020-12-10,263.9139478738824
2020-12-11,265.0015008264491
2020-12-14,266.82242071803813
2020-12-15,266.0831782213711
2020-12-16,269.08226547245135
2020-12-17,265.3029618038492
2020-12-18,257.6020607804804
2020-12-21,259.45140684381124
2020-12-22,263.05888849617253
2020-12-23,263.08461670608625
2020-12-24,264.9288319372907
2020-12-25,262.01863854389353
2020-12-28,261.9810166582449
2020-12-29,264.9848663542111
2020-12-30,256.826258724098
2020-12-31,247.45730543737724
2021-01-01,250.28553645348848
2021-01-04,256.45814213525875
2021-01-05,257.9195892075523
2021-01-06,255.2599556023496
2021-01-07,259.01663547198604
2021-01-08,257.34666655588376
2021-01-11,255.94724795878471
2021-01-12,250.79285496779852
2021-01-13,253.43168754365988
2021-01-14,257.9906864841513
2021-01-15,258.01227895839685
2021-01-18,265.7777861561595
2021-01-19,268.9794512960398
2021-01-20,271.9432815194386
2021-01-21,264.95247929397027
2021-01-22,258.09157826931647
2021-01-25,259.412743763036
2021-01-26,261.4273013360867
2021-01-27,262.67173190986654
2021-01-28,261.9970239832273
2021-01-29,260.91851504303924
2021-02-01,265.6828820486256
2021-02-02,268.40327879744024
2021-02-03,261.06411387419206
2021-02-04,257.7089938832109
2021-02-05,261.0705859897052
2021-02-08,268.3350536913788
2021-02-09,270.0496338332625
2021-02-10,274.8227749477897
2021-02-11,276.5004520739519
2021-02-12,271.75201285408133
2021-02-15,268.9974498714885
2021-02-16,269.91479220135693
2021-02-17,273.249102978433
2021-02-18,271.06883775623714
2021-02-19,268.39725005199125
2021-02-22,271.30079480211583
2021-02-23,274.2829484087241
2021-02-24,275.02874120354517
2021-02-25,268.649272763151
2021-02-26,266.85690190207646
2021-03-01,264.0897655734297
2021-03-02,265.0373916698986
2021-03-03,259.18697527665364
2021-03-04,260.39040734431194
2021-03-05,260.1799812308261
2021-03-08,259.25621736895823
2021-03-09,259.7431972631793
2021-03-10,260.77791053995037
2021-03-11,265.55320330589103
2021-03-12,268.74438871725755
2021-03-15,271.8034632359899
2021-03-16,267.6893753268757
2021-03-17,261.6723785577081
2021-03-18,263.6254290009066
2021-03-19,266.4467268488739
2021-03-22,271.2632625265098
2021-03-23,278.6653678551135
2021-03-24,280.3797536767104
2021-03-25,269.5267502708093
2021-03-26,272.3151866316103
2021-03-29,276.4746678594549
2021-03-30,275.339017205982
2021-03-31,273.5057960703792
2021-04-01,273.88620158924607
2021-04-02,264.77984669264276
2021-04-05,267.03454520193804
2021-04-06,271.52543796488266
2021-04-07,277.2153216428985
2021-04-08,281.02517679056336
2021-04-09,285.2832713222744
2021-04-12,278.81835737752317
2021-04-13,284.2899207943764
2021-04-14,291.1619493726149
2021-04-15,288.96404412732954
2021-04-16,296.58916602847984
2021-04-19,288.9163588231839
2021-04-20,287.739095924662
2021-04-21,288.75577090684834
2021-04-22,288.0307841943484
2021-04-23,284.3155600908852
2021-04-26,283.2364881554722
2021-04-27,285.22688448991033
2021-04-28,282.90124160563965
2021-04-29,287.2057529301316
2021-04-30,283.56638668421846
2021-05-03,284.26809975418
2021-05-04,284.27306174963485
2021-05-05,282.32685787082715
2021-05-06,286.7290530425004
2021-05-07,285.4423823302063
2021-05-10,286.13939900765143
2021-05-11,291.75284882400547
2021-05-12,286.80852997446004
2021-05-13,279.5137233509766
2021-05-14,277.15719017690054
2021-05-17,271.9870586670694
2021-05-18,271.7832323658943
2021-05-19,270.65949418876346
2021-05-20,270.6834760265695
2021-05-21,269.87318108750367
2021-05-24,272.4294828975645
2021-05-25,275.9588999824107
2021-05-26,273.41645820530084
2021-05-27,272.90795099363424
2021-05-28,278.18864958900537
2021-05-31,275.292727769273
2021-06-01,279.09672288944705
2021-06-02,277.2093993541609
2021-06-03,278.1667538526083
2021-06-04,282.96215078677164
2021-06-07,280.5413135686595
2021-06-08,279.5092159280398
2021-06-09,278.3700240274516
2021-06-10,273.1496903462367
2021-06-11,269.4138475270201
2021-06-14,265.6032820545242
2021-06-15,259.1086735978187
2021-06-16,258.39397530840887
2021-06-17,256.9340112722306
2021-06-18,258.88678794955143
2021-06-21,263.9496094986079
2021-06-22,263.44699403761837
2021-06-23,268.21713257072435
2021-06-24,274.8203118262264
2021-06-25,283.5176438866383
2021-06-28,279.90412482681484
2021-06-29,276.9707950937627
2021-06-30,277.30014004176707
2021-07-01,272.9503339180262
2021-07-02,268.4428107119054
2021-07-05,263.8200441000072
2021-07-06,267.6197423860054
2021-07-07,264.7773512841005
2021-07-08,267.42185635598383
2021-07-09,270.3692076549934
2021-07-12,273.17762802238656
2021-07-13,274.711759600829
2021-07-14,281.2400111712123
2021-07-15,280.97804632464835
2021-07-16,281.03080667180757
