Date,HAL
2020-01-01,68.91780939737441
2020-01-02,70.25921165011972
2020-01-03,69.78229327161614
2020-01-06,68.99238530773289
2020-01-07,68.01325945136851
2020-01-08,68.59781815890969
2020-01-09,67.98823104220811
2020-01-10,68.25930746175442
2020-01-13,67.09168801197436
2020-01-14,67.03002243367133
2020-01-15,65.38676206439841
2020-01-16,66.98580148793602
2020-01-17,68.52528407993007
2020-01-20,68.98115052272958
2020-01-21,70.24271019254671
2020-01-22,70.39404926636016
2020-01-23,69.98085787774873
2020-01-24,68.24611277219144
2020-01-27,68.5666832919231
2020-01-28,68.93808759056567
2020-01-29,67.49586398941162
2020-01-30,68.0396094617455
2020-01-31,68.69009389157966
2020-02-03,69.08816329012065
2020-02-04,69.5493122950833
2020-02-05,69.95436797051512
2020-02-06,68.09908518700824
2020-02-07,68.29217784292214
2020-02-10,69.23378467594507
2020-02-11,69.32827669418035
2020-02-12,67.9158617434453
2020-02-13,69.34402111750744
2020-02-14,69.47864272733979
2020-02-17,68.14758955022307
2020-02-18,67.3912709427093
2020-02-19,65.8614388609535
2020-02-20,64.70117783222267
2020-02-21,64.68277450256124
2020-02-24,64.08855606123593
2020-02-25,63.57344747439816
2020-02-26,62.241932608479466
2020-02-27,61.941651203553654
2020-02-28,60.524022073774866
2020-03-02,59.33176320168577
2020-03-03,60.131009168214064
2020-03-04,58.34234715706215
2020-03-05,57.324663951440215
2020-03-06,58.59101956464031
2020-03-09,57.90320588901644
2020-03-10,55.63737555445528
2020-03-11,54.14146026481357
2020-03-12,53.342732523549266
2020-03-13,54.211096024318074
2020-03-16,53.62018994158803
2020-03-17,52.62773940104332
2020-03-18,52.64524519397816
2020-03-19,50.8917712796095
2020-03-20,50.749124611089925
2020-03-23,50.951465134065586
2020-03-24,52.17617709552178
2020-03-25,53.26543177902241
2020-03-26,52.92359114706026
2020-03-27,53.83698355434224
2020-03-30,53.61956451008881
2020-03-31,55.07542973173674
2020-04-01,55.956590121645895
2020-04-02,56.4477825850776
2020-04-03,55.999701890245646
2020-04-06,55.39291185284015
2020-04-07,54.766037892960156
2020-04-08,53.54359566311067
2020-04-09,54.92831815234493
2020-04-10,55.32316266575768
2020-04-13,56.680361479910125
2020-04-14,56.00090973424922
2020-04-15,54.70242470063805
2020-04-16,55.746609683538146
2020-04-17,56.099728047757424
2020-04-20,57.39876366819605
2020-04-21,57.9478048905702
2020-04-22,57.43692298515333
2020-04-23,58.41075645792831
2020-04-24,58.817572385612095
2020-04-27,59.060258837964874
2020-04-28,57.73081294806636
2020-04-29,58.66163338906063
2020-04-30,57.952349508083415
2020-05-01,59.465473493289466
2020-05-04,58.61302431299916
2020-05-05,58.43373021643366
2020-05-06,58.43224210936853
2020-05-07,57.16795291079301
2020-05-08,56.23741688180664
2020-05-11,56.484316320801646
2020-05-12,55.40562041484383
2020-05-13,55.14157316025787
2020-05-14,56.5638347428744
2020-05-15,56.92554160092794
2020-05-18,57.51322419325541
2020-05-19,58.63892721854469
2020-05-20,58.790768449490166
2020-05-21,58.28998590795557
2020-05-22,58.71751912798035
