Date,TXN
2020-01-01,337.1095221822286
2020-01-02,303.92720180993916
2020-01-03,299.9273934577416
2020-01-06,290.66464735421056
2020-01-07,282.39785098963944
2020-01-08,281.73169970079346
2020-01-09,289.557964165517
2020-01-10,292.61814907748
2020-01-13,292.8306004893494
2020-01-14,279.9233348957211
2020-01-15,276.13105578083025
2020-01-16,279.6857918838557
2020-01-17,283.8976146206353
2020-01-20,284.8251947525112
2020-01-21,275.89236691893365
2020-01-22,273.0636146075283
2020-01-23,277.6139653319076
2020-01-24,275.1606224011869
2020-01-27,294.14922184136447
2020-01-28,291.1904343348835
2020-01-29,292.46208091793994
2020-01-30,288.8071613823187
2020-01-31,300.98722990844436
2020-02-03,304.5642374162338
2020-02-04,310.5483168922413
2020-02-05,316.8625088294319
2020-02-06,319.6493356305319
2020-02-07,330.57604302001704
2020-02-10,329.80417173780614
2020-02-11,323.1724358574742
2020-02-12,314.7312903621563
2020-02-13,320.28794226747965
2020-02-14,336.8498097302839
2020-02-17,333.30520942800416
2020-02-18,348.0724354647808
2020-02-19,343.8189130920785
2020-02-20,334.7817360058638
2020-02-21,324.33343978665016
2020-02-24,329.31783437080696
2020-02-25,317.8509040222283
2020-02-26,311.3967191805797
2020-02-27,318.17447811710434
2020-02-28,336.4341986776873
2020-03-02,328.0660563215974
2020-03-03,321.18413720694167
2020-03-04,332.27602669973
2020-03-05,348.0303200121036
2020-03-06,351.99171432482115
2020-03-09,354.968690671721
2020-03-10,352.62792083292084
2020-03-11,374.40032246548896
2020-03-12,373.00801359167406
2020-03-13,370.7789076128161
2020-03-16,367.5176452594956
2020-03-17,341.01247050506845
2020-03-18,328.877987839986
2020-03-19,334.32071515999274
2020-03-20,346.1837863842647
2020-03-23,352.4642033310463
2020-03-24,360.2282344477283
2020-03-25,361.4991471897801
2020-03-26,350.7641203842641
2020-03-27,359.85893223521697
2020-03-30,375.9320890269923
2020-03-31,383.4022774898774
2020-04-01,370.0357900367231
2020-04-02,379.43912960595543
2020-04-03,400.96661316568947
