Date,CRWD
2020-01-01,501.56803331116123
2020-01-02,512.4753909861835
2020-01-03,495.83262517869963
2020-01-06,493.4814532708869
2020-01-07,486.5313317048064
2020-01-08,483.0809284245404
2020-01-09,489.22777061189635
2020-01-10,492.2868721230165
2020-01-13,481.5849415776017
2020-01-14,494.4361958543454
2020-01-15,501.2037869656363
2020-01-16,521.8133805415022
2020-01-17,516.5956970580194
2020-01-20,527.9704756015276
2020-01-21,539.2549800492169
2020-01-22,554.7374864239999
2020-01-23,560.9545322921152
2020-01-24,552.8579394269083
2020-01-27,558.5794476331439
2020-01-28,566.2899051341507
2020-01-29,557.4971087961461
2020-01-30,560.624976784137
2020-01-31,550.8149765620038
2020-02-03,548.6808118736387
2020-02-04,550.9072187056883
2020-02-05,539.0776630560545
2020-02-06,553.6772531581204
2020-02-07,543.0417341815703
2020-02-10,559.4780750261821
2020-02-11,562.4753266134223
2020-02-12,570.6282997553402
2020-02-13,562.505914105239
2020-02-14,540.8963071981975
2020-02-17,537.6281428970224
2020-02-18,533.1170064734812
2020-02-19,535.7913151451569
2020-02-20,538.6320149622696
2020-02-21,535.4216759332149
2020-02-24,533.4682467713084
2020-02-25,523.208288782067
2020-02-26,523.813870708062
2020-02-27,513.7993658193462
2020-02-28,513.9684956433385
2020-03-02,529.6704804827101
2020-03-03,533.084738130861
2020-03-04,508.15280388990243
2020-03-05,500.5413482846819
2020-03-06,517.6762833112905
2020-03-09,524.9814267198717
2020-03-10,517.036128419388
2020-03-11,523.3670337813555
2020-03-12,509.31579571967586
2020-03-13,496.07885349793054
2020-03-16,497.0522475994194
2020-03-17,499.6761129228809
2020-03-18,504.11809902545383
2020-03-19,500.40752225307193
2020-03-20,480.8745160794466
2020-03-23,461.925800495857
2020-03-24,463.271732031308
2020-03-25,451.7106462854903
2020-03-26,436.4022400650668
2020-03-27,436.34012765159
2020-03-30,421.29597900609195
2020-03-31,434.31872187812684
2020-04-01,439.5182254590204
2020-04-02,437.8370064318802
2020-04-03,439.19487089979464
