Date,BK
2020-01-01,415.74147736765946
2020-01-02,406.45936565612305
2020-01-03,376.29901286336894
2020-01-06,367.98813547345526
2020-01-07,370.0182580055869
2020-01-08,371.18461446611934
2020-01-09,380.19825888503743
2020-01-10,372.4939224848643
2020-01-13,352.8617577084893
2020-01-14,351.6865326650888
2020-01-15,344.96214628040633
2020-01-16,346.89309262848127
2020-01-17,328.5867411770888
2020-01-20,322.0832071214606
2020-01-21,323.1553263656574
2020-01-22,323.9054894367657
2020-01-23,316.05850011938276
2020-01-24,320.07129825476386
2020-01-27,310.38882973766795
2020-01-28,312.44131512535495
2020-01-29,302.59585234172584
2020-01-30,305.4426088198398
2020-01-31,304.8038504875868
2020-02-03,301.3361095374807
2020-02-04,294.2103355974981
2020-02-05,289.7069842197199
2020-02-06,293.3782585757494
2020-02-07,304.5465633045388
2020-02-10,304.15789535719097
2020-02-11,313.27126450476845
2020-02-12,318.51981110133323
2020-02-13,317.9951695666141
2020-02-14,317.7377355398829
2020-02-17,324.64460562032747
2020-02-18,325.61373079817406
2020-02-19,321.67172460323997
2020-02-20,309.3576336502485
2020-02-21,319.28491384524193
2020-02-24,322.7586217264661
2020-02-25,320.48369112737265
2020-02-26,316.31577997910716
2020-02-27,305.6449051909869
2020-02-28,300.2451812952033
2020-03-02,291.1833231499319
2020-03-03,303.4477104953579
2020-03-04,304.83939867544024
2020-03-05,326.2008507886477
2020-03-06,331.7430516378606
2020-03-09,335.56672664559244
2020-03-10,342.11984347219925
2020-03-11,341.5790917193468
2020-03-12,332.1172595307513
2020-03-13,340.4801135130177
2020-03-16,340.27098172286907
2020-03-17,334.37680986967933
2020-03-18,330.2336149268737
2020-03-19,333.08309869758654
2020-03-20,331.7112836586427
2020-03-23,352.1879961984216
2020-03-24,348.27708973596833
2020-03-25,343.5038233740555
2020-03-26,327.90528399079915
2020-03-27,324.92276589531855
2020-03-30,330.52805296145914
2020-03-31,345.63645341316175
2020-04-01,353.74816449319525
2020-04-02,359.0593262324887
2020-04-03,359.4493211625262
2020-04-06,366.76958480582687
2020-04-07,380.68302990168775
2020-04-08,393.25667718470703
2020-04-09,403.05130775644034
2020-04-10,413.63741263143197
2020-04-13,419.9117667665269
2020-04-14,452.54600421548236
2020-04-15,450.4418919654002
2020-04-16,439.94347592214734
2020-04-17,435.49432936093865
2020-04-20,432.25680404607107
2020-04-21,435.6479329497591
2020-04-22,438.84262102069346
2020-04-23,430.549654387009
2020-04-24,443.2337263112688
2020-04-27,439.46180284426435
2020-04-28,434.1430702781317
2020-04-29,449.80743689245804
2020-04-30,455.45587214783626
2020-05-01,457.55368596159025
2020-05-04,437.90951000453254
2020-05-05,442.8439946379639
2020-05-06,431.51598073099456
2020-05-07,438.5703742876415
2020-05-08,443.3390862350244
2020-05-11,452.6885046737405
2020-05-12,460.91747338076254
2020-05-13,451.7988200753061
2020-05-14,448.39405067635005
2020-05-15,442.32395034891584
2020-05-18,440.692845363203
2020-05-19,448.3049067899869
2020-05-20,460.75897734044247
2020-05-21,462.8840298196436
2020-05-22,482.92040762136537
2020-05-25,483.44841609679077
2020-05-26,466.2967982189846
2020-05-27,458.426776900916
2020-05-28,463.2765850283495
2020-05-29,470.6829861663092
2020-06-01,475.3106035192774
2020-06-02,472.07863773062627
2020-06-03,481.2277456052391
2020-06-04,489.6907935407155
2020-06-05,480.8470138724227
2020-06-08,474.8219262269448
2020-06-09,465.7238664927779
2020-06-10,461.5417544138882
2020-06-11,449.53311707520606
2020-06-12,449.50047786869305
2020-06-15,445.0291457454954
2020-06-16,446.30504825214723
2020-06-17,455.384667738555
2020-06-18,462.2156097080839
2020-06-19,467.2575700577248
2020-06-22,473.1189263031299
2020-06-23,467.12915691852015
2020-06-24,453.2964986413695
2020-06-25,431.4046868810338
2020-06-26,429.4329060334866
2020-06-29,430.01597918091375
2020-06-30,432.511803180131
2020-07-01,431.0046889302847
2020-07-02,424.2919040877161
2020-07-03,412.3320316710301
2020-07-06,435.046955878561
2020-07-07,451.5080264913858
2020-07-08,462.8601277615643
2020-07-09,459.1819002713223
2020-07-10,467.6048989517562
2020-07-13,476.11651528242606
2020-07-14,452.82831948252044
2020-07-15,446.3283936205627
2020-07-16,449.9289660742314
2020-07-17,442.76816286816376
2020-07-20,442.54820741700746
2020-07-21,449.3071300421073
2020-07-22,447.40191899881944
2020-07-23,456.15058263936436
2020-07-24,438.4874911620305
2020-07-27,441.54037373839714
2020-07-28,457.5543002093669
2020-07-29,426.07948191493534
2020-07-30,429.7994218891044
2020-07-31,426.2762136762998
2020-08-03,417.51273584909455
2020-08-04,434.66764399863297
2020-08-05,429.82566899913303
2020-08-06,427.55718511978654
2020-08-07,426.6250745822082
2020-08-10,424.0311672142688
2020-08-11,433.0237234284908
2020-08-12,408.20921459682717
2020-08-13,410.72033773797136
