Date,KO
2020-01-01,419.6513543808276
2020-01-02,411.5644401386031
2020-01-03,408.84324965752813
2020-01-06,398.3459173317263
2020-01-07,403.12372248091293
2020-01-08,398.6161070675513
2020-01-09,384.95544284271364
2020-01-10,394.19955466329276
2020-01-13,407.94548793698056
2020-01-14,403.16661758927484
2020-01-15,417.6108288572574
2020-01-16,411.6359521820177
2020-01-17,421.31662990003156
2020-01-20,400.7927751683081
2020-01-21,407.86331232311574
2020-01-22,400.4320418185713
2020-01-23,425.0621677081927
2020-01-24,425.9441968977875
2020-01-27,430.36942456800426
2020-01-28,416.8420320053813
2020-01-29,423.87555293927824
2020-01-30,423.6571163161901
2020-01-31,432.6721746310077
2020-02-03,447.96062119016625
2020-02-04,439.6721908450403
2020-02-05,454.23606464501097
2020-02-06,458.42485386642153
2020-02-07,457.0916798003879
2020-02-10,453.17335688025315
2020-02-11,466.3992342732313
2020-02-12,466.27277227074546
2020-02-13,476.464798575609
2020-02-14,459.41295092755007
2020-02-17,458.5323408198867
2020-02-18,442.6566122521547
2020-02-19,439.33877378806693
2020-02-20,425.771490528286
2020-02-21,421.89416974508174
2020-02-24,413.1855389021652
2020-02-25,410.2200728253697
2020-02-26,407.57061859414335
2020-02-27,398.9281911082547
2020-02-28,392.6527979403867
2020-03-02,382.0751556405118
2020-03-03,376.8318998501637
2020-03-04,374.14063423281937
2020-03-05,368.62267062903123
2020-03-06,378.39726917831655
2020-03-09,379.359823321205
2020-03-10,377.79733037473306
2020-03-11,376.47355662270024
2020-03-12,376.2303525707267
2020-03-13,373.3519755368371
2020-03-16,372.96309043931313
2020-03-17,376.1742720310987
2020-03-18,374.37330214784606
2020-03-19,369.3020973518275
2020-03-20,375.3753053859141
2020-03-23,380.7801716579779
2020-03-24,385.39694979869364
2020-03-25,391.8016924929767
2020-03-26,379.40824785565684
2020-03-27,388.05894089241434
2020-03-30,394.07311790150607
2020-03-31,394.8009083188014
2020-04-01,386.692465604317
2020-04-02,374.3688055767272
2020-04-03,386.97383089603136
2020-04-06,379.19479411109376
2020-04-07,388.0319850052049
2020-04-08,380.42791701126635
2020-04-09,386.4467756177588
2020-04-10,385.1005995303424
2020-04-13,375.85205088482405
2020-04-14,391.7490794583004
2020-04-15,393.1672876581918
2020-04-16,382.94285237945064
2020-04-17,390.075070321891
2020-04-20,383.6544400829886
2020-04-21,376.5639473434064
2020-04-22,373.90389218737386
2020-04-23,385.33147216133796
2020-04-24,392.98982544697054
2020-04-27,393.08495782167785
2020-04-28,387.4362466698977
2020-04-29,390.4213146031935
2020-04-30,392.44963505498134
2020-05-01,389.545174579018
2020-05-04,390.1605252294457
2020-05-05,391.368215257318
2020-05-06,393.2542810755381
2020-05-07,389.83888123171977
2020-05-08,385.23077652983903
2020-05-11,387.27200705188187
2020-05-12,387.8060271418965
2020-05-13,384.5422174575558
2020-05-14,382.5397726562463
2020-05-15,365.79499526304556
2020-05-18,372.41869310943724
2020-05-19,385.92656219421747
2020-05-20,392.20153092851024
2020-05-21,388.72997032577007
2020-05-22,391.078492576313
2020-05-25,382.1611107445249
2020-05-26,382.496408937947
2020-05-27,386.6100250179386
2020-05-28,398.09596292092147
2020-05-29,390.48187143351174
2020-06-01,381.6718452923763
2020-06-02,378.0875867723418
2020-06-03,386.71256401428707
2020-06-04,386.3625282356562
2020-06-05,373.3831217993172
2020-06-08,371.17122954540287
2020-06-09,368.7521772748738
2020-06-10,355.8344239641564
2020-06-11,364.7555343476718
2020-06-12,368.8175032455433
2020-06-15,374.33851617726293
2020-06-16,388.80361230450103
2020-06-17,388.1744764877493
2020-06-18,377.4683795395131
2020-06-19,360.36471369287665
2020-06-22,364.4384387630364
2020-06-23,366.0708059674043
2020-06-24,368.6997335190652
2020-06-25,383.33887269685283
2020-06-26,379.452682632849
2020-06-29,382.3980967447289
2020-06-30,389.3172372949091
2020-07-01,396.6243323220965
2020-07-02,408.5892575157915
2020-07-03,409.8496291950093
2020-07-06,392.16088837231086
2020-07-07,386.31185509307994
2020-07-08,380.89422896799545
2020-07-09,389.0347294003743
2020-07-10,375.32682435670284
2020-07-13,373.1339212539589
2020-07-14,380.4032921808089
2020-07-15,386.07268493454063
2020-07-16,371.60106033346193
2020-07-17,364.058626868587
2020-07-20,365.92519893800886
2020-07-21,360.32124620525417
2020-07-22,354.0209192594403
2020-07-23,358.1922411812735
2020-07-24,365.3936684089433
2020-07-27,371.68435403205405
2020-07-28,370.48544031514007
2020-07-29,361.06880738725675
2020-07-30,371.62882937375605
2020-07-31,358.6015314221337
2020-08-03,343.62478339742705
2020-08-04,346.8829585320694
2020-08-05,353.30170407852563
2020-08-06,349.2048249274427
2020-08-07,341.0041017125301
2020-08-10,355.41053581544946
2020-08-11,357.8380092288674
2020-08-12,375.83439742432176
2020-08-13,384.4447127634248
2020-08-14,389.3702011182647
2020-08-17,380.5576616207024
2020-08-18,371.63459450059304
2020-08-19,363.7514183338259
2020-08-20,358.71160391657213
2020-08-21,362.8750931296782
2020-08-24,369.7087734183473
2020-08-25,360.7652400940695
2020-08-26,373.40392025803953
2020-08-27,377.5239350674247
2020-08-28,376.21561033420824
2020-08-31,378.5208171524499
2020-09-01,376.03748560064446
2020-09-02,380.9601643121776
2020-09-03,378.0363779194677
2020-09-04,366.64337231752717
2020-09-07,357.0605983989526
2020-09-08,367.88486557101584
2020-09-09,370.2961610050468
2020-09-10,383.39076445906613
2020-09-11,374.0070980113672
2020-09-14,387.5498973439693
2020-09-15,393.33266886439884
2020-09-16,384.42853941529717
2020-09-17,390.02107785882976
2020-09-18,392.24924109349274
2020-09-21,383.36650307545295
2020-09-22,382.7924335899834
2020-09-23,375.8840349895567
2020-09-24,378.02908989337885
