Date,TMUS
2020-01-01,262.7664773169456
2020-01-02,260.72046173458006
2020-01-03,278.7127403911992
2020-01-06,284.6879650607776
2020-01-07,280.8901192634734
2020-01-08,286.50618682364467
2020-01-09,279.991773931286
2020-01-10,274.195991328013
2020-01-13,273.0506119086285
2020-01-14,272.3392872318406
2020-01-15,276.12139207990145
2020-01-16,273.6425893337515
2020-01-17,277.4471873765387
2020-01-20,283.8512148303108
2020-01-21,280.9037524971728
2020-01-22,284.84211880351535
2020-01-23,282.37032030408153
2020-01-24,276.2316275500958
2020-01-27,280.8609418549741
2020-01-28,288.5549976407402
2020-01-29,286.34352199776447
2020-01-30,289.0492741743591
2020-01-31,284.2349518378469
2020-02-03,291.3068104016379
2020-02-04,288.9911026875017
2020-02-05,284.4220102257216
2020-02-06,277.3327244444461
2020-02-07,284.61092924479857
2020-02-10,292.59588365175887
2020-02-11,293.2725117793305
2020-02-12,278.0235265258698
2020-02-13,286.330262581632
2020-02-14,292.5522034351689
2020-02-17,289.26720929281566
2020-02-18,295.2028754864496
2020-02-19,295.00394399326797
2020-02-20,298.9920525537745
2020-02-21,284.7428981841589
2020-02-24,288.7635354764272
2020-02-25,283.89721876165106
2020-02-26,277.990271800677
2020-02-27,278.0022262685933
2020-02-28,284.57133146154075
2020-03-02,283.8324417997164
2020-03-03,276.21892611692516
2020-03-04,279.72955649718153
2020-03-05,275.4174358940004
2020-03-06,284.0704364795795
2020-03-09,280.4215644528695
2020-03-10,286.4906960650064
2020-03-11,286.5971635787437
2020-03-12,287.57902483322096
2020-03-13,297.74341023996266
2020-03-16,295.31803391068377
2020-03-17,294.3501929399569
2020-03-18,294.3907331274819
2020-03-19,301.4523291828302
2020-03-20,289.9565001114947
2020-03-23,278.0861518024383
2020-03-24,274.7909889755978
2020-03-25,269.58249353034705
2020-03-26,268.26164739689426
2020-03-27,272.15100145834793
2020-03-30,270.3612770993242
2020-03-31,269.15349485560097
2020-04-01,261.6441404622242
2020-04-02,261.8603152554446
2020-04-03,260.4710153052726
2020-04-06,264.9900867530589
2020-04-07,269.8282611708669
2020-04-08,267.5931220161677
2020-04-09,265.89866548113866
2020-04-10,259.75526708348144
2020-04-13,261.82642372637883
2020-04-14,261.85764390669624
2020-04-15,263.5774988105892
2020-04-16,260.68767513049454
2020-04-17,266.89329628315875
2020-04-20,272.11962355898305
2020-04-21,269.53581509137433
2020-04-22,265.0859041566481
2020-04-23,265.1055901398581
2020-04-24,265.7030920100384
2020-04-27,266.21682842958995
2020-04-28,266.6788171872062
2020-04-29,267.37743098434544
2020-04-30,271.9564618042592
2020-05-01,267.00110472881937
