Date,VZ
2020-01-01,257.07073453164446
2020-01-02,265.9478499144638
2020-01-03,273.5173005483301
2020-01-06,273.9164331047308
2020-01-07,272.8640001992045
2020-01-08,278.20239618234353
2020-01-09,283.87445385694696
2020-01-10,291.7788081034738
2020-01-13,292.3854712726862
2020-01-14,286.70488361415056
2020-01-15,282.21642135576576
2020-01-16,284.76379433821825
2020-01-17,291.4382069687692
2020-01-20,285.870361414943
2020-01-21,283.35990262544937
2020-01-22,288.6745091842406
2020-01-23,287.20363748880067
2020-01-24,289.637899657286
2020-01-27,295.3831573149333
2020-01-28,291.355513365691
2020-01-29,296.1893875960924
2020-01-30,293.989025347406
2020-01-31,291.92012184260386
2020-02-03,286.7786132518418
2020-02-04,286.60296272259245
2020-02-05,284.35629471692243
2020-02-06,287.9533681994197
2020-02-07,286.4140507953029
2020-02-10,291.3094538226963
2020-02-11,293.3801516881404
2020-02-12,295.49656903464694
2020-02-13,300.3968828518276
2020-02-14,297.92539784055737
2020-02-17,297.51721720125516
2020-02-18,289.6251590600702
2020-02-19,297.1606083270004
2020-02-20,302.3157564148417
2020-02-21,300.2147019547846
2020-02-24,298.8447753523496
2020-02-25,293.75857523966897
2020-02-26,294.2719938027675
2020-02-27,296.3267871109727
2020-02-28,292.4301268851417
2020-03-02,299.7013932928387
2020-03-03,289.8487980769558
2020-03-04,286.8547254201254
2020-03-05,282.18591274696996
2020-03-06,283.0600327004359
2020-03-09,279.9407186962851
2020-03-10,285.7874750810514
2020-03-11,281.66356249936456
2020-03-12,284.824670155139
2020-03-13,277.91486238035714
2020-03-16,276.6509785293158
2020-03-17,274.05813108944426
2020-03-18,275.85731297812055
2020-03-19,281.33111850153654
2020-03-20,281.7866017480121
2020-03-23,281.9010999890419
2020-03-24,284.162975431565
2020-03-25,285.02641029290356
2020-03-26,284.42499701218077
2020-03-27,290.10947825382885
2020-03-30,287.1034397354605
2020-03-31,291.2160930045803
2020-04-01,299.94599169793827
2020-04-02,305.4899722773357
2020-04-03,308.9474826335088
2020-04-06,313.710750266824
2020-04-07,313.61276138033514
2020-04-08,306.94070607940785
2020-04-09,302.38969702559854
2020-04-10,305.22068345503413
2020-04-13,305.8386563096165
2020-04-14,314.316737562363
2020-04-15,315.08430006357287
2020-04-16,312.40577469915047
2020-04-17,301.9002491721341
2020-04-20,297.8389973918077
2020-04-21,304.96211977857246
2020-04-22,300.57357962467177
2020-04-23,306.2610763892649
2020-04-24,311.09906777975345
2020-04-27,314.03420950962624
2020-04-28,319.0345601904594
2020-04-29,322.3251118119398
2020-04-30,317.51160054675194
2020-05-01,323.884549923843
2020-05-04,323.6124680868125
2020-05-05,333.43084532487813
2020-05-06,330.16320604412545
2020-05-07,329.64761050737343
2020-05-08,327.76413201454375
2020-05-11,329.08124818300865
2020-05-12,328.13881832126077
