Date,GOOGL
2020-01-01,396.7615494806135
2020-01-02,402.94922232141346
2020-01-03,397.7233129581398
2020-01-06,395.31517123995235
2020-01-07,402.9021622246354
2020-01-08,392.6372328429079
2020-01-09,389.54509686218574
2020-01-10,397.9148915717015
2020-01-13,402.4139233472104
2020-01-14,394.4304824070868
2020-01-15,402.1657527048672
2020-01-16,405.9516364519939
2020-01-17,413.00841343478805
2020-01-20,415.7226079348716
2020-01-21,417.5262081584956
2020-01-22,417.0908417017725
2020-01-23,426.5117976456986
2020-01-24,429.18477960941794
2020-01-27,423.96047726259377
2020-01-28,417.3032710976092
2020-01-29,415.3651611319363
2020-01-30,413.78609516565473
2020-01-31,408.06193562694847
2020-02-03,408.37131964035484
2020-02-04,411.29415133421935
2020-02-05,411.4832150271387
2020-02-06,411.3810729925195
2020-02-07,416.75552392960634
2020-02-10,413.0398901081874
2020-02-11,404.70889435251934
2020-02-12,402.2055416612575
2020-02-13,397.3918522866054
2020-02-14,395.98324502941057
2020-02-17,399.3644023004999
2020-02-18,392.41705613218755
2020-02-19,398.2708409949322
2020-02-20,387.26310943830845
2020-02-21,397.5258908654042
2020-02-24,395.6287732030197
2020-02-25,393.24679162531527
2020-02-26,397.6896408811296
2020-02-27,397.53332896210327
2020-02-28,401.4622066150118
2020-03-02,401.9816724527407
2020-03-03,405.68962690644764
2020-03-04,404.4161166345499
2020-03-05,403.3618379672636
2020-03-06,400.1795045518099
2020-03-09,405.87115856416204
2020-03-10,407.24137669550555
2020-03-11,401.536563220832
2020-03-12,414.63866236890897
2020-03-13,406.6679998651625
2020-03-16,403.88905230779994
2020-03-17,404.86526188632735
2020-03-18,401.83181030232066
2020-03-19,401.2609064772036
2020-03-20,401.4450302243791
2020-03-23,395.04364269243825
2020-03-24,391.45782082275736
2020-03-25,398.0285570046142
2020-03-26,390.640255875618
2020-03-27,391.54917828375744
2020-03-30,397.5759868259777
2020-03-31,402.7323983558608
2020-04-01,398.88796143351766
2020-04-02,398.49684826087605
2020-04-03,407.3964773537808
2020-04-06,411.8200389039763
2020-04-07,413.13598348892407
2020-04-08,424.8584382502356
2020-04-09,422.50149443234176
2020-04-10,428.40638977830787
2020-04-13,441.37181668632235
2020-04-14,441.62555961091397
2020-04-15,446.3012103080479
2020-04-16,448.7402417064766
2020-04-17,447.43519946498964
2020-04-20,450.2638702477534
2020-04-21,453.9992086692918
2020-04-22,463.14161168149633
2020-04-23,466.64523618354957
2020-04-24,462.8742003559067
2020-04-27,447.66915437135884
