Date,PM
2020-01-01,367.32069132949755
2020-01-02,368.33210768689594
2020-01-03,376.49475945585056
2020-01-06,371.0016687013712
2020-01-07,374.98756783992195
2020-01-08,376.84533362820343
2020-01-09,377.8031272309747
2020-01-10,384.42518037235254
2020-01-13,383.61973113806636
2020-01-14,384.930796027202
2020-01-15,379.21148412661466
2020-01-16,369.74288832515737
2020-01-17,372.15536429148455
2020-01-20,368.9312957365303
2020-01-21,369.6851155476669
2020-01-22,371.42658269708704
2020-01-23,376.5431404319355
2020-01-24,372.69753591818375
2020-01-27,376.21804096276526
2020-01-28,382.8557825856926
2020-01-29,386.6781859558918
2020-01-30,372.4650036907047
2020-01-31,366.1502026925375
2020-02-03,366.79580347450917
2020-02-04,358.7461358886263
2020-02-05,358.8856899261991
2020-02-06,368.9030240174312
2020-02-07,366.3082212830474
2020-02-10,364.2297298490775
2020-02-11,365.7234204101899
2020-02-12,360.73103796251
2020-02-13,365.0907528983781
2020-02-14,364.95170192867755
2020-02-17,360.9705563388502
2020-02-18,352.3709410392034
2020-02-19,350.97090857189704
2020-02-20,352.2167148836591
2020-02-21,355.49467482635293
2020-02-24,353.71434127075133
2020-02-25,351.355175406031
2020-02-26,344.2984332505172
2020-02-27,344.6233774043797
2020-02-28,347.2256781409506
2020-03-02,342.8949414986863
2020-03-03,334.43869947181105
2020-03-04,333.59076499173324
2020-03-05,336.70193723670536
2020-03-06,329.7162476058079
2020-03-09,327.0849043331281
2020-03-10,328.2018080225629
2020-03-11,326.95128038982097
2020-03-12,334.6109598109875
2020-03-13,340.16644105191375
2020-03-16,336.8298631072213
2020-03-17,336.3797941815171
2020-03-18,333.5832694575829
2020-03-19,342.1961261416028
2020-03-20,353.9100089206645
2020-03-23,357.45701838114627
2020-03-24,362.21627656957753
2020-03-25,364.98264702122395
2020-03-26,357.9378597197253
2020-03-27,362.4537285800622
2020-03-30,370.84109542339144
2020-03-31,372.9967062450461
2020-04-01,365.11197851357633
2020-04-02,361.44766767141715
2020-04-03,362.7533993185467
2020-04-06,367.8296718194209
2020-04-07,368.0911417962707
2020-04-08,371.507817878194
2020-04-09,367.8432106849993
2020-04-10,369.8003178513255
2020-04-13,373.5745146863029
2020-04-14,379.4062397015411
2020-04-15,384.25605183193363
2020-04-16,377.7251547095987
2020-04-17,377.6188811672482
2020-04-20,378.4172637708336
