Date,COF
2020-01-01,535.3845339706346
2020-01-02,557.8771294927941
2020-01-03,540.7094957441226
2020-01-06,525.7890772147404
2020-01-07,526.5252760286849
2020-01-08,548.3808979671388
2020-01-09,563.1944448576502
2020-01-10,548.0752251451438
2020-01-13,552.673072664046
2020-01-14,558.2663622273535
2020-01-15,565.4063144775657
2020-01-16,563.3387281623719
2020-01-17,574.7661435885389
2020-01-20,607.1827137723868
2020-01-21,596.6468512006226
2020-01-22,627.7387715345392
2020-01-23,586.31319137373
2020-01-24,576.9209885308647
2020-01-27,581.6976469022056
2020-01-28,599.85915125128
2020-01-29,587.465728899388
2020-01-30,589.1896766144823
2020-01-31,560.5863876759182
2020-02-03,549.7997760139348
2020-02-04,542.3373107148509
2020-02-05,548.8435100728628
2020-02-06,548.0571036070005
2020-02-07,557.1413420454181
2020-02-10,538.0616202159343
2020-02-11,551.6737783570782
2020-02-12,567.7491711376052
2020-02-13,577.3927771305755
2020-02-14,581.0852111532039
2020-02-17,576.7456463597997
2020-02-18,584.9197947878727
2020-02-19,594.6405041936374
2020-02-20,616.0386912177044
2020-02-21,594.2281265770092
2020-02-24,633.4885640811139
2020-02-25,639.3542223569953
2020-02-26,679.3140766886144
2020-02-27,680.8306407006194
2020-02-28,688.3930015444923
2020-03-02,674.3505206360336
2020-03-03,693.9101829255632
2020-03-04,719.1055026364672
2020-03-05,725.7840239916706
2020-03-06,727.1693277186345
2020-03-09,745.9192163874409
2020-03-10,730.4184749962567
2020-03-11,749.7028459772
2020-03-12,729.0179806398169
2020-03-13,735.594178471037
2020-03-16,714.4629629536505
2020-03-17,697.8387863397572
2020-03-18,675.1198652443879
2020-03-19,663.9254247911134
2020-03-20,646.0379762015153
2020-03-23,654.5130172163234
2020-03-24,627.9048649100645
2020-03-25,588.8993264115356
2020-03-26,612.8993092067443
2020-03-27,640.8645337148256
2020-03-30,647.5638798995296
2020-03-31,649.3489367586478
2020-04-01,672.790371575958
2020-04-02,670.176722386284
